common_name,scientific_name,status,order,family,region
Falcated Duck,Mareca falcata,,ANSERIFORMES,Anatidae,hol
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,hol
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,hol
Laysan Duck,Anas laysanensis,Critically endangered,ANSERIFORMES,Anatidae,hol
Hawaiian Duck,Anas wyvilliana,Vulnerable,ANSERIFORMES,Anatidae,hol
Philippine Duck,Anas luzonica,Vulnerable,ANSERIFORMES,Anatidae,hol
Indian Spot-billed Duck,Anas poecilorhyncha,,ANSERIFORMES,Anatidae,hol
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,hol
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,hol
Mexican Duck,Anas diazi,,ANSERIFORMES,Anatidae,hol
American Black Duck,Anas rubripes,,ANSERIFORMES,Anatidae,hol
Mottled Duck,Anas fulvigula,,ANSERIFORMES,Anatidae,hol
Cape Teal,Anas capensis,,ANSERIFORMES,Anatidae,hol
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,hol
Red-billed Duck,Anas erythrorhyncha,,ANSERIFORMES,Anatidae,hol
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,hol
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,hol
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,hol
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,hol
Southern Pochard,Netta erythrophthalma,Rare/Accidental,ANSERIFORMES,Anatidae,hol
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,hol
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,hol
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,hol
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,hol
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,hol
Baer's Pochard,Aythya baeri,Critically endangered,ANSERIFORMES,Anatidae,hol
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,hol
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,hol
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,hol
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,hol
Labrador Duck,Camptorhynchus labradorius,Extinct,ANSERIFORMES,Anatidae,hol
Spectacled Eider,Somateria fischeri,Near-threatened,ANSERIFORMES,Anatidae,hol
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,hol
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,hol
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,hol
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,hol
