common_name,scientific_name,status,order,family,region
Tacarcuna Wood-Quail,Odontophorus dialeucos,,GALLIFORMES,Odontophoridae,CAM
Black-breasted Wood-Quail,Odontophorus leucolaemus,,GALLIFORMES,Odontophoridae,CAM
Spotted Wood-Quail,Odontophorus guttatus,,GALLIFORMES,Odontophoridae,CAM
Wild Turkey,Meleagris gallopavo,,GALLIFORMES,Phasianidae,CAM
Ocellated Turkey,Meleagris ocellata,Near-threatened,GALLIFORMES,Phasianidae,CAM
Ring-necked Pheasant,Phasianus colchicus,Introduced species,GALLIFORMES,Phasianidae,CAM
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,CAM
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,CAM
Pale-vented Pigeon,Patagioenas cayennensis,,COLUMBIFORMES,Columbidae,CAM
Scaled Pigeon,Patagioenas speciosa,,COLUMBIFORMES,Columbidae,CAM
White-crowned Pigeon,Patagioenas leucocephala,Near-threatened,COLUMBIFORMES,Columbidae,CAM
Red-billed Pigeon,Patagioenas flavirostris,,COLUMBIFORMES,Columbidae,CAM
Band-tailed Pigeon,Patagioenas fasciata,,COLUMBIFORMES,Columbidae,CAM
Plumbeous Pigeon,Patagioenas plumbea,,COLUMBIFORMES,Columbidae,CAM
Ruddy Pigeon,Patagioenas subvinacea,,COLUMBIFORMES,Columbidae,CAM
Short-billed Pigeon,Patagioenas nigrirostris,,COLUMBIFORMES,Columbidae,CAM
Dusky Pigeon,Patagioenas goodsoni,,COLUMBIFORMES,Columbidae,CAM
Passenger Pigeon,Ectopistes migratorius,Extinct,COLUMBIFORMES,Columbidae,CAM
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,CAM
African Collared-Dove,Streptopelia roseogrisea,Rare/Accidental,COLUMBIFORMES,Columbidae,CAM
Spotted Dove,Spilopelia chinensis,Introduced species,COLUMBIFORMES,Columbidae,CAM
Inca Dove,Columbina inca,,COLUMBIFORMES,Columbidae,CAM
Common Ground Dove,Columbina passerina,,COLUMBIFORMES,Columbidae,CAM
Plain-breasted Ground Dove,Columbina minuta,,COLUMBIFORMES,Columbidae,CAM
Ruddy Ground Dove,Columbina talpacoti,,COLUMBIFORMES,Columbidae,CAM
Blue Ground Dove,Claravis pretiosa,,COLUMBIFORMES,Columbidae,CAM
Maroon-chested Ground Dove,Paraclaravis mondetoura,,COLUMBIFORMES,Columbidae,CAM
Ruddy Quail-Dove,Geotrygon montana,,COLUMBIFORMES,Columbidae,CAM
Violaceous Quail-Dove,Geotrygon violacea,,COLUMBIFORMES,Columbidae,CAM
Olive-backed Quail-Dove,Leptotrygon veraguensis,,COLUMBIFORMES,Columbidae,CAM
White-tipped Dove,Leptotila verreauxi,,COLUMBIFORMES,Columbidae,CAM
Caribbean Dove,Leptotila jamaicensis,,COLUMBIFORMES,Columbidae,CAM
Gray-chested Dove,Leptotila cassinii,,COLUMBIFORMES,Columbidae,CAM
