common_name,scientific_name,status,order,family,region
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,EUR
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,EUR
Lesser Scaup,Aythya affinis,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,EUR
Spectacled Eider,Somateria fischeri,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,EUR
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,EUR
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,EUR
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,EUR
Surf Scoter,Melanitta perspicillata,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Velvet Scoter,Melanitta fusca,Vulnerable,ANSERIFORMES,Anatidae,EUR
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,EUR
Stejneger's Scoter,Melanitta stejnegeri,,ANSERIFORMES,Anatidae,EUR
Common Scoter,Melanitta nigra,,ANSERIFORMES,Anatidae,EUR
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,EUR
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,EUR
Bufflehead,Bucephala albeola,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,EUR
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,EUR
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,EUR
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental,ANSERIFORMES,Anatidae,EUR
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,EUR
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,EUR
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,EUR
White-headed Duck,Oxyura leucocephala,Endangered,ANSERIFORMES,Anatidae,EUR
Helmeted Guineafowl,Numida meleagris,Introduced species,GALLIFORMES,Numididae,EUR
Northern Bobwhite,Colinus virginianus,Introduced species Near-threatened,GALLIFORMES,Odontophoridae,EUR
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,EUR
