common_name,scientific_name,status,order,family,region
White-winged Scoter,Melanitta deglandi,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Common Scoter,Melanitta nigra,Rare/Accidental,ANSERIFORMES,Anatidae,MID
Long-tailed Duck,Clangula hyemalis,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,MID
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,MID
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,MID
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,MID
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,MID
Ruddy Duck,Oxyura jamaicensis,Introduced species,ANSERIFORMES,Anatidae,MID
White-headed Duck,Oxyura leucocephala,Endangered,ANSERIFORMES,Anatidae,MID
Helmeted Guineafowl,Numida meleagris,,GALLIFORMES,Numididae,MID
Vulturine Guineafowl,Acryllium vulturinum,Rare/Accidental,GALLIFORMES,Numididae,MID
Black Grouse,Lyrurus tetrix,,GALLIFORMES,Phasianidae,MID
Caucasian Grouse,Lyrurus mlokosiewiczi,Near-threatened,GALLIFORMES,Phasianidae,MID
Gray Partridge,Perdix perdix,,GALLIFORMES,Phasianidae,MID
Ring-necked Pheasant,Phasianus colchicus,,GALLIFORMES,Phasianidae,MID
Cheer Pheasant,Catreus wallichii,Vulnerable,GALLIFORMES,Phasianidae,MID
Gray Francolin,Ortygornis pondicerianus,,GALLIFORMES,Phasianidae,MID
Chinese Francolin,Francolinus pintadeanus,Introduced species,GALLIFORMES,Phasianidae,MID
Black Francolin,Francolinus francolinus,,GALLIFORMES,Phasianidae,MID
Caucasian Snowcock,Tetraogallus caucasicus,,GALLIFORMES,Phasianidae,MID
Caspian Snowcock,Tetraogallus caspius,,GALLIFORMES,Phasianidae,MID
Himalayan Snowcock,Tetraogallus himalayensis,,GALLIFORMES,Phasianidae,MID
See-see Partridge,Ammoperdix griseogularis,,GALLIFORMES,Phasianidae,MID
Sand Partridge,Ammoperdix heyi,,GALLIFORMES,Phasianidae,MID
Common Quail,Coturnix coturnix,,GALLIFORMES,Phasianidae,MID
Harlequin Quail,Coturnix delegorguei,,GALLIFORMES,Phasianidae,MID
Barbary Partridge,Alectoris barbara,,GALLIFORMES,Phasianidae,MID
Arabian Partridge,Alectoris melanocephala,,GALLIFORMES,Phasianidae,MID
Chukar,Alectoris chukar,,GALLIFORMES,Phasianidae,MID
Rock Partridge,Alectoris graeca,Near-threatened,GALLIFORMES,Phasianidae,MID
Philby's Partridge,Alectoris philbyi,,GALLIFORMES,Phasianidae,MID
Rock Pigeon,Columba livia,,COLUMBIFORMES,Columbidae,MID
Speckled Pigeon,Columba guinea,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
Stock Dove,Columba oenas,,COLUMBIFORMES,Columbidae,MID
Yellow-eyed Pigeon,Columba eversmanni,Vulnerable,COLUMBIFORMES,Columbidae,MID
Common Wood-Pigeon,Columba palumbus,,COLUMBIFORMES,Columbidae,MID
Rameron Pigeon,Columba arquatrix,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
European Turtle-Dove,Streptopelia turtur,Vulnerable,COLUMBIFORMES,Columbidae,MID
Dusky Turtle-Dove,Streptopelia lugens,,COLUMBIFORMES,Columbidae,MID
Oriental Turtle-Dove,Streptopelia orientalis,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
Eurasian Collared-Dove,Streptopelia decaocto,,COLUMBIFORMES,Columbidae,MID
African Collared-Dove,Streptopelia roseogrisea,,COLUMBIFORMES,Columbidae,MID
Red-eyed Dove,Streptopelia semitorquata,,COLUMBIFORMES,Columbidae,MID
Red Collared-Dove,Streptopelia tranquebarica,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
Spotted Dove,Spilopelia chinensis,Introduced species,COLUMBIFORMES,Columbidae,MID
Laughing Dove,Spilopelia senegalensis,,COLUMBIFORMES,Columbidae,MID
Black-billed Wood-Dove,Turtur abyssinicus,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
Tambourine Dove,Turtur tympanistria,Rare/Accidental,COLUMBIFORMES,Columbidae,MID
Namaqua Dove,Oena capensis,,COLUMBIFORMES,Columbidae,MID
Zebra Dove,Geopelia striata,Introduced species,COLUMBIFORMES,Columbidae,MID
Bruce's Green-Pigeon,Treron waalia,,COLUMBIFORMES,Columbidae,MID
Pallas's Sandgrouse,Syrrhaptes paradoxus,Rare/Accidental,PTEROCLIFORMES,Pteroclidae,MID
Pin-tailed Sandgrouse,Pterocles alchata,,PTEROCLIFORMES,Pteroclidae,MID
Chestnut-bellied Sandgrouse,Pterocles exustus,,PTEROCLIFORMES,Pteroclidae,MID
Spotted Sandgrouse,Pterocles senegallus,,PTEROCLIFORMES,Pteroclidae,MID
Black-bellied Sandgrouse,Pterocles orientalis,,PTEROCLIFORMES,Pteroclidae,MID
Crowned Sandgrouse,Pterocles coronatus,,PTEROCLIFORMES,Pteroclidae,MID
Lichtenstein's Sandgrouse,Pterocles lichtensteinii,,PTEROCLIFORMES,Pteroclidae,MID
Great Bustard,Otis tarda,Endangered,OTIDIFORMES,Otididae,MID
Arabian Bustard,Ardeotis arabs,Near-threatened,OTIDIFORMES,Otididae,MID
African Houbara,Chlamydotis undulata,Vulnerable,OTIDIFORMES,Otididae,MID
Asian Houbara,Chlamydotis macqueenii,Vulnerable,OTIDIFORMES,Otididae,MID
Little Bustard,Tetrax tetrax,Near-threatened,OTIDIFORMES,Otididae,MID
