common_name,scientific_name,status,order,family,region
Redhead,Aythya americana,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,pal
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,pal
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,pal
Baer's Pochard,Aythya baeri,Critically endangered,ANSERIFORMES,Anatidae,pal
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,pal
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,pal
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,pal
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,pal
Spectacled Eider,Somateria fischeri,Near-threatened,ANSERIFORMES,Anatidae,pal
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,pal
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,pal
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,pal
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,pal
Velvet Scoter,Melanitta fusca,Vulnerable,ANSERIFORMES,Anatidae,pal
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,pal
Stejneger's Scoter,Melanitta stejnegeri,,ANSERIFORMES,Anatidae,pal
Common Scoter,Melanitta nigra,,ANSERIFORMES,Anatidae,pal
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,pal
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,pal
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,pal
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,pal
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,pal
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,pal
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental,ANSERIFORMES,Anatidae,pal
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,pal
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,pal
Scaly-sided Merganser,Mergus squamatus,Endangered,ANSERIFORMES,Anatidae,pal
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,pal
White-headed Duck,Oxyura leucocephala,Endangered,ANSERIFORMES,Anatidae,pal
Helmeted Guineafowl,Numida meleagris,,GALLIFORMES,Numididae,pal
Northern Bobwhite,Colinus virginianus,Introduced species Near-threatened,GALLIFORMES,Odontophoridae,pal
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,pal
Hill Partridge,Arborophila torqueola,,GALLIFORMES,Phasianidae,pal
Snow Partridge,Lerwa lerwa,,GALLIFORMES,Phasianidae,pal
Blood Pheasant,Ithaginis cruentus,,GALLIFORMES,Phasianidae,pal
Western Tragopan,Tragopan melanocephalus,Vulnerable,GALLIFORMES,Phasianidae,pal
Satyr Tragopan,Tragopan satyra,,GALLIFORMES,Phasianidae,pal
Blyth's Tragopan,Tragopan blythii,Vulnerable,GALLIFORMES,Phasianidae,pal
Temminck's Tragopan,Tragopan temminckii,,GALLIFORMES,Phasianidae,pal
