keep,scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17
n,Melanitta stejnegeri,Stejneger's Scoter,Melanitta stejnegeri,Stejneger's Scoter,ANSERIFORMES,Anatidae
n,Melanoptila glabrirostris,Black Catbird,Melanoptila glabrirostris,Black Catbird,PASSERIFORMES,Mimidae
n,Melanospiza bicolor,Black-faced Grassquit,Melanospiza bicolor,Black-faced Grassquit,PASSERIFORMES,Thraupidae
n,Melanotis caerulescens,Blue Mockingbird,Melanotis caerulescens,Blue Mockingbird,PASSERIFORMES,Mimidae
n,Melopyrrha violacea,Greater Antillean Bullfinch,Melopyrrha violacea,Greater Antillean Bullfinch,PASSERIFORMES,Thraupidae
n,Milvus migrans,Black Kite,Milvus migrans,Black Kite,ACCIPITRIFORMES,Accipitridae
n,Mimus gilvus,Tropical Mockingbird,Mimus gilvus,Tropical Mockingbird,PASSERIFORMES,Mimidae
n,Mitrephanes phaeocercus,Tufted Flycatcher,Mitrephanes phaeocercus,Tufted Flycatcher,PASSERIFORMES,Tyrannidae
n,Monticola saxatilis,Rufous-tailed Rock-Thrush,Monticola saxatilis,Rufous-tailed Rock-Thrush,PASSERIFORMES,Muscicapidae
n,Monticola solitarius,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush,PASSERIFORMES,Muscicapidae
n,Muscicapa dauurica,Asian Brown Flycatcher,Muscicapa dauurica,Asian Brown Flycatcher,PASSERIFORMES,Muscicapidae
n,Muscicapa griseisticta,Gray-streaked Flycatcher,Muscicapa griseisticta,Gray-streaked Flycatcher,PASSERIFORMES,Muscicapidae
n,Muscicapa sibirica,Dark-sided Flycatcher,Muscicapa sibirica,Dark-sided Flycatcher,PASSERIFORMES,Muscicapidae
n,Muscicapa striata,Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,PASSERIFORMES,Muscicapidae
n,Mustelirallus erythrops,Paint-billed Crake,Mustelirallus erythrops,Paint-billed Crake,GRUIFORMES,Rallidae
n,Myadestes occidentalis,Brown-backed Solitaire,Myadestes occidentalis,Brown-backed Solitaire,PASSERIFORMES,Turdidae
n,Myiarchus nuttingi,Nutting's Flycatcher,Myiarchus nuttingi,Nutting's Flycatcher,PASSERIFORMES,Tyrannidae
n,Myiarchus sagrae,La Sagra's Flycatcher,Myiarchus sagrae,La Sagra's Flycatcher,PASSERIFORMES,Tyrannidae
n,Myioborus miniatus,Slate-throated Redstart,Myioborus miniatus,Slate-throated Redstart,PASSERIFORMES,Parulidae
n,Myiopagis viridicata,Greenish Elaenia,Myiopagis viridicata,Greenish Elaenia,PASSERIFORMES,Tyrannidae
n,Myiozetetes similis,Social Flycatcher,Myiozetetes similis,Social Flycatcher,PASSERIFORMES,Tyrannidae
n,Nesophlox evelynae,Bahama Woodstar,Nesophlox evelynae,Bahama Woodstar,APODIFORMES,Trochilidae
n,Ninox japonica,Northern Boobook,Ninox japonica,Northern Boobook,STRIGIFORMES,Strigidae
