common_name,scientific_name,status,order,family,region
Philippine Duck,Anas luzonica,Vulnerable,ANSERIFORMES,Anatidae,ASI
Indian Spot-billed Duck,Anas poecilorhyncha,,ANSERIFORMES,Anatidae,ASI
Eastern Spot-billed Duck,Anas zonorhyncha,,ANSERIFORMES,Anatidae,ASI
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,ASI
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,ASI
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,ASI
Andaman Teal,Anas albogularis,Near-threatened,ANSERIFORMES,Anatidae,ASI
Sunda Teal,Anas gibberifrons,Near-threatened,ANSERIFORMES,Anatidae,ASI
Gray Teal,Anas gracilis,,ANSERIFORMES,Anatidae,ASI
Marbled Duck,Marmaronetta angustirostris,Near-threatened,ANSERIFORMES,Anatidae,ASI
Pink-headed Duck,Rhodonessa caryophyllacea,Critically endangered (possibly extinct),ANSERIFORMES,Anatidae,ASI
White-winged Duck,Asarcornis scutulata,Critically endangered,ANSERIFORMES,Anatidae,ASI
Red-crested Pochard,Netta rufina,,ANSERIFORMES,Anatidae,ASI
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,ASI
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,ASI
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,ASI
Ring-necked Duck,Aythya collaris,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,ASI
Baer's Pochard,Aythya baeri,Critically endangered,ANSERIFORMES,Anatidae,ASI
Hardhead,Aythya australis,,ANSERIFORMES,Anatidae,ASI
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,ASI
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,ASI
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,ASI
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,ASI
Spectacled Eider,Somateria fischeri,Near-threatened,ANSERIFORMES,Anatidae,ASI
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,ASI
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,ASI
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,ASI
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,ASI
Velvet Scoter,Melanitta fusca,Vulnerable,ANSERIFORMES,Anatidae,ASI
White-winged Scoter,Melanitta deglandi,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Stejneger's Scoter,Melanitta stejnegeri,,ANSERIFORMES,Anatidae,ASI
Common Scoter,Melanitta nigra,,ANSERIFORMES,Anatidae,ASI
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,ASI
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,ASI
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,ASI
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,ASI
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,ASI
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,ASI
Hooded Merganser,Lophodytes cucullatus,Rare/Accidental,ANSERIFORMES,Anatidae,ASI
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,ASI
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,ASI
Scaly-sided Merganser,Mergus squamatus,Endangered,ANSERIFORMES,Anatidae,ASI
Ruddy Duck,Oxyura jamaicensis,Introduced species,ANSERIFORMES,Anatidae,ASI
White-headed Duck,Oxyura leucocephala,Endangered,ANSERIFORMES,Anatidae,ASI
Wattled Brushturkey,Aepypodius arfakianus,,GALLIFORMES,Megapodiidae,ASI
Waigeo Brushturkey,Aepypodius bruijnii,Endangered,GALLIFORMES,Megapodiidae,ASI
Red-billed Brushturkey,Talegalla cuvieri,,GALLIFORMES,Megapodiidae,ASI
Yellow-legged Brushturkey,Talegalla fuscirostris,,GALLIFORMES,Megapodiidae,ASI
Red-legged Brushturkey,Talegalla jobiensis,,GALLIFORMES,Megapodiidae,ASI
Maleo,Macrocephalon maleo,Critically endangered,GALLIFORMES,Megapodiidae,ASI
