"scientific_name","common_name","order","family","status_AFR","status_ASI","status_AUS","status_CA","status_CAM","status_CAR","status_EUR","status_hol","status_MID","status_NAM","status_NaN","status_nea","status_oaq","status_oat","status_OCE","status_oin","status_opa","status_PAC","status_pal","status_SAM","status_TT","status_US48","status_USak","status_UShi","status_XX","regions"
"Mareca strepera","Gadwall","ANSERIFORMES","Anatidae","","",NA,"","","","","","","","Rare/Accidental","Rare/Accidental",NA,NA,NA,NA,NA,"","","",NA,"","","",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; PAC; pal; SAM; US48; USak; UShi"
"Mareca penelope","Eurasian Wigeon","ANSERIFORMES","Anatidae","","","","","Rare/Accidental","","","","","",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","","Rare/Accidental","Rare/Accidental","","","Rare/Accidental",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Mareca americana","American Wigeon","ANSERIFORMES","Anatidae","","",NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","","Rare/Accidental","AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Anas platyrhynchos","Mallard","ANSERIFORMES","Anatidae","","","","","","","","","","","Rare/Accidental","",NA,NA,"",NA,NA,"","","",NA,"","","Introduced species",NA,"AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi"
"Anas acuta","Northern Pintail","ANSERIFORMES","Anatidae","","","Rare/Accidental","","","","","","","","Rare/Accidental","",NA,NA,"Rare/Accidental",NA,NA,"","","","Rare/Accidental","","","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Anas crecca","Green-winged Teal","ANSERIFORMES","Anatidae","","","Rare/Accidental","","","","","","","","","",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","","","AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX"
"Aythya americana","Redhead","ANSERIFORMES","Anatidae","Rare/Accidental","",NA,"","","","Rare/Accidental","",NA,"",NA,"Rare/Accidental",NA,NA,"",NA,NA,"","Rare/Accidental",NA,NA,"","","Rare/Accidental",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Aythya ferina","Common Pochard","ANSERIFORMES","Anatidae","Vulnerable","Vulnerable",NA,"Rare/Accidental Vulnerable","Rare/Accidental Vulnerable","Rare/Accidental Vulnerable","Vulnerable","Vulnerable","Vulnerable","Vulnerable",NA,"Vulnerable",NA,NA,"Vulnerable",NA,NA,"Vulnerable","Vulnerable",NA,NA,"Rare/Accidental Vulnerable","Rare/Accidental Vulnerable","Rare/Accidental Vulnerable",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
"Aythya collaris","Ring-necked Duck","ANSERIFORMES","Anatidae","Rare/Accidental","Rare/Accidental",NA,"","","","Rare/Accidental","",NA,"","","Rare/Accidental",NA,NA,"",NA,NA,"","","","Rare/Accidental","","","",NA,"AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi"
"Aythya fuligula","Tufted Duck","ANSERIFORMES","Anatidae","","","Rare/Accidental","Rare/Accidental",NA,"Rare/Accidental","","","","",NA,"Rare/Accidental",NA,NA,"Rare/Accidental",NA,NA,"","",NA,NA,"","Rare/Accidental","Rare/Accidental",NA,"AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi"
