common_name,scientific_name,status,order,family,region
Far Eastern Curlew,Numenius madagascariensis,Rare/Accidental Endangered,CHARADRIIFORMES,Scolopacidae,UShi
Bar-tailed Godwit,Limosa lapponica,Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Black-tailed Godwit,Limosa limosa,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Hudsonian Godwit,Limosa haemastica,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Marbled Godwit,Limosa fedoa,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Short-billed Dowitcher,Limnodromus griseus,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,UShi
Long-billed Dowitcher,Limnodromus scolopaceus,Near-threatened,CHARADRIIFORMES,Scolopacidae,UShi
Pin-tailed Snipe,Gallinago stenura,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Common Snipe,Gallinago gallinago,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Wilson's Snipe,Gallinago delicata,,CHARADRIIFORMES,Scolopacidae,UShi
Wilson's Phalarope,Phalaropus tricolor,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Red Phalarope,Phalaropus fulicarius,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Red-necked Phalarope,Phalaropus lobatus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Terek Sandpiper,Xenus cinereus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Common Sandpiper,Actitis hypoleucos,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Spotted Sandpiper,Actitis macularius,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Solitary Sandpiper,Tringa solitaria,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Gray-tailed Tattler,Tringa brevipes,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,UShi
Wandering Tattler,Tringa incana,,CHARADRIIFORMES,Scolopacidae,UShi
