common_name,scientific_name,status,order,family,region
Abyssinian Wheatear,Oenanthe lugubris,,PASSERIFORMES,Muscicapidae,AFR
Finsch's Wheatear,Oenanthe finschii,,PASSERIFORMES,Muscicapidae,AFR
Mourning Wheatear,Oenanthe lugens,,PASSERIFORMES,Muscicapidae,AFR
Kurdish Wheatear,Oenanthe xanthoprymna,,PASSERIFORMES,Muscicapidae,AFR
Persian Wheatear,Oenanthe chrysopygia,,PASSERIFORMES,Muscicapidae,AFR
Hypocolius,Hypocolius ampelinus,,PASSERIFORMES,Hypocoliidae,AFR
Gurney's Sugarbird,Promerops gurneyi,Near-threatened,PASSERIFORMES,Promeropidae,AFR
Cape Sugarbird,Promerops cafer,,PASSERIFORMES,Promeropidae,AFR
Spot-throat,Modulatrix stictigula,,PASSERIFORMES,Modulatricidae,AFR
Dapple-throat,Arcanator orostruthus,Near-threatened,PASSERIFORMES,Modulatricidae,AFR
Gray-chested Babbler,Kakamega poliothorax,,PASSERIFORMES,Modulatricidae,AFR
Fraser's Sunbird,Deleornis fraseri,,PASSERIFORMES,Nectariniidae,AFR
Gray-headed Sunbird,Deleornis axillaris,,PASSERIFORMES,Nectariniidae,AFR
Plain-backed Sunbird,Anthreptes reichenowi,Near-threatened,PASSERIFORMES,Nectariniidae,AFR
Anchieta's Sunbird,Anthreptes anchietae,,PASSERIFORMES,Nectariniidae,AFR
Mouse-brown Sunbird,Anthreptes gabonicus,,PASSERIFORMES,Nectariniidae,AFR
Western Violet-backed Sunbird,Anthreptes longuemarei,,PASSERIFORMES,Nectariniidae,AFR
Eastern Violet-backed Sunbird,Anthreptes orientalis,,PASSERIFORMES,Nectariniidae,AFR
Uluguru Violet-backed Sunbird,Anthreptes neglectus,,PASSERIFORMES,Nectariniidae,AFR
Violet-tailed Sunbird,Anthreptes aurantius,,PASSERIFORMES,Nectariniidae,AFR
Little Green Sunbird,Anthreptes seimundi,,PASSERIFORMES,Nectariniidae,AFR
Yellow-chinned Sunbird,Anthreptes rectirostris,,PASSERIFORMES,Nectariniidae,AFR
Gray-chinned Sunbird,Anthreptes tephrolaemus,,PASSERIFORMES,Nectariniidae,AFR
Banded Sunbird,Anthreptes rubritorques,Vulnerable,PASSERIFORMES,Nectariniidae,AFR
Collared Sunbird,Hedydipna collaris,,PASSERIFORMES,Nectariniidae,AFR
Pygmy Sunbird,Hedydipna platura,,PASSERIFORMES,Nectariniidae,AFR
Nile Valley Sunbird,Hedydipna metallica,,PASSERIFORMES,Nectariniidae,AFR
Amani Sunbird,Hedydipna pallidigaster,Endangered,PASSERIFORMES,Nectariniidae,AFR
Reichenbach's Sunbird,Anabathmis reichenbachii,,PASSERIFORMES,Nectariniidae,AFR
Principe Sunbird,Anabathmis hartlaubii,,PASSERIFORMES,Nectariniidae,AFR
Newton's Sunbird,Anabathmis newtonii,,PASSERIFORMES,Nectariniidae,AFR
Sao Tome Sunbird,Dreptes thomensis,Vulnerable,PASSERIFORMES,Nectariniidae,AFR
Orange-breasted Sunbird,Anthobaphes violacea,,PASSERIFORMES,Nectariniidae,AFR
Green-headed Sunbird,Cyanomitra verticalis,,PASSERIFORMES,Nectariniidae,AFR
Bannerman's Sunbird,Cyanomitra bannermani,,PASSERIFORMES,Nectariniidae,AFR
Blue-throated Brown Sunbird,Cyanomitra cyanolaema,,PASSERIFORMES,Nectariniidae,AFR
Cameroon Sunbird,Cyanomitra oritis,,PASSERIFORMES,Nectariniidae,AFR
Blue-headed Sunbird,Cyanomitra alinae,,PASSERIFORMES,Nectariniidae,AFR
Olive Sunbird,Cyanomitra olivacea,,PASSERIFORMES,Nectariniidae,AFR
Mouse-colored Sunbird,Cyanomitra veroxii,,PASSERIFORMES,Nectariniidae,AFR
Buff-throated Sunbird,Chalcomitra adelberti,,PASSERIFORMES,Nectariniidae,AFR
Carmelite Sunbird,Chalcomitra fuliginosa,,PASSERIFORMES,Nectariniidae,AFR
Green-throated Sunbird,Chalcomitra rubescens,,PASSERIFORMES,Nectariniidae,AFR
Amethyst Sunbird,Chalcomitra amethystina,,PASSERIFORMES,Nectariniidae,AFR
Scarlet-chested Sunbird,Chalcomitra senegalensis,,PASSERIFORMES,Nectariniidae,AFR
Hunter's Sunbird,Chalcomitra hunteri,,PASSERIFORMES,Nectariniidae,AFR
Socotra Sunbird,Chalcomitra balfouri,,PASSERIFORMES,Nectariniidae,AFR
Bocage's Sunbird,Nectarinia bocagii,,PASSERIFORMES,Nectariniidae,AFR
Purple-breasted Sunbird,Nectarinia purpureiventris,,PASSERIFORMES,Nectariniidae,AFR
Tacazze Sunbird,Nectarinia tacazze,,PASSERIFORMES,Nectariniidae,AFR
Bronze Sunbird,Nectarinia kilimensis,,PASSERIFORMES,Nectariniidae,AFR
Malachite Sunbird,Nectarinia famosa,,PASSERIFORMES,Nectariniidae,AFR
Red-tufted Sunbird,Nectarinia johnstoni,,PASSERIFORMES,Nectariniidae,AFR
Golden-winged Sunbird,Drepanorhynchus reichenowi,,PASSERIFORMES,Nectariniidae,AFR
Olive-bellied Sunbird,Cinnyris chloropygius,,PASSERIFORMES,Nectariniidae,AFR
Tiny Sunbird,Cinnyris minullus,,PASSERIFORMES,Nectariniidae,AFR
Western Miombo Sunbird,Cinnyris gertrudis,,PASSERIFORMES,Nectariniidae,AFR
Eastern Miombo Sunbird,Cinnyris manoensis,,PASSERIFORMES,Nectariniidae,AFR
Southern Double-collared Sunbird,Cinnyris chalybeus,,PASSERIFORMES,Nectariniidae,AFR
Neergaard's Sunbird,Cinnyris neergaardi,Near-threatened,PASSERIFORMES,Nectariniidae,AFR
Stuhlmann's Sunbird,Cinnyris stuhlmanni,,PASSERIFORMES,Nectariniidae,AFR
Prigogine's Sunbird,Cinnyris prigoginei,Near-threatened,PASSERIFORMES,Nectariniidae,AFR
Montane Double-collared Sunbird,Cinnyris ludovicensis,,PASSERIFORMES,Nectariniidae,AFR
