common_name,scientific_name,status,order,family,region
Spoon-billed Sandpiper,Calidris pygmaea,Rare/Accidental Critically endangered,CHARADRIIFORMES,Scolopacidae,USak
Buff-breasted Sandpiper,Calidris subruficollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,USak
Sanderling,Calidris alba,,CHARADRIIFORMES,Scolopacidae,USak
Dunlin,Calidris alpina,Near-threatened,CHARADRIIFORMES,Scolopacidae,USak
Purple Sandpiper,Calidris maritima,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,USak
Rock Sandpiper,Calidris ptilocnemis,,CHARADRIIFORMES,Scolopacidae,USak
Baird's Sandpiper,Calidris bairdii,,CHARADRIIFORMES,Scolopacidae,USak
Little Stint,Calidris minuta,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,USak
White-rumped Sandpiper,Calidris fuscicollis,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,USak
Least Sandpiper,Calidris minutilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,USak
Pectoral Sandpiper,Calidris melanotos,,CHARADRIIFORMES,Scolopacidae,USak
Western Sandpiper,Calidris mauri,,CHARADRIIFORMES,Scolopacidae,USak
Semipalmated Sandpiper,Calidris pusilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,USak
Oriental Pratincole,Glareola maldivarum,Rare/Accidental,CHARADRIIFORMES,Glareolidae,USak
Long-tailed Jaeger,Stercorarius longicaudus,,CHARADRIIFORMES,Stercorariidae,USak
Parasitic Jaeger,Stercorarius parasiticus,,CHARADRIIFORMES,Stercorariidae,USak
Pomarine Jaeger,Stercorarius pomarinus,,CHARADRIIFORMES,Stercorariidae,USak
South Polar Skua,Stercorarius maccormicki,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,USak
Rhinoceros Auklet,Cerorhinca monocerata,,CHARADRIIFORMES,Alcidae,USak
Tufted Puffin,Fratercula cirrhata,,CHARADRIIFORMES,Alcidae,USak
Horned Puffin,Fratercula corniculata,,CHARADRIIFORMES,Alcidae,USak
Cassin's Auklet,Ptychoramphus aleuticus,Near-threatened,CHARADRIIFORMES,Alcidae,USak
Least Auklet,Aethia pusilla,,CHARADRIIFORMES,Alcidae,USak
Whiskered Auklet,Aethia pygmaea,,CHARADRIIFORMES,Alcidae,USak
Crested Auklet,Aethia cristatella,,CHARADRIIFORMES,Alcidae,USak
Parakeet Auklet,Aethia psittacula,,CHARADRIIFORMES,Alcidae,USak
Long-billed Murrelet,Brachyramphus perdix,Rare/Accidental Near-threatened,CHARADRIIFORMES,Alcidae,USak
Kittlitz's Murrelet,Brachyramphus brevirostris,Near-threatened,CHARADRIIFORMES,Alcidae,USak
Marbled Murrelet,Brachyramphus marmoratus,Endangered,CHARADRIIFORMES,Alcidae,USak
Black Guillemot,Cepphus grylle,,CHARADRIIFORMES,Alcidae,USak
Pigeon Guillemot,Cepphus columba,,CHARADRIIFORMES,Alcidae,USak
Dovekie,Alle alle,Rare/Accidental,CHARADRIIFORMES,Alcidae,USak
Thick-billed Murre,Uria lomvia,,CHARADRIIFORMES,Alcidae,USak
Common Murre,Uria aalge,,CHARADRIIFORMES,Alcidae,USak
Ancient Murrelet,Synthliboramphus antiquus,,CHARADRIIFORMES,Alcidae,USak
Scripps's Murrelet,Synthliboramphus scrippsi,Uncertain origin Vulnerable,CHARADRIIFORMES,Alcidae,USak
Little Gull,Hydrocoloeus minutus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Ross's Gull,Rhodostethia rosea,,CHARADRIIFORMES,Laridae,USak
Black-legged Kittiwake,Rissa tridactyla,Vulnerable,CHARADRIIFORMES,Laridae,USak
Red-legged Kittiwake,Rissa brevirostris,Vulnerable,CHARADRIIFORMES,Laridae,USak
Ivory Gull,Pagophila eburnea,Near-threatened,CHARADRIIFORMES,Laridae,USak
Sabine's Gull,Xema sabini,,CHARADRIIFORMES,Laridae,USak
Bonaparte's Gull,Chroicocephalus philadelphia,,CHARADRIIFORMES,Laridae,USak
Black-headed Gull,Chroicocephalus ridibundus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Laughing Gull,Leucophaeus atricilla,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Franklin's Gull,Leucophaeus pipixcan,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Pallas's Gull,Ichthyaetus ichthyaetus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Black-tailed Gull,Larus crassirostris,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Heermann's Gull,Larus heermanni,Rare/Accidental Near-threatened,CHARADRIIFORMES,Laridae,USak
Common Gull,Larus canus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Short-billed Gull,Larus brachyrhynchus,,CHARADRIIFORMES,Laridae,USak
Ring-billed Gull,Larus delawarensis,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Western Gull,Larus occidentalis,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
American Herring Gull,Larus smithsonianus,,CHARADRIIFORMES,Laridae,USak
Vega Gull,Larus vegae,,CHARADRIIFORMES,Laridae,USak
Great Black-backed Gull,Larus marinus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Glaucous Gull,Larus hyperboreus,,CHARADRIIFORMES,Laridae,USak
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
California Gull,Larus californicus,,CHARADRIIFORMES,Laridae,USak
Glaucous-winged Gull,Larus glaucescens,,CHARADRIIFORMES,Laridae,USak
Slaty-backed Gull,Larus schistisagus,,CHARADRIIFORMES,Laridae,USak
Iceland Gull,Larus glaucoides,,CHARADRIIFORMES,Laridae,USak
Aleutian Tern,Onychoprion aleuticus,Vulnerable,CHARADRIIFORMES,Laridae,USak
Sooty Tern,Onychoprion fuscatus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Least Tern,Sternula antillarum,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Caspian Tern,Hydroprogne caspia,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Black Tern,Chlidonias niger,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
White-winged Tern,Chlidonias leucopterus,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Arctic Tern,Sterna paradisaea,,CHARADRIIFORMES,Laridae,USak
Common Tern,Sterna hirundo,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Sandwich Tern,Thalasseus sandvicensis,Rare/Accidental,CHARADRIIFORMES,Laridae,USak
Pied-billed Grebe,Podilymbus podiceps,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,USak
Horned Grebe,Podiceps auritus,Vulnerable,PODICIPEDIFORMES,Podicipedidae,USak
Red-necked Grebe,Podiceps grisegena,,PODICIPEDIFORMES,Podicipedidae,USak
Eared Grebe,Podiceps nigricollis,Rare/Accidental,PODICIPEDIFORMES,Podicipedidae,USak
Western Grebe,Aechmophorus occidentalis,,PODICIPEDIFORMES,Podicipedidae,USak
Red-throated Loon,Gavia stellata,,GAVIIFORMES,Gaviidae,USak
Arctic Loon,Gavia arctica,Rare/Accidental,GAVIIFORMES,Gaviidae,USak
Pacific Loon,Gavia pacifica,,GAVIIFORMES,Gaviidae,USak
Common Loon,Gavia immer,,GAVIIFORMES,Gaviidae,USak
Yellow-billed Loon,Gavia adamsii,Near-threatened,GAVIIFORMES,Gaviidae,USak
Laysan Albatross,Phoebastria immutabilis,Near-threatened,PROCELLARIIFORMES,Diomedeidae,USak
Black-footed Albatross,Phoebastria nigripes,Near-threatened,PROCELLARIIFORMES,Diomedeidae,USak
Short-tailed Albatross,Phoebastria albatrus,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Diomedeidae,USak
Salvin's Albatross,Thalassarche salvini,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Diomedeidae,USak
Fork-tailed Storm-Petrel,Hydrobates furcatus,,PROCELLARIIFORMES,Hydrobatidae,USak
Leach's Storm-Petrel,Hydrobates leucorhous,Vulnerable,PROCELLARIIFORMES,Hydrobatidae,USak
Northern Fulmar,Fulmarus glacialis,,PROCELLARIIFORMES,Procellariidae,USak
Murphy's Petrel,Pterodroma ultima,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,USak
Providence Petrel,Pterodroma solandri,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,USak
Mottled Petrel,Pterodroma inexpectata,Near-threatened,PROCELLARIIFORMES,Procellariidae,USak
Hawaiian Petrel,Pterodroma sandwichensis,Endemic (country/region) Endangered,PROCELLARIIFORMES,Procellariidae,USak
Cook's Petrel,Pterodroma cookii,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,USak
Pink-footed Shearwater,Ardenna creatopus,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,USak
Flesh-footed Shearwater,Ardenna carneipes,Rare/Accidental Near-threatened,PROCELLARIIFORMES,Procellariidae,USak
Great Shearwater,Ardenna gravis,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,USak
Wedge-tailed Shearwater,Ardenna pacifica,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,USak
