common_name,scientific_name,status,order,family,region
Northern Pintail,Anas acuta,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Eaton's Pintail,Anas eatoni,Vulnerable,ANSERIFORMES,Anatidae,OCE
Yellow-billed Pintail,Anas georgica,,ANSERIFORMES,Anatidae,OCE
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,OCE
Yellow-billed Teal,Anas flavirostris,,ANSERIFORMES,Anatidae,OCE
Sunda Teal,Anas gibberifrons,Near-threatened,ANSERIFORMES,Anatidae,OCE
Gray Teal,Anas gracilis,,ANSERIFORMES,Anatidae,OCE
Chestnut Teal,Anas castanea,,ANSERIFORMES,Anatidae,OCE
Auckland Islands Teal,Anas aucklandica,Near-threatened,ANSERIFORMES,Anatidae,OCE
Campbell Islands Teal,Anas nesiotis,Vulnerable,ANSERIFORMES,Anatidae,OCE
Brown Teal,Anas chlorotis,Near-threatened,ANSERIFORMES,Anatidae,OCE
Pink-eared Duck,Malacorhynchus membranaceus,,ANSERIFORMES,Anatidae,OCE
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,OCE
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,OCE
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,OCE
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,OCE
Baer's Pochard,Aythya baeri,Rare/Accidental Critically endangered,ANSERIFORMES,Anatidae,OCE
Hardhead,Aythya australis,,ANSERIFORMES,Anatidae,OCE
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
New Zealand Scaup,Aythya novaeseelandiae,,ANSERIFORMES,Anatidae,OCE
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,OCE
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,OCE
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,OCE
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,OCE
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,OCE
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,OCE
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,OCE
Common Goldeneye,Bucephala clangula,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,OCE
Auckland Islands Merganser,Mergus australis,Extinct,ANSERIFORMES,Anatidae,OCE
Common Merganser,Mergus merganser,Rare/Accidental,ANSERIFORMES,Anatidae,OCE
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,OCE
Blue-billed Duck,Oxyura australis,,ANSERIFORMES,Anatidae,OCE
Musk Duck,Biziura lobata,,ANSERIFORMES,Anatidae,OCE
Australian Brushturkey,Alectura lathami,,GALLIFORMES,Megapodiidae,OCE
Wattled Brushturkey,Aepypodius arfakianus,,GALLIFORMES,Megapodiidae,OCE
Waigeo Brushturkey,Aepypodius bruijnii,Endangered,GALLIFORMES,Megapodiidae,OCE
Red-billed Brushturkey,Talegalla cuvieri,,GALLIFORMES,Megapodiidae,OCE
Yellow-legged Brushturkey,Talegalla fuscirostris,,GALLIFORMES,Megapodiidae,OCE
Red-legged Brushturkey,Talegalla jobiensis,,GALLIFORMES,Megapodiidae,OCE
Malleefowl,Leipoa ocellata,Vulnerable,GALLIFORMES,Megapodiidae,OCE
Moluccan Megapode,Eulipoa wallacei,Vulnerable,GALLIFORMES,Megapodiidae,OCE
Tongan Megapode,Megapodius pritchardii,Vulnerable,GALLIFORMES,Megapodiidae,OCE
Micronesian Megapode,Megapodius laperouse,Near-threatened,GALLIFORMES,Megapodiidae,OCE
Dusky Megapode,Megapodius freycinet,,GALLIFORMES,Megapodiidae,OCE
