common_name,scientific_name,status,order,family,region
Whooper Swan,Cygnus cygnus,,ANSERIFORMES,Anatidae,NAM
Comb Duck,Sarkidiornis sylvicola,,ANSERIFORMES,Anatidae,NAM
Orinoco Goose,Oressochen jubatus,Near-threatened,ANSERIFORMES,Anatidae,NAM
Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,NAM
Ruddy Shelduck,Tadorna ferruginea,Uncertain origin,ANSERIFORMES,Anatidae,NAM
Common Shelduck,Tadorna tadorna,Rare/Accidental,ANSERIFORMES,Anatidae,NAM
Muscovy Duck,Cairina moschata,,ANSERIFORMES,Anatidae,NAM
Wood Duck,Aix sponsa,,ANSERIFORMES,Anatidae,NAM
Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,NAM
Baikal Teal,Sibirionetta formosa,,ANSERIFORMES,Anatidae,NAM
Garganey,Spatula querquedula,,ANSERIFORMES,Anatidae,NAM
Blue-winged Teal,Spatula discors,,ANSERIFORMES,Anatidae,NAM
Cinnamon Teal,Spatula cyanoptera,,ANSERIFORMES,Anatidae,NAM
Northern Shoveler,Spatula clypeata,,ANSERIFORMES,Anatidae,NAM
Gadwall,Mareca strepera,,ANSERIFORMES,Anatidae,NAM
Falcated Duck,Mareca falcata,Rare/Accidental,ANSERIFORMES,Anatidae,NAM
Eurasian Wigeon,Mareca penelope,,ANSERIFORMES,Anatidae,NAM
American Wigeon,Mareca americana,,ANSERIFORMES,Anatidae,NAM
Laysan Duck,Anas laysanensis,Critically endangered,ANSERIFORMES,Anatidae,NAM
Hawaiian Duck,Anas wyvilliana,Vulnerable,ANSERIFORMES,Anatidae,NAM
Eastern Spot-billed Duck,Anas zonorhyncha,,ANSERIFORMES,Anatidae,NAM
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,NAM
Mexican Duck,Anas diazi,,ANSERIFORMES,Anatidae,NAM
American Black Duck,Anas rubripes,,ANSERIFORMES,Anatidae,NAM
Mottled Duck,Anas fulvigula,,ANSERIFORMES,Anatidae,NAM
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,NAM
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,NAM
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,NAM
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,NAM
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,NAM
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,NAM
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,NAM
Ferruginous Duck,Aythya nyroca,Near-threatened,ANSERIFORMES,Anatidae,NAM
Tufted Duck,Aythya fuligula,,ANSERIFORMES,Anatidae,NAM
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,NAM
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,NAM
Steller's Eider,Polysticta stelleri,Vulnerable,ANSERIFORMES,Anatidae,NAM
