"","common_name","scientific_name","status","order","family","region"
"282","Graceful Black-throated Trogon","Trogon tenellus","","TROGONIFORMES","Trogonidae","CRhe"
"283","Elegant Trogon","Trogon elegans","","TROGONIFORMES","Trogonidae","CRhe"
"284","Collared Trogon","Trogon collaris","","TROGONIFORMES","Trogonidae","CRhe"
"285","Lesson's Motmot","Momotus lessonii","","CORACIIFORMES","Momotidae","CRhe"
"286","Rufous Motmot","Baryphthengus martii","","CORACIIFORMES","Momotidae","CRhe"
"287","Keel-billed Motmot","Electron carinatum","Vulnerable","CORACIIFORMES","Momotidae","CRhe"
"288","Broad-billed Motmot","Electron platyrhynchum","","CORACIIFORMES","Momotidae","CRhe"
"289","Turquoise-browed Motmot","Eumomota superciliosa","","CORACIIFORMES","Momotidae","CRhe"
"290","Ringed Kingfisher","Megaceryle torquata","","CORACIIFORMES","Alcedinidae","CRhe"
"291","Belted Kingfisher","Megaceryle alcyon","","CORACIIFORMES","Alcedinidae","CRhe"
"292","Amazon Kingfisher","Chloroceryle amazona","","CORACIIFORMES","Alcedinidae","CRhe"
"293","American Pygmy Kingfisher","Chloroceryle aenea","","CORACIIFORMES","Alcedinidae","CRhe"
"294","Green Kingfisher","Chloroceryle americana","","CORACIIFORMES","Alcedinidae","CRhe"
"295","Green-and-rufous Kingfisher","Chloroceryle inda","","CORACIIFORMES","Alcedinidae","CRhe"
"296","White-necked Puffbird","Notharchus hyperrhynchus","","GALBULIFORMES","Bucconidae","CRhe"
"297","Pied Puffbird","Notharchus tectus","","GALBULIFORMES","Bucconidae","CRhe"
"298","White-whiskered Puffbird","Malacoptila panamensis","","GALBULIFORMES","Bucconidae","CRhe"
"299","Lanceolated Monklet","Micromonacha lanceolata","","GALBULIFORMES","Bucconidae","CRhe"
"300","White-fronted Nunbird","Monasa morphoeus","","GALBULIFORMES","Bucconidae","CRhe"
"301","Rufous-tailed Jacamar","Galbula ruficauda","","GALBULIFORMES","Galbulidae","CRhe"
"302","Great Jacamar","Jacamerops aureus","","GALBULIFORMES","Galbulidae","CRhe"
"303","Red-headed Barbet","Eubucco bourcierii","","PICIFORMES","Capitonidae","CRhe"
"304","Prong-billed Barbet","Semnornis frantzii","","PICIFORMES","Semnornithidae","CRhe"
"305","Northern Emerald-Toucanet","Aulacorhynchus prasinus","","PICIFORMES","Ramphastidae","CRhe"
"306","Collared Aracari","Pteroglossus torquatus","","PICIFORMES","Ramphastidae","CRhe"
"307","Fiery-billed Aracari","Pteroglossus frantzii","","PICIFORMES","Ramphastidae","CRhe"
"308","Yellow-eared Toucanet","Selenidera spectabilis","","PICIFORMES","Ramphastidae","CRhe"
"309","Yellow-throated Toucan","Ramphastos ambiguus","","PICIFORMES","Ramphastidae","CRhe"
"310","Keel-billed Toucan","Ramphastos sulfuratus","Near-threatened","PICIFORMES","Ramphastidae","CRhe"
"311","Olivaceous Piculet","Picumnus olivaceus","","PICIFORMES","Picidae","CRhe"
"312","Yellow-bellied Sapsucker","Sphyrapicus varius","","PICIFORMES","Picidae","CRhe"
"313","Acorn Woodpecker","Melanerpes formicivorus","","PICIFORMES","Picidae","CRhe"
"314","Golden-naped Woodpecker","Melanerpes chrysauchen","","PICIFORMES","Picidae","CRhe"
"315","Black-cheeked Woodpecker","Melanerpes pucherani","","PICIFORMES","Picidae","CRhe"
"316","Red-crowned Woodpecker","Melanerpes rubricapillus","","PICIFORMES","Picidae","CRhe"
"317","Hoffmann's Woodpecker","Melanerpes hoffmannii","","PICIFORMES","Picidae","CRhe"
"318","Hairy Woodpecker","Leuconotopicus villosus","","PICIFORMES","Picidae","CRhe"
"319","Smoky-brown Woodpecker","Leuconotopicus fumigatus","","PICIFORMES","Picidae","CRhe"
"320","Pale-billed Woodpecker","Campephilus guatemalensis","","PICIFORMES","Picidae","CRhe"
"321","Lineated Woodpecker","Dryocopus lineatus","","PICIFORMES","Picidae","CRhe"
"322","Cinnamon Woodpecker","Celeus loricatus","","PICIFORMES","Picidae","CRhe"
"323","Chestnut-colored Woodpecker","Celeus castaneus","","PICIFORMES","Picidae","CRhe"
"324","Rufous-winged Woodpecker","Piculus simplex","","PICIFORMES","Picidae","CRhe"
"325","Golden-olive Woodpecker","Colaptes rubiginosus","","PICIFORMES","Picidae","CRhe"
"326","Laughing Falcon","Herpetotheres cachinnans","","FALCONIFORMES","Falconidae","CRhe"
"327","Collared Forest-Falcon","Micrastur semitorquatus","","FALCONIFORMES","Falconidae","CRhe"
"328","Slaty-backed Forest-Falcon","Micrastur mirandollei","","FALCONIFORMES","Falconidae","CRhe"
"329","Barred Forest-Falcon","Micrastur ruficollis","","FALCONIFORMES","Falconidae","CRhe"
"330","Crested Caracara","Caracara plancus","","FALCONIFORMES","Falconidae","CRhe"
"331","Red-throated Caracara","Ibycter americanus","","FALCONIFORMES","Falconidae","CRhe"
"332","Yellow-headed Caracara","Daptrius chimachima","","FALCONIFORMES","Falconidae","CRhe"
"333","American Kestrel","Falco sparverius","","FALCONIFORMES","Falconidae","CRhe"
"334","Merlin","Falco columbarius","","FALCONIFORMES","Falconidae","CRhe"
"335","Aplomado Falcon","Falco femoralis","Rare/Accidental","FALCONIFORMES","Falconidae","CRhe"
"336","Bat Falcon","Falco rufigularis","","FALCONIFORMES","Falconidae","CRhe"
"337","Orange-breasted Falcon","Falco deiroleucus","Rare/Accidental Near-threatened","FALCONIFORMES","Falconidae","CRhe"
"338","Peregrine Falcon","Falco peregrinus","","FALCONIFORMES","Falconidae","CRhe"
"339","Red-fronted Parrotlet","Touit costaricensis","Near-threatened","PSITTACIFORMES","Psittacidae","CRhe"
"340","Barred Parakeet","Bolborhynchus lineola","","PSITTACIFORMES","Psittacidae","CRhe"
"341","Orange-chinned Parakeet","Brotogeris jugularis","","PSITTACIFORMES","Psittacidae","CRhe"
"342","Brown-hooded Parrot","Pyrilia haematotis","","PSITTACIFORMES","Psittacidae","CRhe"
"343","Blue-headed Parrot","Pionus menstruus","","PSITTACIFORMES","Psittacidae","CRhe"
"344","White-crowned Parrot","Pionus senilis","","PSITTACIFORMES","Psittacidae","CRhe"
"345","Red-lored Amazon","Amazona autumnalis","","PSITTACIFORMES","Psittacidae","CRhe"
"346","Yellow-naped Amazon","Amazona auropalliata","Critically endangered","PSITTACIFORMES","Psittacidae","CRhe"
"347","White-fronted Amazon","Amazona albifrons","","PSITTACIFORMES","Psittacidae","CRhe"
"348","Mealy Amazon","Amazona farinosa","","PSITTACIFORMES","Psittacidae","CRhe"
"349","Sulphur-winged Parakeet","Pyrrhura hoffmanni","","PSITTACIFORMES","Psittacidae","CRhe"
"350","Olive-throated Parakeet","Eupsittula nana","","PSITTACIFORMES","Psittacidae","CRhe"
"351","Orange-fronted Parakeet","Eupsittula canicularis","Vulnerable","PSITTACIFORMES","Psittacidae","CRhe"
"352","Great Green Macaw","Ara ambiguus","Critically endangered","PSITTACIFORMES","Psittacidae","CRhe"
"353","Scarlet Macaw","Ara macao","","PSITTACIFORMES","Psittacidae","CRhe"
"354","Crimson-fronted Parakeet","Psittacara finschi","","PSITTACIFORMES","Psittacidae","CRhe"
"355","Rufous-rumped Antwren","Euchrepomis callinota","","PASSERIFORMES","Thamnophilidae","CRhe"
"356","Fasciated Antshrike","Cymbilaimus lineatus","","PASSERIFORMES","Thamnophilidae","CRhe"
"357","Great Antshrike","Taraba major","","PASSERIFORMES","Thamnophilidae","CRhe"
"358","Barred Antshrike","Thamnophilus doliatus","","PASSERIFORMES","Thamnophilidae","CRhe"
"359","Black-crowned Antshrike","Thamnophilus atrinucha","","PASSERIFORMES","Thamnophilidae","CRhe"
"360","Black-hooded Antshrike","Thamnophilus bridgesi","","PASSERIFORMES","Thamnophilidae","CRhe"
"361","Russet Antshrike","Thamnistes anabatinus","","PASSERIFORMES","Thamnophilidae","CRhe"
"362","Plain Antvireo","Dysithamnus mentalis","","PASSERIFORMES","Thamnophilidae","CRhe"
"363","Streak-crowned Antvireo","Dysithamnus striaticeps","Near-threatened","PASSERIFORMES","Thamnophilidae","CRhe"
"364","Checker-throated Stipplethroat","Epinecrophylla fulviventris","","PASSERIFORMES","Thamnophilidae","CRhe"
"365","White-flanked Antwren","Myrmotherula axillaris","","PASSERIFORMES","Thamnophilidae","CRhe"
"366","Slaty Antwren","Myrmotherula schisticolor","","PASSERIFORMES","Thamnophilidae","CRhe"
"367","Dot-winged Antwren","Microrhopias quixensis","","PASSERIFORMES","Thamnophilidae","CRhe"
"368","Dusky Antbird","Cercomacroides tyrannina","","PASSERIFORMES","Thamnophilidae","CRhe"
"369","Bare-crowned Antbird","Gymnocichla nudiceps","","PASSERIFORMES","Thamnophilidae","CRhe"
"370","Chestnut-backed Antbird","Poliocrania exsul","","PASSERIFORMES","Thamnophilidae","CRhe"
"371","Dull-mantled Antbird","Sipia laemosticta","","PASSERIFORMES","Thamnophilidae","CRhe"
"372","Zeledon's Antbird","Hafferia zeledoni","","PASSERIFORMES","Thamnophilidae","CRhe"
"373","Bicolored Antbird","Gymnopithys bicolor","","PASSERIFORMES","Thamnophilidae","CRhe"
"374","Spotted Antbird","Hylophylax naevioides","","PASSERIFORMES","Thamnophilidae","CRhe"
"375","Ocellated Antbird","Phaenostictus mcleannani","","PASSERIFORMES","Thamnophilidae","CRhe"
"376","Black-crowned Antpitta","Pittasoma michleri","","PASSERIFORMES","Conopophagidae","CRhe"
"377","Scaled Antpitta","Grallaria guatimalensis","","PASSERIFORMES","Grallariidae","CRhe"
"378","Streak-chested Antpitta","Hylopezus perspicillatus","","PASSERIFORMES","Grallariidae","CRhe"
"379","Thicket Antpitta","Myrmothera dives","","PASSERIFORMES","Grallariidae","CRhe"
"380","Ochre-breasted Antpitta","Grallaricula flavirostris","","PASSERIFORMES","Grallariidae","CRhe"
"381","Silvery-fronted Tapaculo","Scytalopus argentifrons","","PASSERIFORMES","Rhinocryptidae","CRhe"
"382","Black-faced Antthrush","Formicarius analis","","PASSERIFORMES","Formicariidae","CRhe"
"383","Black-capped Antthrush","Formicarius nigricapillus","","PASSERIFORMES","Formicariidae","CRhe"
"384","Rufous-breasted Antthrush","Formicarius rufipectus","","PASSERIFORMES","Formicariidae","CRhe"
"385","Middle American Leaftosser","Sclerurus mexicanus","","PASSERIFORMES","Furnariidae","CRhe"
"386","Scaly-throated Leaftosser","Sclerurus guatemalensis","","PASSERIFORMES","Furnariidae","CRhe"
"387","Gray-throated Leaftosser","Sclerurus albigularis","","PASSERIFORMES","Furnariidae","CRhe"
"388","Olivaceous Woodcreeper","Sittasomus griseicapillus","","PASSERIFORMES","Furnariidae","CRhe"
"389","Piping Long-tailed Woodcreeper","Deconychura typica","","PASSERIFORMES","Furnariidae","CRhe"
"390","Ruddy Woodcreeper","Dendrocincla homochroa","","PASSERIFORMES","Furnariidae","CRhe"
"391","Tawny-winged Woodcreeper","Dendrocincla anabatina","","PASSERIFORMES","Furnariidae","CRhe"
"392","Plain-brown Woodcreeper","Dendrocincla fuliginosa","","PASSERIFORMES","Furnariidae","CRhe"
"393","Wedge-billed Woodcreeper","Glyphorynchus spirurus","","PASSERIFORMES","Furnariidae","CRhe"
"394","Northern Barred-Woodcreeper","Dendrocolaptes sanctithomae","","PASSERIFORMES","Furnariidae","CRhe"
"395","Black-banded Woodcreeper","Dendrocolaptes picumnus","","PASSERIFORMES","Furnariidae","CRhe"
"396","Strong-billed Woodcreeper","Xiphocolaptes promeropirhynchus","","PASSERIFORMES","Furnariidae","CRhe"
"397","Cocoa Woodcreeper","Xiphorhynchus susurrans","","PASSERIFORMES","Furnariidae","CRhe"
"398","Black-striped Woodcreeper","Xiphorhynchus lachrymosus","","PASSERIFORMES","Furnariidae","CRhe"
"399","Spotted Woodcreeper","Xiphorhynchus erythropygius","","PASSERIFORMES","Furnariidae","CRhe"
"400","Brown-billed Scythebill","Campylorhamphus pusillus","","PASSERIFORMES","Furnariidae","CRhe"
"401","Streak-headed Woodcreeper","Lepidocolaptes souleyetii","","PASSERIFORMES","Furnariidae","CRhe"
"402","Spot-crowned Woodcreeper","Lepidocolaptes affinis","","PASSERIFORMES","Furnariidae","CRhe"
"403","Northern Plain-Xenops","Xenops mexicanus","","PASSERIFORMES","Furnariidae","CRhe"
"404","Streaked Xenops","Xenops rutilans","","PASSERIFORMES","Furnariidae","CRhe"
"405","Buffy Tuftedcheek","Pseudocolaptes lawrencii","","PASSERIFORMES","Furnariidae","CRhe"
"406","Scaly-throated Foliage-gleaner","Anabacerthia variegaticeps","","PASSERIFORMES","Furnariidae","CRhe"
"407","Lineated Foliage-gleaner","Syndactyla subalaris","","PASSERIFORMES","Furnariidae","CRhe"
"408","Buff-fronted Foliage-gleaner","Dendroma rufa","","PASSERIFORMES","Furnariidae","CRhe"
"409","Streak-breasted Treehunter","Thripadectes rufobrunneus","","PASSERIFORMES","Furnariidae","CRhe"
"410","Fawn-throated Foliage-gleaner","Automolus cervinigularis","","PASSERIFORMES","Furnariidae","CRhe"
"411","Chiriqui Foliage-gleaner","Automolus exsertus","","PASSERIFORMES","Furnariidae","CRhe"
"412","Western Woodhaunter","Automolus virgatus","","PASSERIFORMES","Furnariidae","CRhe"
"413","Spotted Barbtail","Premnoplex brunnescens","","PASSERIFORMES","Furnariidae","CRhe"
"414","Ruddy Treerunner","Margarornis rubiginosus","","PASSERIFORMES","Furnariidae","CRhe"
"415","Red-faced Spinetail","Cranioleuca erythrops","","PASSERIFORMES","Furnariidae","CRhe"
"416","Slaty Spinetail","Synallaxis brachyura","","PASSERIFORMES","Furnariidae","CRhe"
"417","Pale-breasted Spinetail","Synallaxis albescens","","PASSERIFORMES","Furnariidae","CRhe"
"418","Long-tailed Manakin","Chiroxiphia linearis","","PASSERIFORMES","Pipridae","CRhe"
"419","White-ruffed Manakin","Corapipo altera","","PASSERIFORMES","Pipridae","CRhe"
"420","Velvety Manakin","Lepidothrix velutina","","PASSERIFORMES","Pipridae","CRhe"
"421","White-collared Manakin","Manacus candei","","PASSERIFORMES","Pipridae","CRhe"
"422","Orange-collared Manakin","Manacus aurantiacus","","PASSERIFORMES","Pipridae","CRhe"
"423","White-crowned Manakin","Pseudopipra pipra","","PASSERIFORMES","Pipridae","CRhe"
"424","Red-capped Manakin","Ceratopipra mentalis","","PASSERIFORMES","Pipridae","CRhe"
"425","Purple-throated Fruitcrow","Querula purpurata","","PASSERIFORMES","Cotingidae","CRhe"
"426","Bare-necked Umbrellabird","Cephalopterus glabricollis","Endangered","PASSERIFORMES","Cotingidae","CRhe"
"427","Lovely Cotinga","Cotinga amabilis","","PASSERIFORMES","Cotingidae","CRhe"
"428","Turquoise Cotinga","Cotinga ridgwayi","Introduced species Vulnerable","PASSERIFORMES","Cotingidae","CRhe"
"429","Rufous Piha","Lipaugus unirufus","","PASSERIFORMES","Cotingidae","CRhe"
"430","Three-wattled Bellbird","Procnias tricarunculatus","Vulnerable","PASSERIFORMES","Cotingidae","CRhe"
"431","Snowy Cotinga","Carpodectes nitidus","","PASSERIFORMES","Cotingidae","CRhe"
"432","Black-crowned Tityra","Tityra inquisitor","","PASSERIFORMES","Tityridae","CRhe"
"433","Masked Tityra","Tityra semifasciata","","PASSERIFORMES","Tityridae","CRhe"
"434","Northern Schiffornis","Schiffornis veraepacis","","PASSERIFORMES","Tityridae","CRhe"
"435","Speckled Mourner","Laniocera rufescens","","PASSERIFORMES","Tityridae","CRhe"
"436","Barred Becard","Pachyramphus versicolor","","PASSERIFORMES","Tityridae","CRhe"
"437","Cinnamon Becard","Pachyramphus cinnamomeus","","PASSERIFORMES","Tityridae","CRhe"
"438","White-winged Becard","Pachyramphus polychopterus","","PASSERIFORMES","Tityridae","CRhe"
"439","Black-and-white Becard","Pachyramphus albogriseus","","PASSERIFORMES","Tityridae","CRhe"
"440","Rose-throated Becard","Pachyramphus aglaiae","","PASSERIFORMES","Tityridae","CRhe"
"441","Sharpbill","Oxyruncus cristatus","","PASSERIFORMES","Oxyruncidae","CRhe"
"442","Tropical Royal Flycatcher","Onychorhynchus coronatus","","PASSERIFORMES","Onychorhynchidae","CRhe"
"443","Ruddy-tailed Flycatcher","Terenotriccus erythrurus","","PASSERIFORMES","Onychorhynchidae","CRhe"
"444","Sulphur-rumped Flycatcher","Myiobius sulphureipygius","","PASSERIFORMES","Onychorhynchidae","CRhe"
"445","Gray-headed Piprites","Piprites griseiceps","","PASSERIFORMES","Tyrannidae","CRhe"
"446","Stub-tailed Spadebill","Platyrinchus cancrominus","","PASSERIFORMES","Tyrannidae","CRhe"
"447","White-throated Spadebill","Platyrinchus mystaceus","","PASSERIFORMES","Tyrannidae","CRhe"
"448","Golden-crowned Spadebill","Platyrinchus coronatus","","PASSERIFORMES","Tyrannidae","CRhe"
"449","Olive-streaked Flycatcher","Mionectes olivaceus","","PASSERIFORMES","Tyrannidae","CRhe"
"450","Ochre-bellied Flycatcher","Mionectes oleagineus","","PASSERIFORMES","Tyrannidae","CRhe"
"451","Sepia-capped Flycatcher","Leptopogon amaurocephalus","","PASSERIFORMES","Tyrannidae","CRhe"
"452","Slaty-capped Flycatcher","Leptopogon superciliaris","","PASSERIFORMES","Tyrannidae","CRhe"
"453","Rufous-browed Tyrannulet","Phylloscartes superciliaris","","PASSERIFORMES","Tyrannidae","CRhe"
"454","Black-capped Pygmy-Tyrant","Myiornis atricapillus","","PASSERIFORMES","Tyrannidae","CRhe"
"455","Scale-crested Pygmy-Tyrant","Lophotriccus pileatus","","PASSERIFORMES","Tyrannidae","CRhe"
"456","Northern Bentbill","Oncostoma cinereigulare","","PASSERIFORMES","Tyrannidae","CRhe"
"457","Slate-headed Tody-Flycatcher","Poecilotriccus sylvia","","PASSERIFORMES","Tyrannidae","CRhe"
"458","Common Tody-Flycatcher","Todirostrum cinereum","","PASSERIFORMES","Tyrannidae","CRhe"
"459","Black-headed Tody-Flycatcher","Todirostrum nigriceps","","PASSERIFORMES","Tyrannidae","CRhe"
"460","Eye-ringed Flatbill","Rhynchocyclus brevirostris","","PASSERIFORMES","Tyrannidae","CRhe"
"461","Yellow-olive Flatbill","Tolmomyias sulphurescens","","PASSERIFORMES","Tyrannidae","CRhe"
"462","Yellow-winged Flatbill","Tolmomyias flavotectus","","PASSERIFORMES","Tyrannidae","CRhe"
"463","Yellow-bellied Tyrannulet","Ornithion semiflavum","","PASSERIFORMES","Tyrannidae","CRhe"
"464","Brown-capped Tyrannulet","Ornithion brunneicapillus","","PASSERIFORMES","Tyrannidae","CRhe"
"465","Northern Beardless-Tyrannulet","Camptostoma imberbe","","PASSERIFORMES","Tyrannidae","CRhe"
"466","Southern Beardless-Tyrannulet","Camptostoma obsoletum","","PASSERIFORMES","Tyrannidae","CRhe"
"467","Yellow Tyrannulet","Capsiempis flaveola","","PASSERIFORMES","Tyrannidae","CRhe"
"468","Yellow-crowned Tyrannulet","Tyrannulus elatus","","PASSERIFORMES","Tyrannidae","CRhe"
"469","Greenish Elaenia","Myiopagis viridicata","","PASSERIFORMES","Tyrannidae","CRhe"
"470","Yellow-bellied Elaenia","Elaenia flavogaster","","PASSERIFORMES","Tyrannidae","CRhe"
"471","Lesser Elaenia","Elaenia chiriquensis","","PASSERIFORMES","Tyrannidae","CRhe"
"472","Mountain Elaenia","Elaenia frantzii","","PASSERIFORMES","Tyrannidae","CRhe"
"473","Torrent Tyrannulet","Serpophaga cinerea","","PASSERIFORMES","Tyrannidae","CRhe"
"474","White-fronted Tyrannulet","Acrochordopus zeledoni","","PASSERIFORMES","Tyrannidae","CRhe"
"475","Mistletoe Tyrannulet","Zimmerius parvus","","PASSERIFORMES","Tyrannidae","CRhe"
"476","Tawny-chested Flycatcher","Aphanotriccus capitalis","Vulnerable","PASSERIFORMES","Tyrannidae","CRhe"
"477","Tufted Flycatcher","Mitrephanes phaeocercus","","PASSERIFORMES","Tyrannidae","CRhe"
"478","Olive-sided Flycatcher","Contopus cooperi","","PASSERIFORMES","Tyrannidae","CRhe"
"479","Dark Pewee","Contopus lugubris","Endemic (country/region)","PASSERIFORMES","Tyrannidae","CRhe"
"480","Western Wood-Pewee","Contopus sordidulus","","PASSERIFORMES","Tyrannidae","CRhe"
"481","Northern Tropical Pewee","Contopus bogotensis","","PASSERIFORMES","Tyrannidae","CRhe"
"482","Eastern Wood-Pewee","Contopus virens","","PASSERIFORMES","Tyrannidae","CRhe"
"483","Yellow-bellied Flycatcher","Empidonax flaviventris","","PASSERIFORMES","Tyrannidae","CRhe"
"484","Acadian Flycatcher","Empidonax virescens","","PASSERIFORMES","Tyrannidae","CRhe"
"485","Alder Flycatcher","Empidonax alnorum","","PASSERIFORMES","Tyrannidae","CRhe"
"486","Willow Flycatcher","Empidonax traillii","","PASSERIFORMES","Tyrannidae","CRhe"
"487","White-throated Flycatcher","Empidonax albigularis","","PASSERIFORMES","Tyrannidae","CRhe"
"488","Least Flycatcher","Empidonax minimus","Rare/Accidental","PASSERIFORMES","Tyrannidae","CRhe"
"489","Yellowish Flycatcher","Empidonax flavescens","","PASSERIFORMES","Tyrannidae","CRhe"
"490","Black-capped Flycatcher","Empidonax atriceps","","PASSERIFORMES","Tyrannidae","CRhe"
"491","Black Phoebe","Sayornis nigricans","","PASSERIFORMES","Tyrannidae","CRhe"
"492","Long-tailed Tyrant","Colonia colonus","","PASSERIFORMES","Tyrannidae","CRhe"
"493","Bright-rumped Attila","Attila spadiceus","","PASSERIFORMES","Tyrannidae","CRhe"
"494","Rufous Mourner","Rhytipterna holerythra","","PASSERIFORMES","Tyrannidae","CRhe"
"495","Dusky-capped Flycatcher","Myiarchus tuberculifer","","PASSERIFORMES","Tyrannidae","CRhe"
"496","Nutting's Flycatcher","Myiarchus nuttingi","","PASSERIFORMES","Tyrannidae","CRhe"
"497","Great Crested Flycatcher","Myiarchus crinitus","","PASSERIFORMES","Tyrannidae","CRhe"
"498","Brown-crested Flycatcher","Myiarchus tyrannulus","","PASSERIFORMES","Tyrannidae","CRhe"
"499","Great Kiskadee","Pitangus sulphuratus","","PASSERIFORMES","Tyrannidae","CRhe"
"500","Boat-billed Flycatcher","Megarynchus pitangua","","PASSERIFORMES","Tyrannidae","CRhe"
"501","Social Flycatcher","Myiozetetes similis","","PASSERIFORMES","Tyrannidae","CRhe"
"502","Gray-capped Flycatcher","Myiozetetes granadensis","","PASSERIFORMES","Tyrannidae","CRhe"
"503","White-ringed Flycatcher","Conopias albovittatus","","PASSERIFORMES","Tyrannidae","CRhe"
"504","Golden-bellied Flycatcher","Myiodynastes hemichrysus","","PASSERIFORMES","Tyrannidae","CRhe"
"505","Streaked Flycatcher","Myiodynastes maculatus","","PASSERIFORMES","Tyrannidae","CRhe"
"506","Sulphur-bellied Flycatcher","Myiodynastes luteiventris","","PASSERIFORMES","Tyrannidae","CRhe"
"507","Piratic Flycatcher","Legatus leucophaius","","PASSERIFORMES","Tyrannidae","CRhe"
"508","Tropical Kingbird","Tyrannus melancholicus","","PASSERIFORMES","Tyrannidae","CRhe"
"509","Western Kingbird","Tyrannus verticalis","","PASSERIFORMES","Tyrannidae","CRhe"
"510","Eastern Kingbird","Tyrannus tyrannus","","PASSERIFORMES","Tyrannidae","CRhe"
"511","Gray Kingbird","Tyrannus dominicensis","Rare/Accidental","PASSERIFORMES","Tyrannidae","CRhe"
"512","Scissor-tailed Flycatcher","Tyrannus forficatus","","PASSERIFORMES","Tyrannidae","CRhe"
"513","Fork-tailed Flycatcher","Tyrannus savana","","PASSERIFORMES","Tyrannidae","CRhe"
"514","Rufous-browed Peppershrike","Cyclarhis gujanensis","","PASSERIFORMES","Vireonidae","CRhe"
"515","Green Shrike-Vireo","Vireolanius pulchellus","","PASSERIFORMES","Vireonidae","CRhe"
"516","Ochre-crowned Greenlet","Tunchiornis ochraceiceps","","PASSERIFORMES","Vireonidae","CRhe"
"517","Lesser Greenlet","Pachysylvia decurtata","","PASSERIFORMES","Vireonidae","CRhe"
"518","White-eyed Vireo","Vireo griseus","Rare/Accidental","PASSERIFORMES","Vireonidae","CRhe"
"519","Mangrove Vireo","Vireo pallens","","PASSERIFORMES","Vireonidae","CRhe"
"520","Yellow-throated Vireo","Vireo flavifrons","","PASSERIFORMES","Vireonidae","CRhe"
"521","Yellow-winged Vireo","Vireo carmioli","","PASSERIFORMES","Vireonidae","CRhe"
"522","Blue-headed Vireo","Vireo solitarius","Rare/Accidental","PASSERIFORMES","Vireonidae","CRhe"
"523","Philadelphia Vireo","Vireo philadelphicus","","PASSERIFORMES","Vireonidae","CRhe"
"524","Eastern Warbling Vireo","Vireo gilvus","Rare/Accidental","PASSERIFORMES","Vireonidae","CRhe"
"525","Brown-capped Vireo","Vireo leucophrys","","PASSERIFORMES","Vireonidae","CRhe"
"526","Red-eyed Vireo","Vireo olivaceus","","PASSERIFORMES","Vireonidae","CRhe"
"527","Yellow-green Vireo","Vireo flavoviridis","","PASSERIFORMES","Vireonidae","CRhe"
"528","Black-whiskered Vireo","Vireo altiloquus","Rare/Accidental","PASSERIFORMES","Vireonidae","CRhe"
"529","Azure-hooded Jay","Cyanolyca cucullata","","PASSERIFORMES","Corvidae","CRhe"
"530","White-throated Magpie-Jay","Cyanocorax formosus","","PASSERIFORMES","Corvidae","CRhe"
"531","Brown Jay","Cyanocorax morio","","PASSERIFORMES","Corvidae","CRhe"
"532","Black-chested Jay","Cyanocorax affinis","","PASSERIFORMES","Corvidae","CRhe"
"533","Bank Swallow","Riparia riparia","","PASSERIFORMES","Hirundinidae","CRhe"
"534","Tree Swallow","Tachycineta bicolor","","PASSERIFORMES","Hirundinidae","CRhe"
"535","Mangrove Swallow","Tachycineta albilinea","","PASSERIFORMES","Hirundinidae","CRhe"
"536","Violet-green Swallow","Tachycineta thalassina","Rare/Accidental","PASSERIFORMES","Hirundinidae","CRhe"
"537","Purple Martin","Progne subis","","PASSERIFORMES","Hirundinidae","CRhe"
"538","Gray-breasted Martin","Progne chalybea","","PASSERIFORMES","Hirundinidae","CRhe"
"539","Northern Rough-winged Swallow","Stelgidopteryx serripennis","","PASSERIFORMES","Hirundinidae","CRhe"
"540","Southern Rough-winged Swallow","Stelgidopteryx ruficollis","","PASSERIFORMES","Hirundinidae","CRhe"
"541","Blue-and-white Swallow","Pygochelidon cyanoleuca","","PASSERIFORMES","Hirundinidae","CRhe"
"542","Barn Swallow","Hirundo rustica","","PASSERIFORMES","Hirundinidae","CRhe"
"543","Cliff Swallow","Petrochelidon pyrrhonota","","PASSERIFORMES","Hirundinidae","CRhe"
"544","Tawny-faced Gnatwren","Microbates cinereiventris","","PASSERIFORMES","Polioptilidae","CRhe"
"545","Long-billed Gnatwren","Ramphocaenus melanurus","","PASSERIFORMES","Polioptilidae","CRhe"
"546","White-browed Gnatcatcher","Polioptila bilineata","","PASSERIFORMES","Polioptilidae","CRhe"
"547","White-lored Gnatcatcher","Polioptila albiloris","","PASSERIFORMES","Polioptilidae","CRhe"
"548","Nightingale Wren","Microcerculus philomela","Near-threatened","PASSERIFORMES","Troglodytidae","CRhe"
"549","Scaly-breasted Wren","Microcerculus marginatus","","PASSERIFORMES","Troglodytidae","CRhe"
"550","Southern House Wren","Troglodytes musculus","","PASSERIFORMES","Troglodytidae","CRhe"
"551","Ochraceous Wren","Troglodytes ochraceus","","PASSERIFORMES","Troglodytidae","CRhe"
"552","Grass Wren","Cistothorus platensis","","PASSERIFORMES","Troglodytidae","CRhe"
"553","Band-backed Wren","Campylorhynchus zonatus","","PASSERIFORMES","Troglodytidae","CRhe"
"554","Rufous-backed Wren","Campylorhynchus capistratus","","PASSERIFORMES","Troglodytidae","CRhe"
"555","Black-bellied Wren","Pheugopedius fasciatoventris","","PASSERIFORMES","Troglodytidae","CRhe"
"556","Rufous-breasted Wren","Pheugopedius rutilus","","PASSERIFORMES","Troglodytidae","CRhe"
