"","common_name","scientific_name","status","order","family","region"
"52","White-winged Dove","Zenaida asiatica","","COLUMBIFORMES","Columbidae","CRhe"
"53","Mourning Dove","Zenaida macroura","","COLUMBIFORMES","Columbidae","CRhe"
"54","Greater Ani","Crotophaga major","Rare/Accidental","CUCULIFORMES","Cuculidae","CRhe"
"55","Smooth-billed Ani","Crotophaga ani","","CUCULIFORMES","Cuculidae","CRhe"
"56","Groove-billed Ani","Crotophaga sulcirostris","","CUCULIFORMES","Cuculidae","CRhe"
"57","Striped Cuckoo","Tapera naevia","","CUCULIFORMES","Cuculidae","CRhe"
"58","Pheasant Cuckoo","Dromococcyx phasianellus","","CUCULIFORMES","Cuculidae","CRhe"
"59","Lesser Ground-Cuckoo","Morococcyx erythropygus","","CUCULIFORMES","Cuculidae","CRhe"
"60","Rufous-vented Ground-Cuckoo","Neomorphus geoffroyi","","CUCULIFORMES","Cuculidae","CRhe"
"61","Common Squirrel-Cuckoo","Piaya cayana","","CUCULIFORMES","Cuculidae","CRhe"
"62","Yellow-billed Cuckoo","Coccyzus americanus","","CUCULIFORMES","Cuculidae","CRhe"
"63","Mangrove Cuckoo","Coccyzus minor","","CUCULIFORMES","Cuculidae","CRhe"
"64","Black-billed Cuckoo","Coccyzus erythropthalmus","","CUCULIFORMES","Cuculidae","CRhe"
"65","Lesser Nighthawk","Chordeiles acutipennis","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"66","Common Nighthawk","Chordeiles minor","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"67","Short-tailed Nighthawk","Lurocalis semitorquatus","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"68","Common Pauraque","Nyctidromus albicollis","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"69","Ocellated Poorwill","Nyctiphrynus ocellatus","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"70","Chuck-will's-widow","Antrostomus carolinensis","Near-threatened","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"71","Eastern Whip-poor-will","Antrostomus vociferus","Rare/Accidental Near-threatened","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"72","Dusky Nightjar","Antrostomus saturatus","","CAPRIMULGIFORMES","Caprimulgidae","CRhe"
"73","Great Potoo","Nyctibius grandis","","NYCTIBIIFORMES","Nyctibiidae","CRhe"
"74","Common Potoo","Nyctibius griseus","","NYCTIBIIFORMES","Nyctibiidae","CRhe"
"75","Oilbird","Steatornis caripensis","Rare/Accidental","STEATORNITHIFORMES","Steatornithidae","CRhe"
"76","Black Swift","Cypseloides niger","Vulnerable","APODIFORMES","Apodidae","CRhe"
"77","White-chinned Swift","Cypseloides cryptus","","APODIFORMES","Apodidae","CRhe"
"78","Spot-fronted Swift","Cypseloides cherriei","","APODIFORMES","Apodidae","CRhe"
"79","Chestnut-collared Swift","Streptoprocne rutila","","APODIFORMES","Apodidae","CRhe"
"80","White-collared Swift","Streptoprocne zonaris","","APODIFORMES","Apodidae","CRhe"
"81","Gray-rumped Swift","Chaetura cinereiventris","","APODIFORMES","Apodidae","CRhe"
"82","Costa Rican Swift","Chaetura fumosa","","APODIFORMES","Apodidae","CRhe"
"83","Chimney Swift","Chaetura pelagica","Vulnerable","APODIFORMES","Apodidae","CRhe"
