common_name,scientific_name,status,order,family,region
Gould's Petrel,Pterodroma leucoptera,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Collared Petrel,Pterodroma brevipes,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Stejneger's Petrel,Pterodroma longirostris,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Pycroft's Petrel,Pterodroma pycrofti,Rare/Accidental Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Phoenix Petrel,Pterodroma alba,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Vanuatu Petrel,Pterodroma occulta,,PROCELLARIIFORMES,Procellariidae,PAC
Blue Petrel,Halobaena caerulea,,PROCELLARIIFORMES,Procellariidae,PAC
Bulwer's Petrel,Bulweria bulwerii,,PROCELLARIIFORMES,Procellariidae,PAC
Jouanin's Petrel,Bulweria fallax,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
Fiji Petrel,Pseudobulweria macgillivrayi,Critically endangered (possibly extinct),PROCELLARIIFORMES,Procellariidae,PAC
Tahiti Petrel,Pseudobulweria rostrata,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
Gray Petrel,Procellaria cinerea,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
White-chinned Petrel,Procellaria aequinoctialis,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Parkinson's Petrel,Procellaria parkinsoni,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Streaked Shearwater,Calonectris leucomelas,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
Cory's Shearwater,Calonectris borealis,Rare/Accidental,PROCELLARIIFORMES,Procellariidae,PAC
Pink-footed Shearwater,Ardenna creatopus,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Flesh-footed Shearwater,Ardenna carneipes,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
Wedge-tailed Shearwater,Ardenna pacifica,,PROCELLARIIFORMES,Procellariidae,PAC
Buller's Shearwater,Ardenna bulleri,Vulnerable,PROCELLARIIFORMES,Procellariidae,PAC
Sooty Shearwater,Ardenna grisea,Near-threatened,PROCELLARIIFORMES,Procellariidae,PAC
Short-tailed Shearwater,Ardenna tenuirostris,,PROCELLARIIFORMES,Procellariidae,PAC
Christmas Shearwater,Puffinus nativitatis,,PROCELLARIIFORMES,Procellariidae,PAC
Bannerman's Shearwater,Puffinus bannermani,Endangered,PROCELLARIIFORMES,Procellariidae,PAC
Townsend's Shearwater,Puffinus auricularis,Critically endangered,PROCELLARIIFORMES,Procellariidae,PAC
Newell's Shearwater,Puffinus newelli,Critically endangered,PROCELLARIIFORMES,Procellariidae,PAC
Rapa Shearwater,Puffinus myrtae,Critically endangered,PROCELLARIIFORMES,Procellariidae,PAC
Bryan's Shearwater,Puffinus bryani,Critically endangered,PROCELLARIIFORMES,Procellariidae,PAC
Tropical Shearwater,Puffinus bailloni,,PROCELLARIIFORMES,Procellariidae,PAC
Magnificent Frigatebird,Fregata magnificens,,SULIFORMES,Fregatidae,PAC
Lesser Frigatebird,Fregata ariel,,SULIFORMES,Fregatidae,PAC
Great Frigatebird,Fregata minor,,SULIFORMES,Fregatidae,PAC
Abbott's Booby,Papasula abbotti,Rare/Accidental Endangered,SULIFORMES,Sulidae,PAC
Red-footed Booby,Sula sula,,SULIFORMES,Sulidae,PAC
Brown Booby,Sula leucogaster,,SULIFORMES,Sulidae,PAC
Cocos Booby,Sula brewsteri,,SULIFORMES,Sulidae,PAC
Masked Booby,Sula dactylatra,,SULIFORMES,Sulidae,PAC
Nazca Booby,Sula granti,Rare/Accidental,SULIFORMES,Sulidae,PAC
Blue-footed Booby,Sula nebouxii,,SULIFORMES,Sulidae,PAC
Little Pied Cormorant,Microcarbo melanoleucos,,SULIFORMES,Phalacrocoracidae,PAC
Pelagic Cormorant,Urile pelagicus,,SULIFORMES,Phalacrocoracidae,PAC
Great Cormorant,Phalacrocorax carbo,Rare/Accidental,SULIFORMES,Phalacrocoracidae,PAC
Little Black Cormorant,Phalacrocorax sulcirostris,Rare/Accidental,SULIFORMES,Phalacrocoracidae,PAC
Glossy Ibis,Plegadis falcinellus,,PELECANIFORMES,Threskiornithidae,PAC
White-faced Ibis,Plegadis chihi,,PELECANIFORMES,Threskiornithidae,PAC
Black-faced Spoonbill,Platalea minor,Rare/Accidental Endangered,PELECANIFORMES,Threskiornithidae,PAC
Brown Pelican,Pelecanus occidentalis,,PELECANIFORMES,Pelecanidae,PAC
Australian Pelican,Pelecanus conspicillatus,,PELECANIFORMES,Pelecanidae,PAC
Black Bittern,Botaurus flavicollis,,PELECANIFORMES,Ardeidae,PAC
Cinnamon Bittern,Botaurus cinnamomeus,Rare/Accidental,PELECANIFORMES,Ardeidae,PAC
Schrenck's Bittern,Botaurus eurhythmus,,PELECANIFORMES,Ardeidae,PAC
Yellow Bittern,Botaurus sinensis,,PELECANIFORMES,Ardeidae,PAC
Black-crowned Night Heron,Nycticorax nycticorax,,PELECANIFORMES,Ardeidae,PAC
Nankeen Night Heron,Nycticorax caledonicus,,PELECANIFORMES,Ardeidae,PAC
Malayan Night Heron,Gorsachius melanolophus,,PELECANIFORMES,Ardeidae,PAC
Japanese Night Heron,Gorsachius goisagi,Vulnerable,PELECANIFORMES,Ardeidae,PAC
Little Blue Heron,Egretta caerulea,,PELECANIFORMES,Ardeidae,PAC
Pacific Reef-Heron,Egretta sacra,,PELECANIFORMES,Ardeidae,PAC
Little Egret,Egretta garzetta,,PELECANIFORMES,Ardeidae,PAC
Pied Heron,Egretta picata,Rare/Accidental,PELECANIFORMES,Ardeidae,PAC
White-faced Heron,Egretta novaehollandiae,,PELECANIFORMES,Ardeidae,PAC
Striated Heron,Butorides striata,,PELECANIFORMES,Ardeidae,PAC
Green Heron,Butorides virescens,,PELECANIFORMES,Ardeidae,PAC
Chinese Pond-Heron,Ardeola bacchus,Rare/Accidental,PELECANIFORMES,Ardeidae,PAC
Western Cattle-Egret,Ardea ibis,,PELECANIFORMES,Ardeidae,PAC
Eastern Cattle-Egret,Ardea coromanda,,PELECANIFORMES,Ardeidae,PAC
Great Egret,Ardea alba,,PELECANIFORMES,Ardeidae,PAC
Medium Egret,Ardea intermedia,,PELECANIFORMES,Ardeidae,PAC
Plumed Egret,Ardea plumifera,,PELECANIFORMES,Ardeidae,PAC
Gray Heron,Ardea cinerea,,PELECANIFORMES,Ardeidae,PAC
Great Blue Heron,Ardea herodias,,PELECANIFORMES,Ardeidae,PAC
Osprey,Pandion haliaetus,,ACCIPITRIFORMES,Pandionidae,PAC
Himalayan Griffon,Gyps himalayensis,Rare/Accidental Near-threatened,ACCIPITRIFORMES,Accipitridae,PAC
Golden Eagle,Aquila chrysaetos,,ACCIPITRIFORMES,Accipitridae,PAC
Japanese Sparrowhawk,Tachyspiza gularis,,ACCIPITRIFORMES,Accipitridae,PAC
Chinese Sparrowhawk,Tachyspiza soloensis,,ACCIPITRIFORMES,Accipitridae,PAC
Fiji Goshawk,Tachyspiza rufitorques,,ACCIPITRIFORMES,Accipitridae,PAC
Brown Goshawk,Tachyspiza fasciata,,ACCIPITRIFORMES,Accipitridae,PAC
Eastern Marsh Harrier,Circus spilonotus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Swamp Harrier,Circus approximans,,ACCIPITRIFORMES,Accipitridae,PAC
Northern Harrier,Circus hudsonius,,ACCIPITRIFORMES,Accipitridae,PAC
Black Kite,Milvus migrans,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Brahminy Kite,Haliastur indus,,ACCIPITRIFORMES,Accipitridae,PAC
White-tailed Eagle,Haliaeetus albicilla,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Steller's Sea-Eagle,Haliaeetus pelagicus,Vulnerable,ACCIPITRIFORMES,Accipitridae,PAC
Gray-faced Buzzard,Butastur indicus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Hawaiian Hawk,Buteo solitarius,Near-threatened,ACCIPITRIFORMES,Accipitridae,PAC
Red-tailed Hawk,Buteo jamaicensis,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Rough-legged Hawk,Buteo lagopus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Common Buzzard,Buteo buteo,,ACCIPITRIFORMES,Accipitridae,PAC
Eastern Buzzard,Buteo japonicus,Rare/Accidental,ACCIPITRIFORMES,Accipitridae,PAC
Australian Masked-Owl,Tyto novaehollandiae,,STRIGIFORMES,Tytonidae,PAC
Australasian Grass-Owl,Tyto longimembris,,STRIGIFORMES,Tytonidae,PAC
Eastern Barn Owl,Tyto javanica,,STRIGIFORMES,Tytonidae,PAC
Palau Scops-Owl,Otus podarginus,,STRIGIFORMES,Strigidae,PAC
Great Horned Owl,Bubo virginianus,Introduced species,STRIGIFORMES,Strigidae,PAC
Striped Owl,Asio clamator,,STRIGIFORMES,Strigidae,PAC
Short-eared Owl,Asio flammeus,,STRIGIFORMES,Strigidae,PAC
Eurasian Hoopoe,Upupa epops,Rare/Accidental,BUCEROTIFORMES,Upupidae,PAC
Rainbow Bee-eater,Merops ornatus,,CORACIIFORMES,Meropidae,PAC
Common Kingfisher,Alcedo atthis,Rare/Accidental,CORACIIFORMES,Alcedinidae,PAC
Ruddy Kingfisher,Halcyon coromanda,Rare/Accidental,CORACIIFORMES,Alcedinidae,PAC
Marquesan Kingfisher,Todiramphus godeffroyi,Critically endangered,CORACIIFORMES,Alcedinidae,PAC
Mewing Kingfisher,Todiramphus ruficollaris,,CORACIIFORMES,Alcedinidae,PAC
Society Kingfisher,Todiramphus veneratus,,CORACIIFORMES,Alcedinidae,PAC
Tuamotu Kingfisher,Todiramphus gambieri,Critically endangered,CORACIIFORMES,Alcedinidae,PAC
Chattering Kingfisher,Todiramphus tutus,Near-threatened,CORACIIFORMES,Alcedinidae,PAC
Pacific Kingfisher,Todiramphus sacer,,CORACIIFORMES,Alcedinidae,PAC
Palau Kingfisher,Todiramphus pelewensis,Near-threatened,CORACIIFORMES,Alcedinidae,PAC
Guam Kingfisher,Todiramphus cinnamominus,Extinct in the wild,CORACIIFORMES,Alcedinidae,PAC
Pohnpei Kingfisher,Todiramphus reichenbachii,Vulnerable,CORACIIFORMES,Alcedinidae,PAC
Flat-billed Kingfisher,Todiramphus recurvirostris,,CORACIIFORMES,Alcedinidae,PAC
Sacred Kingfisher,Todiramphus sanctus,,CORACIIFORMES,Alcedinidae,PAC
Collared Kingfisher,Todiramphus chloris,,CORACIIFORMES,Alcedinidae,PAC
Mariana Kingfisher,Todiramphus albicilla,,CORACIIFORMES,Alcedinidae,PAC
Belted Kingfisher,Megaceryle alcyon,,CORACIIFORMES,Alcedinidae,PAC
