common_name,scientific_name,status,order,family,region
Black-banded Fruit-Dove,Ptilinopus alligator,,COLUMBIFORMES,Columbidae,AUS
Wompoo Fruit-Dove,Ptilinopus magnificus,,COLUMBIFORMES,Columbidae,AUS
Pink-spotted Fruit-Dove,Ptilinopus perlatus,,COLUMBIFORMES,Columbidae,AUS
Ornate Fruit-Dove,Ptilinopus ornatus,,COLUMBIFORMES,Columbidae,AUS
Tanna Fruit-Dove,Ptilinopus tannensis,,COLUMBIFORMES,Columbidae,AUS
Orange-fronted Fruit-Dove,Ptilinopus aurantiifrons,,COLUMBIFORMES,Columbidae,AUS
Wallace's Fruit-Dove,Ptilinopus wallacii,,COLUMBIFORMES,Columbidae,AUS
Superb Fruit-Dove,Ptilinopus superbus,,COLUMBIFORMES,Columbidae,AUS
Many-colored Fruit-Dove,Ptilinopus perousii,,COLUMBIFORMES,Columbidae,AUS
Crimson-crowned Fruit-Dove,Ptilinopus porphyraceus,,COLUMBIFORMES,Columbidae,AUS
Rose-crowned Fruit-Dove,Ptilinopus regina,,COLUMBIFORMES,Columbidae,AUS
Silver-capped Fruit-Dove,Ptilinopus richardsii,,COLUMBIFORMES,Columbidae,AUS
Red-bellied Fruit-Dove,Ptilinopus greyi,,COLUMBIFORMES,Columbidae,AUS
Coroneted Fruit-Dove,Ptilinopus coronulatus,,COLUMBIFORMES,Columbidae,AUS
Beautiful Fruit-Dove,Ptilinopus pulchellus,,COLUMBIFORMES,Columbidae,AUS
White-breasted Fruit-Dove,Ptilinopus rivoli,,COLUMBIFORMES,Columbidae,AUS
Geelvink Fruit-Dove,Ptilinopus speciosus,Endemic,COLUMBIFORMES,Columbidae,AUS
Yellow-bibbed Fruit-Dove,Ptilinopus solomonensis,,COLUMBIFORMES,Columbidae,AUS
Claret-breasted Fruit-Dove,Ptilinopus viridis,,COLUMBIFORMES,Columbidae,AUS
White-headed Fruit-Dove,Ptilinopus eugeniae,,COLUMBIFORMES,Columbidae,AUS
Orange-bellied Fruit-Dove,Ptilinopus iozonus,,COLUMBIFORMES,Columbidae,AUS
Knob-billed Fruit-Dove,Ptilinopus insolitus,,COLUMBIFORMES,Columbidae,AUS
Dwarf Fruit-Dove,Ptilinopus nainus,,COLUMBIFORMES,Columbidae,AUS
Orange Dove,Ptilinopus victor,Endemic,COLUMBIFORMES,Columbidae,AUS
Golden Dove,Ptilinopus luteovirens,Endemic,COLUMBIFORMES,Columbidae,AUS
Whistling Dove,Ptilinopus layardi,Endemic Near-threatened,COLUMBIFORMES,Columbidae,AUS
Cloven-feathered Dove,Drepanoptila holosericea,,COLUMBIFORMES,Columbidae,AUS
Spectacled Imperial-Pigeon,Ducula perspicillata,,COLUMBIFORMES,Columbidae,AUS
Elegant Imperial-Pigeon,Ducula concinna,,COLUMBIFORMES,Columbidae,AUS
Pacific Imperial-Pigeon,Ducula pacifica,,COLUMBIFORMES,Columbidae,AUS
Red-knobbed Imperial-Pigeon,Ducula rubricera,,COLUMBIFORMES,Columbidae,AUS
Spice Imperial-Pigeon,Ducula myristicivora,,COLUMBIFORMES,Columbidae,AUS
Geelvink Imperial-Pigeon,Ducula geelvinkiana,Endemic,COLUMBIFORMES,Columbidae,AUS
Purple-tailed Imperial-Pigeon,Ducula rufigaster,,COLUMBIFORMES,Columbidae,AUS
Finsch's Imperial-Pigeon,Ducula finschii,Near-threatened,COLUMBIFORMES,Columbidae,AUS
Rufescent Imperial-Pigeon,Ducula chalconota,,COLUMBIFORMES,Columbidae,AUS
Island Imperial-Pigeon,Ducula pistrinaria,,COLUMBIFORMES,Columbidae,AUS
