cavitynest_interactor,recorder,BBS_InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,Seq,AOU
,,,,Callipepla,californica,California Quail,Colin de Californie,Callipepla californica,Galliformes,Odontophoridae,95,2940
,,,,Callipepla,gambelii,Gambel's Quail,Colin de Gambel,Callipepla gambelii,Galliformes,Odontophoridae,96,2950
,,,,Cyrtonyx,montezumae,Montezuma Quail,Colin arlequin,Cyrtonyx montezumae,Galliformes,Odontophoridae,97,2960
,,,,Alectoris,chukar,Chukar,Perdrix choukar,Alectoris chukar,Galliformes,Phasianidae,101,2882
,,,,Perdix,perdix,Gray Partridge,Perdrix grise,Perdix perdix,Galliformes,Phasianidae,104,2881
,,,,Phasianus,colchicus,Ring-necked Pheasant,Faisan de Colchide,Phasianus colchicus,Galliformes,Phasianidae,105,3091
,,,,Pavo,cristatus,Indian Peafowl,Paon bleu,Pavo cristatus,Galliformes,Phasianidae,106,3095
,,,,Bonasa,umbellus,Ruffed Grouse,Gélinotte huppée,Bonasa umbellus,Galliformes,Phasianidae,107,3000
,,,,Centrocercus,urophasianus,Greater Sage-Grouse,Tétras des armoises,Centrocercus urophasianus,Galliformes,Phasianidae,108,3090
,,,,Centrocercus,minimus,Gunnison Sage-Grouse,Tétras du Gunnison,Centrocercus minimus,Galliformes,Phasianidae,109,3089
,,,,Falcipennis,canadensis,Spruce Grouse,Tétras du Canada,Falcipennis canadensis,Galliformes,Phasianidae,110,2980
,,,,Lagopus,lagopus,Willow Ptarmigan,Lagopède des saules,Lagopus lagopus,Galliformes,Phasianidae,111,3010
,,,,Lagopus,muta,Rock Ptarmigan,Lagopède alpin,Lagopus muta,Galliformes,Phasianidae,112,3020
,,,,Lagopus,leucura,White-tailed Ptarmigan,Lagopède à queue blanche,Lagopus leucura,Galliformes,Phasianidae,113,3040
tertiary,JF,9/23/22,"Fred C. Zwickel and James F. Bendell Version: 1.0 — Published March 4, 2020 Text last updated August 27, 2018",Dendragapus,obscurus,Dusky Grouse,Tétras sombre,Dendragapus obscurus,Galliformes,Phasianidae,114,2970
tertiary,JF,,,Dendragapus,obscurus,Blue Grouse,,Dendragapus obscurus,,,,
,,,,Dendragapus,fuliginosus,Sooty Grouse,Tétras fuligineux,Dendragapus fuliginosus,Galliformes,Phasianidae,115,2971
,,,,Dendragapus,obscurus / fuliginosus,unid. Dusky Grouse / Sooty Grouse,unid Tétras sombre / Tétras fuligineux,Dendragapus obscurus / fuliginosus,Galliformes,Phasianidae,116,2973
,,,,Tympanuchus,phasianellus,Sharp-tailed Grouse,Tétras à queue fine,Tympanuchus phasianellus,Galliformes,Phasianidae,117,3080
,,,,Tympanuchus,cupido,Greater Prairie-Chicken,Tétras des prairies,Tympanuchus cupido,Galliformes,Phasianidae,118,3050
,,,,Tympanuchus,pallidicinctus,Lesser Prairie-Chicken,Tétras pâle,Tympanuchus pallidicinctus,Galliformes,Phasianidae,119,3070
,,,,Meleagris,gallopavo,Wild Turkey,Dindon sauvage,Meleagris gallopavo,Galliformes,Phasianidae,120,3100
,,,,Tachybaptus,dominicus,Least Grebe,Grèbe minime,Tachybaptus dominicus,Podicipediformes,Podicipedidae,123,50
,,,,Podilymbus,podiceps,Pied-billed Grebe,Grèbe à bec bigarré,Podilymbus podiceps,Podicipediformes,Podicipedidae,124,60
,,,,Podiceps,auritus,Horned Grebe,Grèbe esclavon,Podiceps auritus,Podicipediformes,Podicipedidae,125,30
,,,,Podiceps,grisegena,Red-necked Grebe,Grèbe jougris,Podiceps grisegena,Podicipediformes,Podicipedidae,126,20
,,,,Podiceps,nigricollis,Eared Grebe,Grèbe à cou noir,Podiceps nigricollis,Podicipediformes,Podicipedidae,127,40
,,,,Aechmophorus,occidentalis,Western Grebe,Grèbe élégant,Aechmophorus occidentalis,Podicipediformes,Podicipedidae,128,10
,,,,Aechmophorus,clarkii,Clark's Grebe,Grèbe à face blanche,Aechmophorus clarkii,Podicipediformes,Podicipedidae,129,11
,,,,Aechmophorus,occidentalis / clarkii,unid. Western Grebe / Clark's Grebe,unid Grèbe élégant / Grèbe à face blanche,Aechmophorus occidentalis / clarkii,Podicipediformes,Podicipedidae,130,12
,,,,Columba,livia,Rock Pigeon,Pigeon biset,Columba livia,Columbiformes,Columbidae,131,3131
,,,,Patagioenas,leucocephala,White-crowned Pigeon,Pigeon à couronne blanche,Patagioenas leucocephala,Columbiformes,Columbidae,135,3140
,,,,Patagioenas,flavirostris,Red-billed Pigeon,Pigeon à bec rouge,Patagioenas flavirostris,Columbiformes,Columbidae,136,3130
,,,,Patagioenas,fasciata,Band-tailed Pigeon,Pigeon à queue barrée,Patagioenas fasciata,Columbiformes,Columbidae,137,3120
,,,,Streptopelia,roseogrisea,African Collared-Dove (a.k.a. Ringed Turtle-Dove),Tourterelle rieuse,Streptopelia roseogrisea,Columbiformes,Columbidae,140,3152
,,,,Streptopelia,decaocto,Eurasian Collared-Dove,Tourterelle turque,Streptopelia decaocto,Columbiformes,Columbidae,142,22860
,,,,Streptopelia,chinensis,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,143,3151
tertiary,EP,4/2/2019; checked 9/20/2022,"Mueller, A. J. (2020). Inca Dove (Columbina inca), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.incdov.01",Columbina,inca,Inca Dove,Colombe inca,Columbina inca,Columbiformes,Columbidae,144,3210
,,,,Columbina,passerina,Common Ground Dove,Colombe à queue noire,Columbina passerina,Columbiformes,Columbidae,145,3200
,,,,Columbina,talpacoti,Ruddy Ground Dove,Colombe rousse,Columbina talpacoti,Columbiformes,Columbidae,147,3201
,,,,Leptotila,verreauxi,White-tipped Dove,Colombe de Verreaux,Leptotila verreauxi,Columbiformes,Columbidae,152,3180
secondary,"MB, EP","4/9/2019, checked 6/20/2022","Schwertner, T. W., H. A. Mathewson, J. A. Roberson, and G. L. Waggerman (2020). White-winged Dove (Zenaida asiatica), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.whwdov.01",Zenaida,asiatica,White-winged Dove,Tourterelle à ailes blanches,Zenaida asiatica,Columbiformes,Columbidae,158,3190
secondary,EP,4/3/2022,"Otis, D. L., J. H. Schulz, D. Miller, R. E. Mirarchi, and T. S. Baskett (2020). Mourning Dove (Zenaida macroura), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.moudov.01",Zenaida,macroura,Mourning Dove,Tourterelle triste,Zenaida macroura,Columbiformes,Columbidae,160,3160
,,,,Crotophaga,ani,Smooth-billed Ani,Ani à bec lisse,Crotophaga ani,Cuculiformes,Cuculidae,162,3830
,,,,Crotophaga,sulcirostris,Groove-billed Ani,Ani à bec cannelé,Crotophaga sulcirostris,Cuculiformes,Cuculidae,163,3840
,,,,Geococcyx,californianus,Greater Roadrunner,Grand Géocoucou,Geococcyx californianus,Cuculiformes,Cuculidae,168,3850
,EP,4/9/2019; checked 9/22/2022,"Hughes, J. M. (2020). Yellow-billed Cuckoo (Coccyzus americanus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.yebcuc.01",Coccyzus,americanus,Yellow-billed Cuckoo,Coulicou à bec jaune,Coccyzus americanus,Cuculiformes,Cuculidae,173,3870
,,,,Coccyzus,minor,Mangrove Cuckoo,Coulicou manioc,Coccyzus minor,Cuculiformes,Cuculidae,174,3860
,EP,4/9/2019; checked 9/22/2022,"Hughes, J. M. (2020). Black-billed Cuckoo (Coccyzus erythropthalmus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bkbcuc.01",Coccyzus,erythropthalmus,Black-billed Cuckoo,Coulicou à bec noir,Coccyzus erythropthalmus,Cuculiformes,Cuculidae,175,3880
,,,,Coccyzus,americanus / erythropthalmus,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,unid Coulicou à bec jaune / Coulicou à bec noir,Coccyzus americanus / erythropthalmus,Cuculiformes,Cuculidae,176,3875
tertiary,EP,4/23/2019; checked 9/22/2022,"Latta, S. C. and M. E. Baltz (2020). Lesser Nighthawk (Chordeiles acutipennis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.lesnig.01",Chordeiles,acutipennis,Lesser Nighthawk,Engoulevent minime,Chordeiles acutipennis,Caprimulgiformes,Caprimulgidae,178,4210
,,,,Chordeiles,minor,Common Nighthawk,Engoulevent d'Amérique,Chordeiles minor,Caprimulgiformes,Caprimulgidae,179,4200
,,,,Chordeiles,gundlachii,Antillean Nighthawk,Engoulevent piramidig,Chordeiles gundlachii,Caprimulgiformes,Caprimulgidae,180,4201
,,,,Chordeiles,acutipennis / minor,unid. Lesser Nighthawk / Common Nighthawk,unid Engoulevent minime / Engoulevent d'Amérique,Chordeiles acutipennis / minor,Caprimulgiformes,Caprimulgidae,181,4205
,,,,Chordeiles,minor / gundlachii,unid. Common Nighthawk / Antillean Nighthawk,unid Engoulevent d'Amérique / piramidig,Chordeiles minor / gundlachii,Caprimulgiformes,Caprimulgidae,182,4206
,,,,Nyctidromus,albicollis,Common Pauraque,Engoulevent pauraqué,Nyctidromus albicollis,Caprimulgiformes,Caprimulgidae,183,4190
,,,,Phalaenoptilus,nuttallii,Common Poorwill,Engoulevent de Nuttall,Phalaenoptilus nuttallii,Caprimulgiformes,Caprimulgidae,184,4180
,,,,Antrostomus,carolinensis,Chuck-will's-widow,Engoulevent de Caroline,Antrostomus carolinensis,Caprimulgiformes,Caprimulgidae,187,4160
,,,,Antrostomus,vociferus,Eastern Whip-poor-will,Engoulevent bois-pourri,Antrostomus vociferus,Caprimulgiformes,Caprimulgidae,191,4171
,,,,Antrostomus,arizonae,Mexican Whip-poor-will,Engoulevent d'Arizona,Antrostomus arizonae,Caprimulgiformes,Caprimulgidae,192,4172
,,,,Cypseloides,niger,Black Swift,Martinet sombre,Cypseloides niger,Apodiformes,Apodidae,197,4220
