"common_name","scientific_name","status","order","family","region"
"Budgerigar","Melopsittacus undulatus","Extirpated","PSITTACIFORMES","Psittaculidae","US48"
"Greater Antillean Bullfinch","Melopyrrha violacea","Extirpated","PASSERIFORMES","Thraupidae","US48"
"Swamp Sparrow","Melospiza georgiana","","PASSERIFORMES","Passerellidae","AK; CA; US48"
"Lincoln's Sparrow","Melospiza lincolnii","","PASSERIFORMES","Passerellidae","AK; CA; US48"
"Song Sparrow","Melospiza melodia","","PASSERIFORMES","Passerellidae","AK; CA; US48"
"Abert's Towhee","Melozone aberti","","PASSERIFORMES","Passerellidae","US48"
"California Towhee","Melozone crissalis","","PASSERIFORMES","Passerellidae","US48"
"Canyon Towhee","Melozone fusca","","PASSERIFORMES","Passerellidae","US48"
"Smew","Mergellus albellus","Rare/Accidental","ANSERIFORMES","Anatidae","AK; CA; US48"
"Common Merganser","Mergus merganser","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Red-breasted Merganser","Mergus serrator","","ANSERIFORMES","Anatidae","AK; CA; US48"
"Collared Forest-Falcon","Micrastur semitorquatus","","FALCONIFORMES","Falconidae","US48"
"Elf Owl","Micrathene whitneyi","","STRIGIFORMES","Strigidae","US48"
"Black Kite","Milvus migrans","Uncertain origin","ACCIPITRIFORMES","Accipitridae","AK; CA"
"Tropical Mockingbird","Mimus gilvus","Rare/Accidental","PASSERIFORMES","Mimidae","US48"
"Bahama Mockingbird","Mimus gundlachii","Rare/Accidental","PASSERIFORMES","Mimidae","US48"
"Northern Mockingbird","Mimus polyglottos","","PASSERIFORMES","Mimidae","AK; CA; US48"
"Tufted Flycatcher","Mitrephanes phaeocercus","Rare/Accidental","PASSERIFORMES","Tyrannidae","US48"
"Black-and-white Warbler","Mniotilta varia","","PASSERIFORMES","Parulidae","AK; CA; US48"
"Bronzed Cowbird","Molothrus aeneus","","PASSERIFORMES","Icteridae","CA; US48"
"Brown-headed Cowbird","Molothrus ater","","PASSERIFORMES","Icteridae","AK; CA; US48"
"Shiny Cowbird","Molothrus bonariensis","Rare/Accidental","PASSERIFORMES","Icteridae","CA; US48"
"Rufous-tailed Rock-Thrush","Monticola saxatilis","Rare/Accidental","PASSERIFORMES","Muscicapidae","AK"
"Blue Rock-Thrush","Monticola solitarius","Rare/Accidental","PASSERIFORMES","Muscicapidae","CA; US48"
