common_name,scientific_name,status,order,family,region
Common Scoter,Melanitta nigra,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,US48
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,US48
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,US48
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,US48
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,US48
Smew,Mergellus albellus,Rare/Accidental,ANSERIFORMES,Anatidae,US48
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,US48
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,US48
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,US48
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,US48
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,US48
Plain Chachalaca,Ortalis vetula,,GALLIFORMES,Cracidae,US48
Mountain Quail,Oreortyx pictus,,GALLIFORMES,Odontophoridae,US48
Northern Bobwhite,Colinus virginianus,Near-threatened,GALLIFORMES,Odontophoridae,US48
Scaled Quail,Callipepla squamata,,GALLIFORMES,Odontophoridae,US48
Elegant Quail,Callipepla douglasii,Uncertain origin,GALLIFORMES,Odontophoridae,US48
California Quail,Callipepla californica,,GALLIFORMES,Odontophoridae,US48
Gambel's Quail,Callipepla gambelii,,GALLIFORMES,Odontophoridae,US48
Montezuma Quail,Cyrtonyx montezumae,,GALLIFORMES,Odontophoridae,US48
Wild Turkey,Meleagris gallopavo,,GALLIFORMES,Phasianidae,US48
Ruffed Grouse,Bonasa umbellus,,GALLIFORMES,Phasianidae,US48
Greater Sage-Grouse,Centrocercus urophasianus,Near-threatened,GALLIFORMES,Phasianidae,US48
Gunnison Sage-Grouse,Centrocercus minimus,Endemic Endangered,GALLIFORMES,Phasianidae,US48
