common_name,scientific_name,status,order,family,region
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,CA
American Black Duck,Anas rubripes,,ANSERIFORMES,Anatidae,CA
Mottled Duck,Anas fulvigula,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,CA
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,CA
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,CA
Redhead,Aythya americana,,ANSERIFORMES,Anatidae,CA
Common Pochard,Aythya ferina,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CA
Ring-necked Duck,Aythya collaris,,ANSERIFORMES,Anatidae,CA
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Greater Scaup,Aythya marila,,ANSERIFORMES,Anatidae,CA
Lesser Scaup,Aythya affinis,,ANSERIFORMES,Anatidae,CA
Steller's Eider,Polysticta stelleri,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,CA
Labrador Duck,Camptorhynchus labradorius,Extinct,ANSERIFORMES,Anatidae,CA
Spectacled Eider,Somateria fischeri,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,CA
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,CA
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,CA
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,CA
Surf Scoter,Melanitta perspicillata,,ANSERIFORMES,Anatidae,CA
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,CA
Common Scoter,Melanitta nigra,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Black Scoter,Melanitta americana,Near-threatened,ANSERIFORMES,Anatidae,CA
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,CA
Bufflehead,Bucephala albeola,,ANSERIFORMES,Anatidae,CA
Common Goldeneye,Bucephala clangula,,ANSERIFORMES,Anatidae,CA
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,CA
Smew,Mergellus albellus,Rare/Accidental,ANSERIFORMES,Anatidae,CA
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,CA
Common Merganser,Mergus merganser,,ANSERIFORMES,Anatidae,CA
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,CA
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,CA
Mountain Quail,Oreortyx pictus,Introduced species,GALLIFORMES,Odontophoridae,CA
Northern Bobwhite,Colinus virginianus,Near-threatened,GALLIFORMES,Odontophoridae,CA
California Quail,Callipepla californica,Introduced species,GALLIFORMES,Odontophoridae,CA
Wild Turkey,Meleagris gallopavo,,GALLIFORMES,Phasianidae,CA
Ruffed Grouse,Bonasa umbellus,,GALLIFORMES,Phasianidae,CA
Greater Sage-Grouse,Centrocercus urophasianus,Near-threatened,GALLIFORMES,Phasianidae,CA
Dusky Grouse,Dendragapus obscurus,,GALLIFORMES,Phasianidae,CA
Sooty Grouse,Dendragapus fuliginosus,,GALLIFORMES,Phasianidae,CA
Sharp-tailed Grouse,Tympanuchus phasianellus,,GALLIFORMES,Phasianidae,CA
Greater Prairie-Chicken,Tympanuchus cupido,Rare/Accidental Near-threatened,GALLIFORMES,Phasianidae,CA
White-tailed Ptarmigan,Lagopus leucura,,GALLIFORMES,Phasianidae,CA
Willow Ptarmigan,Lagopus lagopus,,GALLIFORMES,Phasianidae,CA
Rock Ptarmigan,Lagopus muta,,GALLIFORMES,Phasianidae,CA
Spruce Grouse,Canachites canadensis,,GALLIFORMES,Phasianidae,CA
Gray Partridge,Perdix perdix,Introduced species,GALLIFORMES,Phasianidae,CA
Ring-necked Pheasant,Phasianus colchicus,Introduced species,GALLIFORMES,Phasianidae,CA
Silver Pheasant,Lophura nycthemera,Introduced species,GALLIFORMES,Phasianidae,CA
Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,CA
Rock Pigeon,Columba livia,Introduced species,COLUMBIFORMES,Columbidae,CA
Common Wood-Pigeon,Columba palumbus,Rare/Accidental,COLUMBIFORMES,Columbidae,CA
White-crowned Pigeon,Patagioenas leucocephala,Rare/Accidental Near-threatened,COLUMBIFORMES,Columbidae,CA
Band-tailed Pigeon,Patagioenas fasciata,,COLUMBIFORMES,Columbidae,CA
Passenger Pigeon,Ectopistes migratorius,Rare/Accidental Extinct,COLUMBIFORMES,Columbidae,CA
Oriental Turtle-Dove,Streptopelia orientalis,Rare/Accidental,COLUMBIFORMES,Columbidae,CA
Eurasian Collared-Dove,Streptopelia decaocto,Introduced species,COLUMBIFORMES,Columbidae,CA
Inca Dove,Columbina inca,Rare/Accidental,COLUMBIFORMES,Columbidae,CA
Common Ground Dove,Columbina passerina,Rare/Accidental,COLUMBIFORMES,Columbidae,CA
White-winged Dove,Zenaida asiatica,Rare/Accidental,COLUMBIFORMES,Columbidae,CA
