common_name,scientific_name,status,order,family,region
Hawaiian Duck,Anas wyvilliana,Vulnerable,ANSERIFORMES,Anatidae,nea
Eastern Spot-billed Duck,Anas zonorhyncha,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Mallard,Anas platyrhynchos,,ANSERIFORMES,Anatidae,nea
Mexican Duck,Anas diazi,,ANSERIFORMES,Anatidae,nea
American Black Duck,Anas rubripes,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Mottled Duck,Anas fulvigula,,ANSERIFORMES,Anatidae,nea
White-cheeked Pintail,Anas bahamensis,,ANSERIFORMES,Anatidae,nea
Northern Pintail,Anas acuta,,ANSERIFORMES,Anatidae,nea
Green-winged Teal,Anas crecca,,ANSERIFORMES,Anatidae,nea
Canvasback,Aythya valisineria,,ANSERIFORMES,Anatidae,nea
Redhead,Aythya americana,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Common Pochard,Aythya ferina,Vulnerable,ANSERIFORMES,Anatidae,nea
Ring-necked Duck,Aythya collaris,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Ferruginous Duck,Aythya nyroca,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,nea
Tufted Duck,Aythya fuligula,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Greater Scaup,Aythya marila,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Lesser Scaup,Aythya affinis,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Steller's Eider,Polysticta stelleri,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,nea
Labrador Duck,Camptorhynchus labradorius,Extinct,ANSERIFORMES,Anatidae,nea
Spectacled Eider,Somateria fischeri,Near-threatened,ANSERIFORMES,Anatidae,nea
King Eider,Somateria spectabilis,,ANSERIFORMES,Anatidae,nea
Common Eider,Somateria mollissima,Near-threatened,ANSERIFORMES,Anatidae,nea
Harlequin Duck,Histrionicus histrionicus,,ANSERIFORMES,Anatidae,nea
Surf Scoter,Melanitta perspicillata,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Velvet Scoter,Melanitta fusca,Rare/Accidental Vulnerable,ANSERIFORMES,Anatidae,nea
White-winged Scoter,Melanitta deglandi,,ANSERIFORMES,Anatidae,nea
Stejneger's Scoter,Melanitta stejnegeri,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Common Scoter,Melanitta nigra,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Black Scoter,Melanitta americana,Rare/Accidental Near-threatened,ANSERIFORMES,Anatidae,nea
Long-tailed Duck,Clangula hyemalis,Vulnerable,ANSERIFORMES,Anatidae,nea
Bufflehead,Bucephala albeola,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Common Goldeneye,Bucephala clangula,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Barrow's Goldeneye,Bucephala islandica,,ANSERIFORMES,Anatidae,nea
Smew,Mergellus albellus,,ANSERIFORMES,Anatidae,nea
Hooded Merganser,Lophodytes cucullatus,,ANSERIFORMES,Anatidae,nea
Common Merganser,Mergus merganser,Rare/Accidental,ANSERIFORMES,Anatidae,nea
Red-breasted Merganser,Mergus serrator,,ANSERIFORMES,Anatidae,nea
Masked Duck,Nomonyx dominicus,,ANSERIFORMES,Anatidae,nea
Ruddy Duck,Oxyura jamaicensis,,ANSERIFORMES,Anatidae,nea
Andean Duck,Oxyura ferruginea,Uncertain origin,ANSERIFORMES,Anatidae,nea
Plain Chachalaca,Ortalis vetula,,GALLIFORMES,Cracidae,nea
Gray-headed Chachalaca,Ortalis cinereiceps,,GALLIFORMES,Cracidae,nea
Chestnut-winged Chachalaca,Ortalis garrula,,GALLIFORMES,Cracidae,nea
Rufous-vented Chachalaca,Ortalis ruficauda,,GALLIFORMES,Cracidae,nea
Rufous-bellied Chachalaca,Ortalis wagleri,,GALLIFORMES,Cracidae,nea
West Mexican Chachalaca,Ortalis poliocephala,,GALLIFORMES,Cracidae,nea
White-bellied Chachalaca,Ortalis leucogastra,,GALLIFORMES,Cracidae,nea
Baudo Guan,Penelope ortoni,Rare/Accidental Endangered,GALLIFORMES,Cracidae,nea
Crested Guan,Penelope purpurascens,Near-threatened,GALLIFORMES,Cracidae,nea
Black Guan,Chamaepetes unicolor,,GALLIFORMES,Cracidae,nea
Highland Guan,Penelopina nigra,Vulnerable,GALLIFORMES,Cracidae,nea
Horned Guan,Oreophasis derbianus,Endangered,GALLIFORMES,Cracidae,nea
Great Curassow,Crax rubra,Vulnerable,GALLIFORMES,Cracidae,nea
