common_name,scientific_name,status,order,family,region
Black-bellied Plover,Pluvialis squatarola,Vulnerable,CHARADRIIFORMES,Charadriidae,TT
American Golden-Plover,Pluvialis dominica,,CHARADRIIFORMES,Charadriidae,TT
Pied Plover,Hoploxypterus cayanus,Rare/Accidental,CHARADRIIFORMES,Charadriidae,TT
Killdeer,Charadrius vociferus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Charadriidae,TT
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental,CHARADRIIFORMES,Charadriidae,TT
Semipalmated Plover,Charadrius semipalmatus,,CHARADRIIFORMES,Charadriidae,TT
Southern Lapwing,Vanellus chilensis,,CHARADRIIFORMES,Charadriidae,TT
Wilson's Plover,Anarhynchus wilsonia,,CHARADRIIFORMES,Charadriidae,TT
Collared Plover,Anarhynchus collaris,,CHARADRIIFORMES,Charadriidae,TT
Snowy Plover,Anarhynchus nivosus,Rare/Accidental Near-threatened,CHARADRIIFORMES,Charadriidae,TT
Wattled Jacana,Jacana jacana,,CHARADRIIFORMES,Jacanidae,TT
Upland Sandpiper,Bartramia longicauda,,CHARADRIIFORMES,Scolopacidae,TT
Whimbrel,Numenius phaeopus,,CHARADRIIFORMES,Scolopacidae,TT
Eskimo Curlew,Numenius borealis,Extirpated Critically endangered (possibly extinct),CHARADRIIFORMES,Scolopacidae,TT
Long-billed Curlew,Numenius americanus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Black-tailed Godwit,Limosa limosa,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Hudsonian Godwit,Limosa haemastica,Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Marbled Godwit,Limosa fedoa,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Short-billed Dowitcher,Limnodromus griseus,Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Wilson's Snipe,Gallinago delicata,,CHARADRIIFORMES,Scolopacidae,TT
Pantanal Snipe,Gallinago paraguaiae,,CHARADRIIFORMES,Scolopacidae,TT
Wilson's Phalarope,Phalaropus tricolor,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Terek Sandpiper,Xenus cinereus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Spotted Sandpiper,Actitis macularius,,CHARADRIIFORMES,Scolopacidae,TT
Solitary Sandpiper,Tringa solitaria,,CHARADRIIFORMES,Scolopacidae,TT
Wood Sandpiper,Tringa glareola,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Lesser Yellowlegs,Tringa flavipes,Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Willet,Tringa semipalmata,,CHARADRIIFORMES,Scolopacidae,TT
Spotted Redshank,Tringa erythropus,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Common Greenshank,Tringa nebularia,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Greater Yellowlegs,Tringa melanoleuca,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Ruddy Turnstone,Arenaria interpres,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Red Knot,Calidris canutus,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Ruff,Calidris pugnax,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
Curlew Sandpiper,Calidris ferruginea,Rare/Accidental Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Stilt Sandpiper,Calidris himantopus,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Buff-breasted Sandpiper,Calidris subruficollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Sanderling,Calidris alba,,CHARADRIIFORMES,Scolopacidae,TT
Baird's Sandpiper,Calidris bairdii,Rare/Accidental,CHARADRIIFORMES,Scolopacidae,TT
White-rumped Sandpiper,Calidris fuscicollis,Vulnerable,CHARADRIIFORMES,Scolopacidae,TT
Least Sandpiper,Calidris minutilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Pectoral Sandpiper,Calidris melanotos,,CHARADRIIFORMES,Scolopacidae,TT
Western Sandpiper,Calidris mauri,,CHARADRIIFORMES,Scolopacidae,TT
Semipalmated Sandpiper,Calidris pusilla,Near-threatened,CHARADRIIFORMES,Scolopacidae,TT
Parasitic Jaeger,Stercorarius parasiticus,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,TT
Pomarine Jaeger,Stercorarius pomarinus,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,TT
South Polar Skua,Stercorarius maccormicki,Rare/Accidental,CHARADRIIFORMES,Stercorariidae,TT
Black-legged Kittiwake,Rissa tridactyla,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,TT
Sabine's Gull,Xema sabini,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Black-headed Gull,Chroicocephalus ridibundus,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Laughing Gull,Leucophaeus atricilla,,CHARADRIIFORMES,Laridae,TT
Franklin's Gull,Leucophaeus pipixcan,,CHARADRIIFORMES,Laridae,TT
Audouin's Gull,Ichthyaetus audouinii,Rare/Accidental Vulnerable,CHARADRIIFORMES,Laridae,TT
Ring-billed Gull,Larus delawarensis,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Kelp Gull,Larus dominicanus,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
American Herring Gull,Larus smithsonianus,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Great Black-backed Gull,Larus marinus,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental,CHARADRIIFORMES,Laridae,TT
