scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Jynx torquilla,Eurasian Wryneck,Jynx torquilla,Eurasian Wryneck,PICIFORMES,Picidae,NA,NA,Rare/Accidental,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Wryneck,Jynx torquilla,NA,Picidae (Woodpeckers),Piciformes,yes,Rare/Accidental; Rare/Accidental,yes
Lampornis amethystinus,Amethyst-throated Mountain-gem,Lampornis amethystinus,Amethyst-throated Mountain-gem,APODIFORMES,Trochilidae,NA,Rare/Accidental,Rare/Accidental,NA,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Amethyst-throated Mountain-gem,Lampornis amethystinus,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental; Rare/Accidental,yes
Lanius collurio,Red-backed Shrike,Lanius collurio,Red-backed Shrike,PASSERIFORMES,Laniidae,Rare/Accidental,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Red-backed Shrike,Lanius collurio,widespread Palearctic region; winters to South Africa,Laniidae (Shrikes),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Larus canus,Common Gull,Larus canus,Common Gull,CHARADRIIFORMES,Laridae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Common Gull,Larus canus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Larus dominicanus,Kelp Gull,Larus dominicanus,Kelp Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; SAM; TT; US48; XX,yes,NA,NA,NA,NA,NA,no,Kelp Gull,Larus dominicanus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Larus michahellis,Yellow-legged Gull,Larus michahellis,Yellow-legged Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal; US48; XX,yes,NA,NA,NA,NA,NA,no,Yellow-legged Gull,Larus michahellis,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Larus vegae,Vega Gull,Larus vegae,Vega Gull,CHARADRIIFORMES,Laridae,NA,Rare/Accidental,Rare/Accidental,NA,ASI; CA; CAM; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Vega Gull,Larus vegae,northeastern Siberia; winters southward to China,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Larvivora cyane,Siberian Blue Robin,Larvivora cyane,Siberian Blue Robin,PASSERIFORMES,Muscicapidae,NA,Rare/Accidental,NA,Rare/Accidental,ASI; AUS; CA; EUR; hol; NAM; nea; OCE; pal; USak,yes,NA,NA,NA,NA,NA,no,Siberian Blue Robin,Larvivora cyane,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Larvivora sibilans,Rufous-tailed Robin,Larvivora sibilans,Rufous-tailed Robin,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; EUR; hol; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Rufous-tailed Robin,Larvivora sibilans,breeds southern Siberia to Sea of Okhotsk; winters southern China to southeastern Asia,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Legatus leucophaius,Piratic Flycatcher,Legatus leucophaius,Piratic Flycatcher,PASSERIFORMES,Tyrannidae,NA,NA,Rare/Accidental,NA,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Piratic Flycatcher,Legatus leucophaius,NA,Tyrannidae (Tyrant Flycatchers),Passeriformes,yes,Rare/Accidental,yes
Leucophaeus modestus,Gray Gull,Leucophaeus modestus,Gray Gull,CHARADRIIFORMES,Laridae,Rare/Accidental,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Gray Gull,Leucophaeus modestus,inland nitrate desert of Peru and Chile; ranges to Ecuador,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental,yes
Leucosticte arctoa,Asian Rosy-Finch,Leucosticte arctoa,Asian Rosy-Finch,PASSERIFORMES,Fringillidae,Rare/Accidental,NA,NA,Rare/Accidental,ASI; hol; NAM; nea; USak,yes,NA,NA,NA,NA,NA,no,Asian Rosy-Finch,Leucosticte arctoa,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Rare/Accidental,yes
Locustella fluviatilis,River Warbler,Locustella fluviatilis,River Warbler,PASSERIFORMES,Locustellidae,Rare/Accidental,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,River Warbler,Locustella fluviatilis,central and eastern Europe to western Siberia; winters in eastern Africa,Locustellidae (Grassbirds and Allies),Passeriformes,yes,Rare/Accidental,yes
Locustella lanceolata,Lanceolated Warbler,Locustella lanceolata,Lanceolated Warbler,PASSERIFORMES,Locustellidae,NA,NA,Rare/Accidental,Rare/Accidental,ASI; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Lanceolated Warbler,Locustella lanceolata,NA,Locustellidae (Grassbirds and Allies),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
