scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_NAM_avibase8.17,status_CA_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data
Psittacara mitratus,Mitred Parakeet,Psittacara mitratus,Mitred Parakeet,PSITTACIFORMES,Psittacidae,Introduced species,NA,Introduced species,NA,hol; NAM; nea; SAM; US48; UShi,yes,NA,NA,NA,NA,NA,no,Mitred Parakeet,Psittacara mitratus,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species,yes
Pterodroma arminjoniana,Trindade Petrel,Pterodroma arminjoniana,Trindade Petrel,PROCELLARIIFORMES,Procellariidae,Vulnerable,Rare/Accidental Vulnerable,Rare/Accidental Vulnerable,NA,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Trindade Petrel,Pterodroma arminjoniana,breeds Trindade and Martim Vaz Islands (south Atlantic Ocean),Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable,yes
Pterodroma cahow,Bermuda Petrel,Pterodroma cahow,Bermuda Petrel,PROCELLARIIFORMES,Procellariidae,Endangered,Rare/Accidental Endangered,Rare/Accidental Endangered,NA,CA; CAR; EUR; hol; NAM; nea; pal; US48; XX,yes,NA,NA,NA,NA,NA,no,Bermuda Petrel,Pterodroma cahow,breeds Nonsuch Island (Bermuda); disperses to Gulf Stream,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered,yes
Pterodroma externa,Juan Fernandez Petrel,Pterodroma externa,Juan Fernandez Petrel,PROCELLARIIFORMES,Procellariidae,Vulnerable,NA,Rare/Accidental Vulnerable,NA,ASI; AUS; CAM; hol; NAM; nea; OCE; PAC; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Juan Fernandez Petrel,Pterodroma externa,"Alejandro Selkirk Island (=Mas Afuera, Juan Fernández Islands; far west of central Chile)",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Vulnerable,yes
Pterodroma feae,Fea's Petrel,Pterodroma feae,Fea's Petrel,PROCELLARIIFORMES,Procellariidae,NA,Rare/Accidental,NA,NA,AFR; CA; EUR; hol; MID; NAM; nea; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Fea's Petrel,Pterodroma feae,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Pterodroma gouldi,Gray-faced Petrel,Pterodroma gouldi,Gray-faced Petrel,PROCELLARIIFORMES,Procellariidae,Rare/Accidental,NA,Rare/Accidental,NA,AFR; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Gray-faced Petrel,Pterodroma gouldi,"breeds on many islands, especially Moutohora Island and Hongiora Island (Bay of Plenty), and headlands of northern North Island (New Zealand); non-breeding range in deep subtropical water from Tasman Sea (off southeastern Australia) to southern Melanesian waters (southwestern Pacific Ocean)",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Pterodroma hasitata,Black-capped Petrel,Pterodroma hasitata,Black-capped Petrel,PROCELLARIIFORMES,Procellariidae,Endangered,Rare/Accidental Endangered,Endangered,NA,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Black-capped Petrel,Pterodroma hasitata,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Endangered; Endangered,yes
Pterodroma hypoleuca,Bonin Petrel,Pterodroma hypoleuca,Bonin Petrel,PROCELLARIIFORMES,Procellariidae,NA,NA,Rare/Accidental,NA,ASI; AUS; hol; NAM; nea; OCE; opa; PAC; pal; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Bonin Petrel,Pterodroma hypoleuca,"Volcano, Bonin, and western Hawaiian islands; ranges to Polynesia",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Pterodroma inexpectata,Mottled Petrel,Pterodroma inexpectata,Mottled Petrel,PROCELLARIIFORMES,Procellariidae,Near-threatened,Rare/Accidental Near-threatened,Rare/Accidental Near-threatened,Near-threatened,ASI; AUS; CA; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Mottled Petrel,Pterodroma inexpectata,"breeds Stewart and Snares islands, and southwestern South Island (New Zealand)",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened; Rare/Accidental Near-threatened; Near-threatened,yes
Pterodroma longirostris,Stejneger's Petrel,Pterodroma longirostris,Stejneger's Petrel,PROCELLARIIFORMES,Procellariidae,Vulnerable,NA,Rare/Accidental Vulnerable,NA,ASI; AUS; CAM; hol; NAM; nea; OCE; PAC; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Stejneger's Petrel,Pterodroma longirostris,Alejandro Selkirk Island (off Chile); ranges eastern and North Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Vulnerable,yes
Pterodroma madeira,Zino's Petrel,Pterodroma madeira,Zino's Petrel,PROCELLARIIFORMES,Procellariidae,Rare/Accidental Endangered,NA,Rare/Accidental Endangered,NA,AFR; EUR; hol; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Zino's Petrel,Pterodroma madeira,breeds in summer in cliffs high on Pico do Arieiro (central Madeira; central Macaronesia); non-breeding range in subtropical and tropical Atlantic to Azores (northwestern Macaronesia) and St. Helena and northeastern Brazil (tropical South Atlantic Ocean),Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Endangered,yes
Pterodroma neglecta,Kermadec Petrel,Pterodroma neglecta,Kermadec Petrel,PROCELLARIIFORMES,Procellariidae,NA,NA,Rare/Accidental,NA,AFR; ASI; AUS; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Kermadec Petrel,Pterodroma neglecta,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Pterodroma sandwichensis,Hawaiian Petrel,Pterodroma sandwichensis,Hawaiian Petrel,PROCELLARIIFORMES,Procellariidae,Endangered,Rare/Accidental Endangered,Rare/Accidental Endangered,Endemic (country/region) Endangered,ASI; CA; CAM; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Hawaiian Petrel,Pterodroma sandwichensis,Hawaiian Islands; ranges southward to Polynesia,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered; Endemic (country/region) Endangered,yes
Pterodroma solandri,Providence Petrel,Pterodroma solandri,Providence Petrel,PROCELLARIIFORMES,Procellariidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,ASI; AUS; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Providence Petrel,Pterodroma solandri,breeds Lord Howe Island and Philip Island; ranges to northwestern Pacific,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental; Rare/Accidental,yes
Ptiliogonys cinereus,Gray Silky-flycatcher,Ptiliogonys cinereus,Gray Silky-flycatcher,PASSERIFORMES,Ptiliogonatidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Gray Silky-flycatcher,Ptiliogonys cinereus,NA,Ptiliogonatidae (Silky-flycatchers),Passeriformes,yes,Rare/Accidental,yes
Puffinus baroli,Barolo Shearwater,Puffinus baroli,Barolo Shearwater,PROCELLARIIFORMES,Procellariidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Barolo Shearwater,Puffinus baroli,"Azores, Desertas, Salvage, and Canary islands",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental; Rare/Accidental,yes
Puffinus lherminieri,Sargasso Shearwater,Puffinus lherminieri,Sargasso Shearwater,PROCELLARIIFORMES,Procellariidae,NA,Rare/Accidental,NA,NA,CA; CAM; CAR; hol; NAM; nan; nea; pal; SAM; TT; US48; XX,yes,NA,NA,NA,NA,NA,no,Sargasso Shearwater,Puffinus lherminieri,NA,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental,yes
Puffinus newelli,Newell's Shearwater,Puffinus newelli,Newell's Shearwater,PROCELLARIIFORMES,Procellariidae,Critically endangered,NA,Rare/Accidental Critically endangered,NA,ASI; AUS; CAM; hol; NAM; nea; OCE; PAC; US48; UShi; XX,yes,NA,NA,NA,NA,NA,no,Newell's Shearwater,Puffinus newelli,"breeds main Hawaiian Islands (primarily Kauai, also Molokai, Maui, and Hawaii); nonbreeding in the eastern tropical Pacific Ocean",Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Critically endangered,yes
Puffinus opisthomelas,Black-vented Shearwater,Puffinus opisthomelas,Black-vented Shearwater,PROCELLARIIFORMES,Procellariidae,Near-threatened,Rare/Accidental Near-threatened,Near-threatened,NA,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-vented Shearwater,Puffinus opisthomelas,islands off western coast of Baja California; disperses adjacent Mexican waters,Procellariidae (Shearwaters and Petrels),Procellariiformes,yes,Rare/Accidental Near-threatened; Near-threatened,yes
Pycnonotus cafer,Red-vented Bulbul,Pycnonotus cafer,Red-vented Bulbul,PASSERIFORMES,Pycnonotidae,Introduced species,NA,Introduced species,NA,ASI; AUS; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-vented Bulbul,Pycnonotus cafer,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,Introduced species,yes
Pycnonotus jocosus,Red-whiskered Bulbul,Pycnonotus jocosus,Red-whiskered Bulbul,PASSERIFORMES,Pycnonotidae,Introduced species,NA,Introduced species,NA,AFR; ASI; AUS; hol; MID; NAM; OCE; PAC; pal; US48; UShi,yes,NA,NA,NA,NA,NA,no,Red-whiskered Bulbul,Pycnonotus jocosus,NA,Pycnonotidae (Bulbuls),Passeriformes,yes,Introduced species,yes
Pygochelidon cyanoleuca,Blue-and-white Swallow,Pygochelidon cyanoleuca,Blue-and-white Swallow,PASSERIFORMES,Hirundinidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Blue-and-white Swallow,Pygochelidon cyanoleuca,NA,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Pyrrhula pyrrhula,Eurasian Bullfinch,Pyrrhula pyrrhula,Eurasian Bullfinch,PASSERIFORMES,Fringillidae,NA,NA,NA,Rare/Accidental,AFR; ASI; EUR; hol; MID; NAM; nea; pal; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Bullfinch,Pyrrhula pyrrhula,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Rare/Accidental,yes
Rhynchopsitta pachyrhyncha,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,Thick-billed Parrot,PSITTACIFORMES,Psittacidae,Endangered,NA,Rare/Accidental Endangered,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Thick-billed Parrot,Rhynchopsitta pachyrhyncha,mountains of western Mexico (Sierra Madre Occidental),Psittacidae (New World and African Parrots),Psittaciformes,yes,Rare/Accidental Endangered,yes
Ridgwayia pinicola,Aztec Thrush,Ridgwayia pinicola,Aztec Thrush,PASSERIFORMES,Turdidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Aztec Thrush,Ridgwayia pinicola,oak-pine forest of western and central Mexico (Sonora to Oaxaca),Turdidae (Thrushes and Allies),Passeriformes,yes,Rare/Accidental,yes
Rissa brevirostris,Red-legged Kittiwake,Rissa brevirostris,Red-legged Kittiwake,CHARADRIIFORMES,Laridae,Vulnerable,Rare/Accidental Vulnerable,Rare/Accidental Vulnerable,Vulnerable,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Red-legged Kittiwake,Rissa brevirostris,"Komandorskiye, Aleutian, and Pribilof islands; winters North Pacific","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable; Vulnerable,yes
Rupornis magnirostris,Roadside Hawk,Rupornis magnirostris,Roadside Hawk,ACCIPITRIFORMES,Accipitridae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Roadside Hawk,Rupornis magnirostris,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Rare/Accidental,yes
Saxicola stejnegeri,Amur Stonechat,Saxicola stejnegeri,Amur Stonechat,PASSERIFORMES,Muscicapidae,Rare/Accidental,NA,Rare/Accidental,Rare/Accidental,ASI; AUS; EUR; hol; MID; NAM; nea; OCE; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Amur Stonechat,Saxicola stejnegeri,eastern Siberia to Japan and Korea; winters to southern China and Indochina,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,CHARADRIIFORMES,Scolopacidae,Rare/Accidental,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Eurasian Woodcock,Scolopax rusticola,locally in moist woodland and bogs of Eurasia,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes
Selasphorus heloisa,Bumblebee Hummingbird,Selasphorus heloisa,Bumblebee Hummingbird,APODIFORMES,Trochilidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Bumblebee Hummingbird,Selasphorus heloisa,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Rare/Accidental,yes
Spinus notatus,Black-headed Siskin,Spinus notatus,Black-headed Siskin,PASSERIFORMES,Fringillidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Black-headed Siskin,Spinus notatus,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Rare/Accidental,yes
Spinus spinus,Eurasian Siskin,Spinus spinus,Eurasian Siskin,PASSERIFORMES,Fringillidae,Rare/Accidental,Rare/Accidental,Uncertain origin,Rare/Accidental,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Eurasian Siskin,Spinus spinus,"northern Palearctic; winters Mediterranean region, China, and Ryukyu Islands (southern Japan)","Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Rare/Accidental; Uncertain origin; Rare/Accidental,yes
Spizella wortheni,Worthen's Sparrow,Spizella wortheni,Worthen's Sparrow,PASSERIFORMES,Passerellidae,Endangered,NA,Rare/Accidental Endangered,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Worthen's Sparrow,Spizella wortheni,"northeastern Mexico (Coahuila to Nuevo León, Zacatecas, and Veracruz)",Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental Endangered,yes
Spodiopsar cineraceus,White-cheeked Starling,Spodiopsar cineraceus,White-cheeked Starling,PASSERIFORMES,Sturnidae,Uncertain origin,Uncertain origin,NA,Uncertain origin,ASI; CA; hol; NAM; nea; OCE; PAC; pal; USak,yes,NA,NA,NA,NA,NA,no,White-cheeked Starling,Spodiopsar cineraceus,northeastern Asia; winters in southern China and Philippines,Sturnidae (Starlings),Passeriformes,yes,Uncertain origin; Uncertain origin,yes
Sporophila bouvronides,Lesson's Seedeater,Sporophila bouvronides,Lesson's Seedeater,PASSERIFORMES,Thraupidae,NA,Uncertain origin,NA,NA,CA; CAM; hol; NAM; nan; nea; SAM; TT,yes,NA,NA,NA,NA,NA,no,Lesson's Seedeater,Sporophila bouvronides,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Uncertain origin,yes
Sporophila torqueola,Cinnamon-rumped Seedeater,Sporophila torqueola,Cinnamon-rumped Seedeater,PASSERIFORMES,Thraupidae,NA,NA,Introduced species,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cinnamon-rumped Seedeater,Sporophila torqueola,NA,Thraupidae (Tanagers and Allies),Passeriformes,yes,Introduced species,yes
Stercorarius maccormicki,South Polar Skua,Stercorarius maccormicki,South Polar Skua,CHARADRIIFORMES,Stercorariidae,NA,NA,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; oat; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,South Polar Skua,Stercorarius maccormicki,"breeds coastal Antarctica, especially Ross Sea; also South Shetland and South Orkney islands (off Antarctic Peninsula); winters to northern offshore waters and North Indian Ocean: mostly clockwise to Japanese and Korean waters (western North Pacific) and Gulf Stream of eastern USA (western North Atlantic), then southwestern Canada to northern Baja California and northwestern Africa",Stercorariidae (Skuas and Jaegers),Charadriiformes,yes,Rare/Accidental,yes
Streptopelia turtur,European Turtle-Dove,Streptopelia turtur,European Turtle-Dove,COLUMBIFORMES,Columbidae,Rare/Accidental Vulnerable,NA,Rare/Accidental Vulnerable,NA,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; XX,yes,NA,NA,NA,NA,NA,no,European Turtle-Dove,Streptopelia turtur,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Rare/Accidental Vulnerable,yes
Streptoprocne zonaris,White-collared Swift,Streptoprocne zonaris,White-collared Swift,APODIFORMES,Apodidae,NA,Rare/Accidental,Rare/Accidental,NA,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,White-collared Swift,Streptoprocne zonaris,NA,Apodidae (Swifts),Apodiformes,yes,Rare/Accidental; Rare/Accidental,yes
Strix virgata,Mottled Owl,Strix virgata,Mottled Owl,STRIGIFORMES,Strigidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Mottled Owl,Strix virgata,NA,Strigidae (Owls),Strigiformes,yes,Rare/Accidental,yes
Sula brewsteri,Cocos Booby,Sula brewsteri,Cocos Booby,SULIFORMES,Sulidae,NA,Rare/Accidental,NA,Rare/Accidental,ASI; CA; CAM; hol; NAM; nea; OCE; PAC; SAM; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Cocos Booby,Sula brewsteri,NA,Sulidae (Boobies and Gannets),Suliformes,yes,Rare/Accidental; Rare/Accidental,yes
Sula sula,Red-footed Booby,Sula sula,Red-footed Booby,SULIFORMES,Sulidae,NA,Rare/Accidental,NA,Rare/Accidental,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; oin; opa; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Red-footed Booby,Sula sula,NA,Sulidae (Boobies and Gannets),Suliformes,yes,Rare/Accidental; Rare/Accidental,yes
Synthliboramphus craveri,Craveri's Murrelet,Synthliboramphus craveri,Craveri's Murrelet,CHARADRIIFORMES,Alcidae,Vulnerable,NA,Vulnerable,NA,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Craveri's Murrelet,Synthliboramphus craveri,islands in Gulf of California; disperses north to southern California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Vulnerable,yes
Synthliboramphus hypoleucus,Guadalupe Murrelet,Synthliboramphus hypoleucus,Guadalupe Murrelet,CHARADRIIFORMES,Alcidae,Endangered,Rare/Accidental Endangered,Rare/Accidental Endangered,NA,CA; CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Guadalupe Murrelet,Synthliboramphus hypoleucus,San Benito Island and Guadalupe Island (off Baja California),"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered,yes
Synthliboramphus scrippsi,Scripps's Murrelet,Synthliboramphus scrippsi,Scripps's Murrelet,CHARADRIIFORMES,Alcidae,Vulnerable,Rare/Accidental Vulnerable,Vulnerable,Uncertain origin Vulnerable,CA; CAM; hol; NAM; nea; US48; USak,yes,NA,NA,NA,NA,NA,no,Scripps's Murrelet,Synthliboramphus scrippsi,Channel Islands and islands off western coast of Baja California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental Vulnerable; Vulnerable; Uncertain origin Vulnerable,yes
Tachornis phoenicobia,Antillean Palm Swift,Tachornis phoenicobia,Antillean Palm Swift,APODIFORMES,Apodidae,NA,NA,Rare/Accidental,NA,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Antillean Palm Swift,Tachornis phoenicobia,NA,Apodidae (Swifts),Apodiformes,yes,Rare/Accidental,yes
Tachycineta albilinea,Mangrove Swallow,Tachycineta albilinea,Mangrove Swallow,PASSERIFORMES,Hirundinidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Mangrove Swallow,Tachycineta albilinea,lowlands of northern Mexico to Panama,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental,yes
Tachycineta cyaneoviridis,Bahama Swallow,Tachycineta cyaneoviridis,Bahama Swallow,PASSERIFORMES,Hirundinidae,Endangered,NA,Rare/Accidental Endangered,NA,CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Bahama Swallow,Tachycineta cyaneoviridis,pine forest of northern Bahamas; winters in Bahamas and eastern Cuba,Hirundinidae (Swallows),Passeriformes,yes,Rare/Accidental Endangered,yes
Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,ANSERIFORMES,Anatidae,Uncertain origin,Uncertain origin,NA,NA,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Ruddy Shelduck,Tadorna ferruginea,"breeds Iberian Peninsula and Mediterranean northern Africa eastward through southern Russia to eastern China and in the south through Türkiye to Tibetan Plateau including Ladakh; winters to Ethiopia, southern India, and southeastern Asia; introduced in central Europe and the Canary Islands, and appears frequently elsewhere","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Uncertain origin,yes
Tadorna tadorna,Common Shelduck,Tadorna tadorna,Common Shelduck,ANSERIFORMES,Anatidae,Rare/Accidental,Rare/Accidental,NA,NA,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal,yes,NA,NA,NA,NA,NA,no,Common Shelduck,Tadorna tadorna,breeds western Europe to east-central Asia; winters to northern Africa through southern Asia,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes
Tarsiger cyanurus,Red-flanked Bluetail,Tarsiger cyanurus,Red-flanked Bluetail,PASSERIFORMES,Muscicapidae,Rare/Accidental,Rare/Accidental,NA,Rare/Accidental,ASI; CA; CAM; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Red-flanked Bluetail,Tarsiger cyanurus,"breeds from Finland and northern Russia eastward to Mongolia, northeastern China, Korea, and Japan; resident in Japan (except for Hokkaido), otherwise winters to southern China, Taiwan, Indochina, Myanmar, and Thailand",Muscicapidae (Old World Flycatchers),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes
Tetraogallus himalayensis,Himalayan Snowcock,Tetraogallus himalayensis,Himalayan Snowcock,GALLIFORMES,Phasianidae,Introduced species,NA,Introduced species,NA,ASI; hol; MID; NAM; nea; pal; US48,yes,NA,NA,NA,NA,NA,no,Himalayan Snowcock,Tetraogallus himalayensis,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Introduced species,yes
Thalassarche cauta,White-capped Albatross,Thalassarche cauta,White-capped Albatross,PROCELLARIIFORMES,Diomedeidae,Rare/Accidental,NA,Rare/Accidental,NA,AFR; ASI; AUS; hol; MID; NAM; nea; OCE; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,White-capped Albatross,Thalassarche cauta,NA,Diomedeidae (Albatrosses),Procellariiformes,yes,Rare/Accidental,yes
Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,PROCELLARIIFORMES,Diomedeidae,Endangered,Rare/Accidental Endangered,Rare/Accidental Endangered,NA,AFR; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; oat; OCE; oin; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Tristan da Cunha and Gough islands; ranges southern oceans,Diomedeidae (Albatrosses),Procellariiformes,yes,Rare/Accidental Endangered; Rare/Accidental Endangered,yes
Thalassarche eremita,Chatham Albatross,Thalassarche eremita,Chatham Albatross,PROCELLARIIFORMES,Diomedeidae,Rare/Accidental Vulnerable,NA,Rare/Accidental Vulnerable,NA,AFR; AUS; hol; NAM; nea; OCE; PAC; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Chatham Albatross,Thalassarche eremita,"breeds Pyramid Rock (Chatham Islands), non-breeders range in Humboldt and Magellanic currents off southern Peru and Chile",Diomedeidae (Albatrosses),Procellariiformes,yes,Rare/Accidental Vulnerable,yes
Thalassarche melanophris,Black-browed Albatross,Thalassarche melanophris,Black-browed Albatross,PROCELLARIIFORMES,Diomedeidae,NA,Rare/Accidental,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; opa; PAC; pal; SAM; US48; XX,yes,NA,NA,NA,NA,NA,no,Black-browed Albatross,Thalassarche melanophris,NA,Diomedeidae (Albatrosses),Procellariiformes,yes,Rare/Accidental; Rare/Accidental,yes
Thalassarche salvini,Salvin's Albatross,Thalassarche salvini,Salvin's Albatross,PROCELLARIIFORMES,Diomedeidae,Rare/Accidental Vulnerable,NA,Rare/Accidental Vulnerable,Rare/Accidental Vulnerable,AFR; AUS; CAM; hol; NAM; nea; OCE; opa; PAC; SAM; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Salvin's Albatross,Thalassarche salvini,"Crozet, Snares, and Bounty islands",Diomedeidae (Albatrosses),Procellariiformes,yes,Rare/Accidental Vulnerable; Rare/Accidental Vulnerable,yes
Thamnophilus doliatus,Barred Antshrike,Thamnophilus doliatus,Barred Antshrike,PASSERIFORMES,Thamnophilidae,NA,NA,Rare/Accidental,NA,CAM; hol; NAM; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,Barred Antshrike,Thamnophilus doliatus,NA,Thamnophilidae (Typical Antbirds),Passeriformes,yes,Rare/Accidental,yes
