common_name,scientific_name,status,order,family,region
Lesser Antillean Swift,Chaetura martinica,Endemic,APODIFORMES,Apodidae,CAR
Chimney Swift,Chaetura pelagica,Vulnerable,APODIFORMES,Apodidae,CAR
Short-tailed Swift,Chaetura brachyura,,APODIFORMES,Apodidae,CAR
Alpine Swift,Tachymarptis melba,Rare/Accidental,APODIFORMES,Apodidae,CAR
Common Swift,Apus apus,Rare/Accidental,APODIFORMES,Apodidae,CAR
Little Swift,Apus affinis,Rare/Accidental,APODIFORMES,Apodidae,CAR
House Swift,Apus nipalensis,Rare/Accidental,APODIFORMES,Apodidae,CAR
Antillean Palm Swift,Tachornis phoenicobia,Endemic,APODIFORMES,Apodidae,CAR
Rufous-breasted Hermit,Glaucis hirsutus,,APODIFORMES,Trochilidae,CAR
Jamaican Mango,Anthracothorax mango,Endemic,APODIFORMES,Trochilidae,CAR
Green-breasted Mango,Anthracothorax prevostii,,APODIFORMES,Trochilidae,CAR
Hispaniolan Mango,Anthracothorax dominicus,Endemic,APODIFORMES,Trochilidae,CAR
Puerto Rican Mango,Anthracothorax aurulentus,Endemic,APODIFORMES,Trochilidae,CAR
Green Mango,Anthracothorax viridis,Endemic,APODIFORMES,Trochilidae,CAR
Purple-throated Carib,Eulampis jugularis,Endemic,APODIFORMES,Trochilidae,CAR
Green-throated Carib,Eulampis holosericeus,Endemic,APODIFORMES,Trochilidae,CAR
Ruby-throated Hummingbird,Archilochus colubris,,APODIFORMES,Trochilidae,CAR
Bahama Woodstar,Nesophlox evelynae,Endemic,APODIFORMES,Trochilidae,CAR
Inagua Woodstar,Nesophlox lyrura,Endemic,APODIFORMES,Trochilidae,CAR
Vervain Hummingbird,Mellisuga minima,Endemic,APODIFORMES,Trochilidae,CAR
Bee Hummingbird,Mellisuga helenae,Endemic Near-threatened,APODIFORMES,Trochilidae,CAR
Rufous Hummingbird,Selasphorus rufus,Rare/Accidental Near-threatened,APODIFORMES,Trochilidae,CAR
Cuban Emerald,Riccordia ricordii,Endemic,APODIFORMES,Trochilidae,CAR
Brace's Emerald,Riccordia bracei,Endemic Extinct,APODIFORMES,Trochilidae,CAR
Hispaniolan Emerald,Riccordia swainsonii,Endemic,APODIFORMES,Trochilidae,CAR
Puerto Rican Emerald,Riccordia maugaeus,Endemic,APODIFORMES,Trochilidae,CAR
Blue-headed Hummingbird,Riccordia bicolor,Endemic Near-threatened,APODIFORMES,Trochilidae,CAR
Antillean Crested Hummingbird,Orthorhyncus cristatus,,APODIFORMES,Trochilidae,CAR
Red-billed Streamertail,Trochilus polytmus,Endemic,APODIFORMES,Trochilidae,CAR
Black-billed Streamertail,Trochilus scitulus,Endemic,APODIFORMES,Trochilidae,CAR
King Rail,Rallus elegans,Near-threatened,GRUIFORMES,Rallidae,CAR
Clapper Rail,Rallus crepitans,,GRUIFORMES,Rallidae,CAR
Virginia Rail,Rallus limicola,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Corn Crake,Crex crex,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Spotted Rail,Pardirallus maculatus,,GRUIFORMES,Rallidae,CAR
Zapata Rail,Mustelirallus cerverai,Endemic Critically endangered,GRUIFORMES,Rallidae,CAR
Uniform Crake,Amaurolimnas concolor,Extirpated,GRUIFORMES,Rallidae,CAR
Sora,Porzana carolina,,GRUIFORMES,Rallidae,CAR
Spotted Crake,Porzana porzana,Rare/Accidental,GRUIFORMES,Rallidae,CAR
Common Gallinule,Gallinula galeata,,GRUIFORMES,Rallidae,CAR
American Coot,Fulica americana,,GRUIFORMES,Rallidae,CAR
