cavitynest_interactor,Region,recorder,InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,BBS_Seq,BBS_AOU2023,new_in_2023BBS_specieslist,SpeciesList,notes
tertiary,CONUS & Canada,EP,11/23/2022,"Mowbray, T. B., C. R. Ely, J. S. Sedinger, and R. E. Trost (2020). Canada Goose (Branta canadensis), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cangoo.01",Branta,canadensis,Canada Goose,Bernache du Canada,Branta canadensis,Anseriformes,Anatidae,22,1720,,BBS2022,
quaternary,CONUS & Canada,IH ,9/12/2023-9/15/2023,"Ciaranca, M. A., C. C. Allin, and G. S. Jones (2020). Mute Swan (Cygnus olor), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.mutswa.01",Cygnus,olor,Mute Swan,Cygne tuberculé,Cygnus olor,Anseriformes,Anatidae,23,1782,,BBS2022,
,CONUS & Canada,EH,11/9/2023,"Mitchell, C. D. and M. W. Eichholz (2020). Trumpeter Swan (Cygnus buccinator), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.truswa.01",Cygnus,buccinator,Trumpeter Swan,Cygne trompette,Cygnus buccinator,Anseriformes,Anatidae,24,1810,,BBS2022,
quaternary,CONUS & Canada,IH,9/21/2023,"Limpert, R. J., S. L. Earnst, C. Carboneras, and G. M. Kirwan (2020). Tundra Swan (Cygnus columbianus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.tunswa.01",Cygnus,columbianus,Tundra Swan,Cygne siffleur,Cygnus columbianus,Anseriformes,Anatidae,25,1800,,BBS2022,
,CONUS & Canada,EH,11/10/2023,"Callaghan, C. T., D. M. Brooks, and P. Pyle (2020). Egyptian Goose (Alopochen aegyptiaca), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.egygoo.01",Alopochen,aegyptiaca,Egyptian Goose,Ouette d'Égypte,Alopochen aegyptiaca,Anseriformes,Anatidae,27,20630,,BBS2022,
,CONUS & Canada,IH ,11/10/2023,"Eitniear, J. C., R. Bribiesca-Formisano, C. I. Rodríguez-Flores, C. A. Soberanes-González, and M. d. C. Arizmendi (2020). Muscovy Duck (Cairina moschata), version 1.0. In Birds of the World (T. S. Schulenberg, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.musduc.01",Cairina,moschata,Muscovy Duck,Canard musqué,Cairina moschata,Anseriformes,Anatidae,28,10210,,BBS2022,
secondary,CONUS & Canada,MB/IH,4/2/2019-09/13/2022,"Hepp, G. R. and F. C. Bellrose (2020). Wood Duck (Aix sponsa), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.wooduc.01",Aix,sponsa,Wood Duck,Canard branchu,Aix sponsa,Anseriformes,Anatidae,29,1440,,BBS2022,
tertiary,CONUS & Canada,EP,11/23/2022,"Rohwer, F. C., W. P. Johnson, and E. R. Loos (2020). Blue-winged Teal (Spatula discors), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.buwtea.01",Spatula,discors,Blue-winged Teal,Sarcelle à ailes bleues,Spatula discors,Anseriformes,Anatidae,32,1400,,BBS2022,
tertiary,CONUS & Canada,EP,11/23/2022,"Gammonley, J. H. (2020). Cinnamon Teal (Spatula cyanoptera), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.cintea.01",Spatula,cyanoptera,Cinnamon Teal,Sarcelle cannelle,Spatula cyanoptera,Anseriformes,Anatidae,33,1410,,BBS2022,
quaternary,CONUS & Canada,GD,9/11/2023-9/12/2023,"Dubowy, P. J., C. Carboneras, and G. M. Kirwan (2020). Northern Shoveler (Spatula clypeata), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norsho.01 ",Spatula,clypeata,Northern Shoveler,Canard souchet,Spatula clypeata,Anseriformes,Anatidae,34,1420,,BBS2022,
tertiary,CONUS & Canada,EP,11/25/2022,"Leschack, C. R., S. K. McKnight, and G. R. Hepp (2020). Gadwall (Mareca strepera), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.gadwal.01",Mareca,strepera,Gadwall,Canard chipeau,Mareca strepera,Anseriformes,Anatidae,35,1350,,BBS2022,
