cavitynest_interactor,Region,recorder,InteractionPairs_entry,BOW_citation,Genus,Species,English_Common_Name,French_Common_Name,Spanish_Common_Name,ORDER,Family,BBS_Seq,BBS_AOU2023,new_in_2023BBS_specieslist,SpeciesList,notes
tertiary,CONUS & Canada,EP,10/03/2022,"Bechard, M. J., C. S. Houston, J. H. Sarasola, and A. S. England (2020). Swainson's Hawk (Buteo swainsoni), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.swahaw.01",Buteo,swainsoni,Swainson's Hawk,Buse de Swainson,Buteo swainsoni,Accipitriformes,Accipitridae,656,3420,,BBS2022,
secondary,CONUS & Canada,"MB, EP","3/21/2019, checked 6/20/2022","Johnson, R. R., R. L. Glinski, and S. W. Matteson (2020). Zone-tailed Hawk (Buteo albonotatus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.zothaw.01",Buteo,albonotatus,Zone-tailed Hawk,Buse à queue barrée,Buteo albonotatus,Accipitriformes,Accipitridae,657,3400,,BBS2022,
secondary,CONUS & Canada,EP,4/9/2022,"Preston, C. R. and R. D. Beane (2020). Red-tailed Hawk (Buteo jamaicensis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rethaw.01",Buteo,jamaicensis,Red-tailed Hawk,Buse à queue rousse,Buteo jamaicensis,Accipitriformes,Accipitridae,658,3370,,BBS2022,
quaternary,CONUS & Canada,EP,4/9/2023,"Preston, C. R. and R. D. Beane (2020). Red-tailed Hawk (Buteo jamaicensis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rethaw.02",Buteo,jamaicensis harlani,(Harlan's Hawk) Red-tailed Hawk,Buse à queue rousse (groupe harlani),Buteo jamaicensis harlani,Accipitriformes,Accipitridae,659,3380,,BBS2022,
tertiary,CONUS & Canada,EP,2/6/2023,"Bechard, M. J., T. R. Swem, J. Orta, P. F. D. Boesman, E. F. J. Garcia, and J. S. Marks (2020). Rough-legged Hawk (Buteo lagopus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rolhaw.01",Buteo,lagopus,Rough-legged Hawk,Buse pattue,Buteo lagopus,Accipitriformes,Accipitridae,660,3470,,BBS2022,
tertiary,CONUS & Canada,EP,2/6/2023,"Ng, J., M. D. Giovanni, M. J. Bechard, J. K. Schmutz, and P. Pyle (2020). Ferruginous Hawk (Buteo regalis), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.ferhaw.01",Buteo,regalis,Ferruginous Hawk,Buse rouilleuse,Buteo regalis,Accipitriformes,Accipitridae,661,3480,,BBS2022,
tertiary,CONUS & Canada,,N/A; unidentified species,,Buteo,sp.,unid. Buteo hawk,unid Buse sp.,Buteo sp.,Accipitriformes,Accipitridae,662,3451,,BBS2022,
secondary,CONUS & Canada,EP,9/29/2022,"Marti, C. D., A. F. Poole, L. R. Bevier, M.D. Bruce, D. A. Christie, G. M. Kirwan, and J. S. Marks (2020). Barn Owl (Tyto alba), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brnowl.01",Tyto,alba,Barn Owl,Effraie des clochers,Tyto alba,Strigiformes,Tytonidae,663,3650,,BBS2022,
secondary,CONUS & Canada,"PLZ, EP",4/11/2022,"Linkhart, B. D. and D. A. McCallum (2020). Flammulated Owl (Psiloscops flammeolus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.flaowl.01",Psiloscops,flammeolus,Flammulated Owl,Petit-duc nain,Psiloscops flammeolus,Strigiformes,Strigidae,665,3740,,BBS2022,
secondary,CONUS & Canada,EP,4/25/2019; checked 7/8/2022,"Cannings, R. J., T. Angell, P. Pyle, and M. A. Patten (2020). Western Screech-Owl (Megascops kennicottii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.wesowl1.01",Megascops,kennicottii,Western Screech-Owl,Petit-duc des montagnes,Megascops kennicottii,Strigiformes,Strigidae,666,3732,,BBS2022,
secondary,CONUS & Canada,EP,4/11/2022,"Ritchison, G., F. R. Gehlbach, P. Pyle, and M. A. Patten (2020). Eastern Screech-Owl (Megascops asio), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.easowl1.01",Megascops,asio,Eastern Screech-Owl,Petit-duc maculé,Megascops asio,Strigiformes,Strigidae,667,3730,,BBS2022,
secondary,CONUS & Canada,EP,4/13/2022,"Gehlbach, F. R., N. Y. Gehlbach, P. Pyle, and M. A. Patten (2020). Whiskered Screech-Owl (Megascops trichopsis), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.whsowl1.01",Megascops,trichopsis,Whiskered Screech-Owl,Petit-duc à moustaches,Megascops trichopsis,Strigiformes,Strigidae,670,3731,,BBS2022,
secondary,CONUS & Canada,EP,4/13/2022,"Artuso, C., C. S. Houston, D. G. Smith, and C. Rohner (2020). Great Horned Owl (Bubo virginianus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.grhowl.01",Bubo,virginianus,Great Horned Owl,Grand-duc d'Amérique,Bubo virginianus,Strigiformes,Strigidae,675,3750,,BBS2022,
tertiary,CONUS & Canada,IH,2/6/2023-2/8/2023,"Holt, D. W., M. D. Larson, N. Smith, D. L. Evans, and D. F. Parmelee (2020). Snowy Owl (Bubo scandiacus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.snoowl1.01",Bubo,scandiacus,Snowy Owl,Harfang des neiges,Bubo scandiacus,Strigiformes,Strigidae,676,3760,,BBS2022,
secondary,CONUS & Canada,EP,10/03/2022,"Duncan, J. R. and P. A. Duncan (2020). Northern Hawk Owl (Surnia ulula), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.nohowl.01",Surnia,ulula,Northern Hawk Owl,Chouette épervière,Surnia ulula,Strigiformes,Strigidae,677,3770,,BBS2022,
secondary,CONUS & Canada,EP,4/20/2022,"Holt, D. W. and J. L. Petersen (2020). Northern Pygmy-Owl (Glaucidium gnoma), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.nopowl.01",Glaucidium,gnoma,Northern Pygmy-Owl,Chevêchette naine,Glaucidium gnoma,Strigiformes,Strigidae,678,3790,,BBS2022,
secondary,CONUS & Canada,EP,4/21/2022,"Proudfoot, G. A., R. R. Johnson, and R. Larsen (2020). Ferruginous Pygmy-Owl (Glaucidium brasilianum), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.fepowl.01",Glaucidium,brasilianum,Ferruginous Pygmy-Owl,Chevêchette brune,Glaucidium brasilianum,Strigiformes,Strigidae,682,3800,,BBS2022,
secondary,CONUS & Canada,EP,4/21/2022,"Henry, S. G., F. R. Gehlbach, D. Molfetto, and P. Howard (2020). Elf Owl (Micrathene whitneyi), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.elfowl.01",Micrathene,whitneyi,Elf Owl,Chevêchette des saguaros,Micrathene whitneyi,Strigiformes,Strigidae,683,3810,,BBS2022,
tertiary,CONUS & Canada,EP,10/05/2022,"Poulin, R. G., L. D. Todd, E. A. Haug, B. A. Millsap, and M. S. Martell (2020). Burrowing Owl (Athene cunicularia), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.burowl.01",Athene,cunicularia,Burrowing Owl,Chevêche des terriers,Athene cunicularia,Strigiformes,Strigidae,684,3780,,BBS2022,
secondary,CONUS & Canada,EP,4/23/2022,"Gutiérrez, R. J., A. B. Franklin, and W. S. Lahaye (2020). Spotted Owl (Strix occidentalis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.spoowl.01",Strix,occidentalis,Spotted Owl,Chouette tachetée,Strix occidentalis,Strigiformes,Strigidae,687,3690,,BBS2022,
secondary,CONUS & Canada,EP,5/4/2022,"Mazur, K. M. and P. C. James (2021). Barred Owl (Strix varia), version 1.1. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.brdowl.01.1",Strix,varia,Barred Owl,Chouette rayée,Strix varia,Strigiformes,Strigidae,688,3680,,BBS2022,
tertiary,CONUS & Canada,EP,2/7/2023,"Bull, E. L. and J. R. Duncan (2020). Great Gray Owl (Strix nebulosa), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.grgowl.01",Strix,nebulosa,Great Gray Owl,Chouette lapone,Strix nebulosa,Strigiformes,Strigidae,690,3700,,BBS2022,
tertiary,CONUS & Canada,EP,2/7/2023 - 2/10/2023,"Marks, J. S., D. L. Evans, and D. W. Holt (2020). Long-eared Owl (Asio otus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.loeowl.01",Asio,otus,Long-eared Owl,Hibou moyen-duc,Asio otus,Strigiformes,Strigidae,691,3660,,BBS2022,
tertiary,CONUS & Canada,JZ,10/11/2022-10/24/2022,"Wiggins, D. A., D. W. Holt, and S. M. Leasure (2020). Short-eared Owl (Asio flammeus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.sheowl.01",Asio,flammeus,Short-eared Owl,Hibou des marais,Asio flammeus,Strigiformes,Strigidae,693,3670,,BBS2022,
secondary,CONUS & Canada,PLZ,11/23/2021,"Hayward, G. D. and P. H. Hayward (2020). Boreal Owl (Aegolius funereus), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.borowl.01",Aegolius,funereus,Boreal Owl,Nyctale de Tengmalm,Aegolius funereus,Strigiformes,Strigidae,695,3710,,BBS2022,
secondary,CONUS & Canada,PLZ,3/16/2022,"Rasmussen, J. L., S. G. Sealy, and R. J. Cannings (2020). Northern Saw-whet Owl (Aegolius acadicus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.nswowl.01",Aegolius,acadicus,Northern Saw-whet Owl,Petite Nyctale,Aegolius acadicus,Strigiformes,Strigidae,696,3720,,BBS2022,
secondary,CONUS & Canada,EP,5/4/2022,"Kunzmann, M. R., L. S. Hall, R. R. Johnson, and N. R. Williams (2020). Elegant Trogon (Trogon elegans), version 1.0. In Birds of the World (S. M. Billerman, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.eletro.01",Trogon,elegans,Elegant Trogon,Trogon élégant,Trogon elegans,Trogoniformes,Trogonidae,703,3890,,BBS2022,
quaternary,CONUS & Canada,EH,10/31/2023,"Brush, T. (2020). Ringed Kingfisher (Megaceryle torquata), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rinkin1.01",Megaceryle,torquata,Ringed Kingfisher,Martin-pêcheur à ventre roux,Megaceryle torquata,Coraciiformes,Alcedinidae,716,3901,,BBS2022,
secondary,CONUS & Canada,EP,5/4/2022,"Kelly, J. F., E. S. Bridge, and M. J. Hamas (2020). Belted Kingfisher (Megaceryle alcyon), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.belkin1.01",Megaceryle,alcyon,Belted Kingfisher,Martin-pêcheur d'Amérique,Megaceryle alcyon,Coraciiformes,Alcedinidae,717,3900,,BBS2022,
tertiary,CONUS & Canada,IH,2/8/2023,"Moskoff, W. (2020). Green Kingfisher (Chloroceryle americana), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.grnkin.01",Chloroceryle,americana,Green Kingfisher,Martin-pêcheur vert,Chloroceryle americana,Coraciiformes,Alcedinidae,719,3910,,BBS2022,
primary,CONUS & Canada,"PLZ, IH",2/3/2022; 3/28/2023-4/4/2023,"Vierling, K. T., V. A. Saab, and B. W. Tobalske (2020). Lewis's Woodpecker (Melanerpes lewis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.lewwoo.01",Melanerpes,lewis,Lewis's Woodpecker,Pic de Lewis,Melanerpes lewis,Piciformes,Picidae,728,4080,,BBS2022,
primary,CONUS & Canada,"PLZ, IH",2/7/2022; 4/4/2023,"Frei, B., K. G. Smith, J. H. Withgott, P. G. Rodewald, P. Pyle, and M. A. Patten (2020). Red-headed Woodpecker (Melanerpes erythrocephalus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.rehwoo.01",Melanerpes,erythrocephalus,Red-headed Woodpecker,Pic à tête rouge,Melanerpes erythrocephalus,Piciformes,Picidae,729,4060,,BBS2022,
primary,CONUS & Canada,"PLZ, IH",2/3/2022; 4/4/2023,"Koenig, W. D., E. L. Walters, P. B. Stacey, M. T. Stanback, and R. L. Mumme (2020). Acorn Woodpecker (Melanerpes formicivorus), version 1.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.acowoo.01",Melanerpes,formicivorus,Acorn Woodpecker,Pic glandivore,Melanerpes formicivorus,Piciformes,Picidae,730,4070,,BBS2022,
primary,CONUS & Canada,"PLZ, JZ",3/28/2019; 2/8/2022; 4/4/2023,"Edwards, H. H. and G. D. Schnell (2020). Gila Woodpecker (Melanerpes uropygialis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.gilwoo.01",Melanerpes,uropygialis,Gila Woodpecker,Pic des saguaros,Melanerpes uropygialis,Piciformes,Picidae,735,4110,,BBS2022,
primary,CONUS & Canada,"PLZ, IH",2/3/2022; 4/6/2023-4/11/2023,"Husak, M. S. and T. C. Maxwell (2020). Golden-fronted Woodpecker (Melanerpes aurifrons), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.gofwoo.01",Melanerpes,aurifrons,Golden-fronted Woodpecker,Pic à front doré,Melanerpes aurifrons,Piciformes,Picidae,736,4100,,BBS2022,
primary,CONUS & Canada,"PLZ, JZ",3/8/2022; 4/6/2023,"Miller, K. E., D. L. Leonard Jr., C. E. Shackelford, R. E. Brown, and R. N. Conner (2020). Red-bellied Woodpecker (Melanerpes carolinus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.rebwoo.01",Melanerpes,carolinus,Red-bellied Woodpecker,Pic à ventre roux,Melanerpes carolinus,Piciformes,Picidae,737,4090,,BBS2022,
primary,CONUS & Canada,"EP, IH ",4/2/2019; 3/18/2022; 4/11/2023,"Gyug, L. W., R. C. Dobbs, T. E. Martin, and C. J. Conway (2020). Williamson's Sapsucker (Sphyrapicus thyroideus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.wilsap.01",Sphyrapicus,thyroideus,Williamson's Sapsucker,Pic de Williamson,Sphyrapicus thyroideus,Piciformes,Picidae,738,4040,,BBS2022,
primary,CONUS & Canada,"EP, IH ",3/28/2019; 3/18/2022; 4/11/2023-4/13/2023,"Walters, E. L., E. H. Miller, and P. E. Lowther (2020). Yellow-bellied Sapsucker (Sphyrapicus varius), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.yebsap.01",Sphyrapicus,varius,Yellow-bellied Sapsucker,Pic maculé,Sphyrapicus varius,Piciformes,Picidae,739,4020,,BBS2022,
primary,CONUS & Canada,"EP, IH ",3/17/2022; 4/13/2023-4/20/2023,"Walters, E. L., E. H. Miller, and P. E. Lowther (2020). Red-naped Sapsucker (Sphyrapicus nuchalis), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rensap.01",Sphyrapicus,nuchalis,Red-naped Sapsucker,Pic à nuque rouge,Sphyrapicus nuchalis,Piciformes,Picidae,740,4021,,BBS2022,
primary,CONUS & Canada,"EP, IH ",3/22/2022; 4/20/2023,"Walters, E. L., E. H. Miller, and P. E. Lowther (2020). Red-breasted Sapsucker (Sphyrapicus ruber), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.rebsap.01",Sphyrapicus,ruber,Red-breasted Sapsucker,Pic à poitrine rouge,Sphyrapicus ruber,Piciformes,Picidae,741,4030,,BBS2022,
primary,CONUS & Canada,,NA; no interactions from BOW bc incorporated into species above,,Sphyrapicus,sp.,unid. sapsucker,unid Sphyrapicus sp.,Sphyrapicus sp.,Piciformes,Picidae,742,4022,,BBS2022,
primary,CONUS & Canada,"PLZ, IH",3/19/2019; 2/2/2022; 4/20/2023,"Tremblay, J. A., D. L. Leonard Jr., and L. Imbeau (2020). American Three-toed Woodpecker (Picoides dorsalis), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.attwoo1.01",Picoides,dorsalis,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Piciformes,Picidae,743,4010,,BBS2022,
primary,CONUS & Canada,EP,3/17/2022,"Tremblay, J. A., R. D. Dixon, V. A. Saab, P. Pyle, and M. A. Patten (2020). Black-backed Woodpecker (Picoides arcticus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.bkbwoo.01",Picoides,arcticus,Black-backed Woodpecker,Pic à dos noir,Picoides arcticus,Piciformes,Picidae,744,4000,,BBS2022,
primary,CONUS & Canada,PLZ,2/3/2022,"Jackson, J. A. and H. R. Ouellet (2020). Downy Woodpecker (Dryobates pubescens), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.dowwoo.01",Dryobates,pubescens,Downy Woodpecker,Pic mineur,Dryobates pubescens,Piciformes,Picidae,746,3940,,BBS2022,
primary,CONUS & Canada,PLZ,2/3/2022,"Lowther, P. E., P. Pyle, and M. A. Patten (2020). Nuttall's Woodpecker (Dryobates nuttallii), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.nutwoo.01",Dryobates,nuttallii,Nuttall's Woodpecker,Pic de Nuttall,Dryobates nuttallii,Piciformes,Picidae,747,3970,,BBS2022,
primary,CONUS & Canada,PLZ,2/2/2022,"Lowther, P. E., P. Pyle, and M. A. Patten (2020). Ladder-backed Woodpecker (Dryobates scalaris), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.labwoo.01",Dryobates,scalaris,Ladder-backed Woodpecker,Pic arlequin,Dryobates scalaris,Piciformes,Picidae,748,3960,,BBS2022,
primary,CONUS & Canada,EP,3/10/2022; 3/16/2022,"Jackson, J. A. (2020). Red-cockaded Woodpecker (Dryobates borealis), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.recwoo.01",Dryobates,borealis,Red-cockaded Woodpecker,Pic à face blanche,Dryobates borealis,Piciformes,Picidae,749,3950,,BBS2022,
primary,CONUS & Canada,PLZ,2/3/2022,"Jackson, J. A., H. R. Ouellet, and B. J. Jackson (2020). Hairy Woodpecker (Dryobates villosus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.haiwoo.01",Dryobates,villosus,Hairy Woodpecker,Pic chevelu,Dryobates villosus,Piciformes,Picidae,750,3930,,BBS2022,
primary,CONUS & Canada,PLZ,4/9/2019; 3/16/2022,"Kozma, J. M., T. J. Lorenz, M. G. Raphael, K. L. Garrett, and R. D. Dixon (2020). White-headed Woodpecker (Dryobates albolarvatus), version 2.0. In Birds of the World (P. G. Rodewald and B. K. Keeney, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.whhwoo.02",Dryobates,albolarvatus,White-headed Woodpecker,Pic à tête blanche,Dryobates albolarvatus,Piciformes,Picidae,751,3990,,BBS2022,
primary,CONUS & Canada,PLZ,2/2/2022,"Johnson, R. R., L. T. Haight, J. D. Ligon, P. Pyle, and M. A. Patten (2020). Arizona Woodpecker (Dryobates arizonae), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.ariwoo.01",Dryobates,arizonae,Arizona Woodpecker,Pic d'Arizona,Dryobates arizonae,Piciformes,Picidae,753,3975,,BBS2022,
primary,CONUS & Canada,PLZ,NA; no interactions from BOW and not in BBS (recent split from D. arizonae),"Winkler, H. and D. A. Christie (2020). Strickland's Woodpecker (Dryobates stricklandi), version 1.0. In Birds of the World (J. del Hoyo, A. Elliott, J. Sargatal, D. A. Christie, and E. de Juana, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.strwoo.01",Dryobates,stricklandi,Strickland's Woodpecker,,Dryobates stricklandi,Piciformes,Picidae,,,,BBS2022,
primary,CONUS & Canada,PLZ,4/13/2022,"Wiebe, K. L. and W. S. Moore (2020). Northern Flicker (Colaptes auratus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norfli.01",Colaptes,auratus,(unid. Red/Yellow Shafted) Northern Flicker,Pic flamboyant (groupe non identifié),Colaptes auratus,Piciformes,Picidae,757,4123,,BBS2022,
primary,CONUS & Canada,PLZ,4/13/2022,"Wiebe, K. L. and W. S. Moore (2020). Northern Flicker (Colaptes auratus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norfli.01",Colaptes,auratus auratus,(Yellow-shafted Flicker) Northern Flicker,Pic flamboyant (groupe auratus),Colaptes auratus auratus,Piciformes,Picidae,758,4120,,BBS2022,
primary,CONUS & Canada,PLZ,4/13/2022,"Wiebe, K. L. and W. S. Moore (2020). Northern Flicker (Colaptes auratus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norfli.01",Colaptes,auratus cafer,(Red-shafted Flicker) Northern Flicker,Pic flamboyant (groupe cafer),Colaptes auratus cafer,Piciformes,Picidae,759,4130,,BBS2022,
primary,CONUS & Canada,PLZ,4/13/2022,"Wiebe, K. L. and W. S. Moore (2020). Northern Flicker (Colaptes auratus), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.norfli.02",Colaptes,auratus auratus x auratus cafer,hybrid Northern Flicker (Red x Yellow-shafted),hybride Pic flamboyant (cafer x auratus),Colaptes auratus auratus x auratus cafer,Piciformes,Picidae,760,4125,,BBS2022,
primary,CONUS & Canada,PLZ,2/3/2022,"Moore, W. S., P. Pyle, and K. L. Wiebe (2020). Gilded Flicker (Colaptes chrysoides), version 1.0. In Birds of the World (P. G. Rodewald, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy2.cl.msu.edu/10.2173/bow.gilfli.01",Colaptes,chrysoides,Gilded Flicker,Pic chrysoïde,Colaptes chrysoides,Piciformes,Picidae,761,4140,,BBS2022,
primary,CONUS & Canada,EP,3/23/2022,"Bull, E. L. and J. A. Jackson (2020). Pileated Woodpecker (Dryocopus pileatus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.pilwoo.01",Dryocopus,pileatus,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,764,4050,,BBS2022,
primary,CONUS & Canada,,,,Woodpecker,sp.,unid. woodpecker,unid Pic sp.,Woodpecker sp.,Piciformes,Picidae,766,3920,,BBS2022,
secondary,CONUS & Canada,EP,3/28/2019; checked 7/8/2022,"Morrison, J. L. and J. F. Dwyer (2021). Crested Caracara (Caracara plancus), version 1.0. In Birds of the World (A. F. Poole, Editor). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi-org.proxy1.cl.msu.edu/10.2173/bow.y00678.01",Caracara,plancus,Crested Caracara,Caracara du Nord,Caracara plancus,Falconiformes,Falconidae,771,3620,,BBS2022,
