scientific_name.raw,common_name.raw,scientific_name.edit,edit_notes,comments
Gallus domesticus,Domestic Chicken,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024), common name match:  Mexican Chickadee 0.78 Poecile sclateri ; scientific name match:  Gallirallus modestus 0.81 ;
Gallus domesticus,Chicken,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024), common name match:  Cricket Longtail 0.74 Spiloptila clamans ; scientific name match:  Gallirallus modestus 0.81 ;
Gallus domesticus,Domesticated Chicken,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024),scientific name match:  Gallirallus modestus 0.81 ;
Gallus gallus domesticus,Domesticated Chicken,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024),scientific name match:  Gallus gallus (Domestic type) 0.89 ;
Gallus gallus domesticus,Domestic Chicken,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024), common name match:  Mexican Chickadee 0.78 Poecile sclateri ; scientific name match:  Gallus gallus (Domestic type) 0.89 ;
Gallus gallus domesticus,Domestic Fowl,Gallus gallus (Domestic type) ,update species to match checklist (Clements 2024), common name match:  Desert Owl 0.81 Strix hadorami ; scientific name match:  Gallus gallus (Domestic type) 0.89 ;
Lamprotornis nitens culminator,Red-Shouldered Glossy-Starling,,, common name match:  Red-shouldered Tanager 0.82 Tachyphonus phoenicius ; scientific name match:  Lamprotornis nitens 0.88 ;
Lanius schach erythronotus/tricolor,Black-Headed Shrike,,, common name match:  Black-headed Shrike-Babbler 0.9 Pteruthius rufiventer ; scientific name match:  Lanius schach erythronotus 0.91 ;
Larus argentatus vegae,Herring Gull (Vega),Larus vegae,GBIF:5789289,"REVIEW GBIF sugggestions, these have been made already by the workflow.  If correct, then this row can be deleted from this table"
Larus argentatus vegae,Herring Gull (Vega),,, common name match:  Kelp Gull (vetula) 0.72 character(0) ; scientific name match:  Larus argentatus 0.91 ;
Malurus splendens musgravi,Turquoise Fairywren,,, common name match:  Turquoise Jay 0.85 Cyanolyca turcosa ; scientific name match:  Malurus splendens 0.88 ;
