scientific_name_clements2024.combo,common_name_clements2024.combo,AOU_bbs2024.combo,scientific_name_clements2024,common_name_clements2024,scientific_name_bbs2024,AOU_bbs2024,in_bbs2024
Agelaius phoeniceus,Red-winged Blackbird,4980,Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,4980,yes
Agelaius tricolor,Tricolored Blackbird,5000,Agelaius tricolor,Tricolored Blackbird,Agelaius tricolor,5000,yes
Aimophila ruficeps,Rufous-crowned Sparrow,5800,Aimophila ruficeps,Rufous-crowned Sparrow,Aimophila ruficeps,5800,yes
Aix sponsa,Wood Duck,1440,Aix sponsa,Wood Duck,Aix sponsa,1440,yes
Alauda arvensis,Eurasian Skylark,4730,Alauda arvensis,Eurasian Skylark,Alauda arvensis,4730,yes
Alca torda,Razorbill,320,Alca torda,Razorbill,Alca torda,320,yes
Alectoris chukar,Chukar,2882,Alectoris chukar,Chukar,Alectoris chukar,2882,yes
Alle alle,Dovekie,NA,Alle alle,Dovekie,NA,NA,no
Alopochen aegyptiaca,Egyptian Goose,20630,Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,20630,yes
Amazilia yucatanensis,Buff-bellied Hummingbird,4390,Amazilia yucatanensis,Buff-bellied Hummingbird,Amazilia yucatanensis,4390,yes
Amazona viridigenalis,Red-crowned Amazon,3826,Amazona viridigenalis,Red-crowned Amazon,Amazona viridigenalis,3826,yes
Ammodramus savannarum,Grasshopper Sparrow,5460,Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum,5460,yes
Ammospiza caudacuta,Saltmarsh Sparrow,5490,Ammospiza caudacuta,Saltmarsh Sparrow,Ammospiza caudacuta,5490,yes
Ammospiza leconteii,LeConte's Sparrow,5480,Ammospiza leconteii,LeConte's Sparrow,Ammospiza leconteii,5480,yes
Ammospiza maritima,Seaside Sparrow,5500,Ammospiza maritima,Seaside Sparrow,Ammospiza maritima,5500,yes
Ammospiza nelsoni,Nelson's Sparrow,5491,Ammospiza nelsoni,Nelson's Sparrow,Ammospiza nelsoni,5491,yes
Amphispiza bilineata,Black-throated Sparrow,5730,Amphispiza bilineata,Black-throated Sparrow,Amphispiza bilineata,5730,yes
Anarhynchus montanus,Mountain Plover,2810,Anarhynchus montanus,Mountain Plover,Charadrius montanus,2810,yes
Anarhynchus nivosus,Snowy Plover,2780,Anarhynchus nivosus,Snowy Plover,Charadrius nivosus,2780,yes
Anarhynchus wilsonia,Wilson's Plover,2800,Anarhynchus wilsonia,Wilson's Plover,Charadrius wilsonia,2800,yes
Anas acuta,Northern Pintail,1430,Anas acuta,Northern Pintail,Anas acuta,1430,yes
Anas crecca,Green-winged Teal,1390,Anas crecca,Green-winged Teal,Anas crecca,1390,yes
Anas diazi,Mexican Duck,1331,Anas diazi,Mexican Duck,Anas diazi,1331,yes
Anas fulvigula,Mottled Duck,1340,Anas fulvigula,Mottled Duck,Anas fulvigula,1340,yes
Anas platyrhynchos,Mallard,1320,Anas platyrhynchos,Mallard,Anas platyrhynchos,1320,yes
Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),1326,Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes / diazi / fulvigula,1326,yes
Anas rubripes,American Black Duck,1330,Anas rubripes,American Black Duck,Anas rubripes,1330,yes
Anhinga anhinga,Anhinga,1180,Anhinga anhinga,Anhinga,Anhinga anhinga,1180,yes
Anser albifrons,Greater White-fronted Goose,1710,Anser albifrons,Greater White-fronted Goose,Anser albifrons,1710,yes
Anser caerulescens,Snow Goose,31690,Anser caerulescens,Snow Goose,Anser caerulescens,1690,yes
Anser caerulescens,Snow Goose,31690,NA,NA,Anser caerulescens (blue form),1691,yes
Anser canagicus,Emperor Goose,1760,Anser canagicus,Emperor Goose,Anser canagicus,1760,yes
Anser rossii,Ross's Goose,1700,Anser rossii,Ross's Goose,Anser rossii,1700,yes
Anthus cervinus,Red-throated Pipit,6990,Anthus cervinus,Red-throated Pipit,Anthus cervinus,6990,yes
Anthus rubescens,American Pipit,6970,Anthus rubescens,American Pipit,Anthus rubescens,6970,yes
Anthus spragueii,Sprague's Pipit,7000,Anthus spragueii,Sprague's Pipit,Anthus spragueii,7000,yes
Antigone canadensis,Sandhill Crane,2060,Antigone canadensis,Sandhill Crane,Antigone canadensis,2060,yes
Antrostomus arizonae,Mexican Whip-poor-will,4172,Antrostomus arizonae,Mexican Whip-poor-will,Antrostomus arizonae,4172,yes
Antrostomus carolinensis,Chuck-will's-widow,4160,Antrostomus carolinensis,Chuck-will's-widow,Antrostomus carolinensis,4160,yes
Antrostomus vociferus,Eastern Whip-poor-will,4171,Antrostomus vociferus,Eastern Whip-poor-will,Antrostomus vociferus,4171,yes
Aphelocoma californica,California Scrub-Jay,4812,Aphelocoma californica,California Scrub-Jay,Aphelocoma californica,4812,yes
Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay,4810,Aphelocoma californica/woodhouseii,California/Woodhouse's Scrub-Jay,Aphelocoma californica / woodhouseii,4810,yes
Aphelocoma coerulescens,Florida Scrub-Jay,4790,Aphelocoma coerulescens,Florida Scrub-Jay,Aphelocoma coerulescens,4790,yes
Aphelocoma insularis,Island Scrub-Jay,4811,Aphelocoma insularis,Island Scrub-Jay,Aphelocoma insularis,4811,yes
Aphelocoma wollweberi,Mexican Jay,4820,Aphelocoma wollweberi,Mexican Jay,Aphelocoma wollweberi,4820,yes
Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,4813,Aphelocoma woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,4813,yes
Aquila chrysaetos,Golden Eagle,3490,Aquila chrysaetos,Golden Eagle,Aquila chrysaetos,3490,yes
Aramus guarauna,Limpkin,2070,Aramus guarauna,Limpkin,Aramus guarauna,2070,yes
Aratinga nenday,Nanday Parakeet,51830,Aratinga nenday,Nanday Parakeet,Aratinga nenday,51830,yes
Archilochus alexandri,Black-chinned Hummingbird,4290,Archilochus alexandri,Black-chinned Hummingbird,Archilochus alexandri,4290,yes
Archilochus colubris,Ruby-throated Hummingbird,4280,Archilochus colubris,Ruby-throated Hummingbird,Archilochus colubris,4280,yes
Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird,4295,Archilochus colubris/alexandri,Ruby-throated/Black-chinned Hummingbird,Archilochus colubris / alexandri,4295,yes
Ardea alba,Great Egret,1960,Ardea alba,Great Egret,Ardea alba,1960,yes
Ardea herodias,Great Blue Heron,31940,Ardea herodias,Great Blue Heron,Ardea herodias,1940,yes
Ardea herodias,Great Blue Heron,31940,Ardea herodias occidentalis,Great Blue Heron (Great White),Ardea herodias occidentalis,1920,yes
Ardea ibis,Western Cattle-Egret,2001,Ardea ibis,Western Cattle-Egret,Bubulcus ibis,2001,yes
Ardea sp.,Ardea sp.,1945,Ardea sp.,Ardea sp.,Ardeid sp.,1945,yes
Arenaria interpres,Ruddy Turnstone,2830,Arenaria interpres,Ruddy Turnstone,Arenaria interpres,2830,yes
Arenaria melanocephala,Black Turnstone,2840,Arenaria melanocephala,Black Turnstone,Arenaria melanocephala,2840,yes
Arremonops rufivirgatus,Olive Sparrow,5860,Arremonops rufivirgatus,Olive Sparrow,Arremonops rufivirgatus,5860,yes
Artemisiospiza belli,Bell's Sparrow,5739,Artemisiospiza belli,Bell's Sparrow,Artemisiospiza belli,5739,yes
Artemisiospiza nevadensis,Sagebrush Sparrow,5738,Artemisiospiza nevadensis,Sagebrush Sparrow,Artemisiospiza nevadensis,5738,yes
Artemisiospiza nevadensis/belli,Sagebrush/Bell's Sparrow (Sage Sparrow),5740,Artemisiospiza nevadensis/belli,Sagebrush/Bell's Sparrow (Sage Sparrow),Artemisiospiza nevadensis / belli,5740,yes
Asio flammeus,Short-eared Owl,3670,Asio flammeus,Short-eared Owl,Asio flammeus,3670,yes
Asio otus,Long-eared Owl,3660,Asio otus,Long-eared Owl,Asio otus,3660,yes
Astur atricapillus,American Goshawk,3340,Astur atricapillus,American Goshawk,Accipiter atricapillus,3340,yes
Astur cooperii,Cooper's Hawk,3330,Astur cooperii,Cooper's Hawk,Accipiter cooperii,3330,yes
Athene cunicularia,Burrowing Owl,3780,Athene cunicularia,Burrowing Owl,Athene cunicularia,3780,yes
Auriparus flaviceps,Verdin,7460,Auriparus flaviceps,Verdin,Auriparus flaviceps,7460,yes
Aythya affinis,Lesser Scaup,1490,Aythya affinis,Lesser Scaup,Aythya affinis,1490,yes
Aythya americana,Redhead,1460,Aythya americana,Redhead,Aythya americana,1460,yes
Aythya collaris,Ring-necked Duck,1500,Aythya collaris,Ring-necked Duck,Aythya collaris,1500,yes
Aythya fuligula,Tufted Duck,1491,Aythya fuligula,Tufted Duck,Aythya fuligula,1491,yes
Aythya marila,Greater Scaup,1480,Aythya marila,Greater Scaup,Aythya marila,1480,yes
Aythya marila/affinis,Greater/Lesser Scaup,1489,Aythya marila/affinis,Greater/Lesser Scaup,Aythya marila / affinis,1489,yes
Aythya valisineria,Canvasback,1470,Aythya valisineria,Canvasback,Aythya valisineria,1470,yes
Baeolophus atricristatus,Black-crested Titmouse,7320,Baeolophus atricristatus,Black-crested Titmouse,Baeolophus atricristatus,7320,yes
Baeolophus bicolor,Tufted Titmouse,7310,Baeolophus bicolor,Tufted Titmouse,Baeolophus bicolor,7310,yes
Baeolophus bicolor/atricristatus,Tufted/Black-crested Titmouse,7315,Baeolophus bicolor/atricristatus,Tufted/Black-crested Titmouse,Baeolophus bicolor / atricristatus,7315,yes
Baeolophus inornatus,Oak Titmouse,7330,Baeolophus inornatus,Oak Titmouse,Baeolophus inornatus,7330,yes
Baeolophus inornatus/ridgwayi,Oak/Juniper Titmouse (Plain Titmouse),7332,Baeolophus inornatus/ridgwayi,Oak/Juniper Titmouse (Plain Titmouse),Baeolophus inornatus / ridgwayi,7332,yes
Baeolophus ridgwayi,Juniper Titmouse,7331,Baeolophus ridgwayi,Juniper Titmouse,Baeolophus ridgwayi,7331,yes
Baeolophus wollweberi,Bridled Titmouse,7340,Baeolophus wollweberi,Bridled Titmouse,Baeolophus wollweberi,7340,yes
Bartramia longicauda,Upland Sandpiper,2610,Bartramia longicauda,Upland Sandpiper,Bartramia longicauda,2610,yes
Bombycilla cedrorum,Cedar Waxwing,6190,Bombycilla cedrorum,Cedar Waxwing,Bombycilla cedrorum,6190,yes
Bombycilla garrulus,Bohemian Waxwing,6180,Bombycilla garrulus,Bohemian Waxwing,Bombycilla garrulus,6180,yes
Bombycilla garrulus/cedrorum,Bohemian/Cedar Waxwing,6185,Bombycilla garrulus/cedrorum,Bohemian/Cedar Waxwing,Bombycilla garrulus / cedrorum,6185,yes
Bonasa umbellus,Ruffed Grouse,3000,Bonasa umbellus,Ruffed Grouse,Bonasa umbellus,3000,yes
Botaurus exilis,Least Bittern,1910,Botaurus exilis,Least Bittern,Ixobrychus exilis,1910,yes
Botaurus lentiginosus,American Bittern,1900,Botaurus lentiginosus,American Bittern,Botaurus lentiginosus,1900,yes
Brachyramphus brevirostris,Kittlitz's Murrelet,240,Brachyramphus brevirostris,Kittlitz's Murrelet,Brachyramphus brevirostris,240,yes
Brachyramphus marmoratus,Marbled Murrelet,230,Brachyramphus marmoratus,Marbled Murrelet,Brachyramphus marmoratus,230,yes
Branta bernicla,Brant,1730,Branta bernicla,Brant,Branta bernicla,1730,yes
Branta bernicla nigricans,Brant (Black),1740,Branta bernicla nigricans,Brant (Black),Branta bernicla nigricans,1740,yes
Branta canadensis,Canada Goose,1720,Branta canadensis,Canada Goose,Branta canadensis,1720,yes
Branta hutchinsii,Cackling Goose,1725,Branta hutchinsii,Cackling Goose,Branta hutchinsii,1725,yes
Brotogeris chiriri,Yellow-chevroned Parakeet,52021,Brotogeris chiriri,Yellow-chevroned Parakeet,Brotogeris chiriri,52021,yes
Brotogeris versicolurus/chiriri,White-winged/Yellow-chevroned Parakeet,3827,Brotogeris versicolurus/chiriri,White-winged/Yellow-chevroned Parakeet,Brotogeris versicolurus / chiriri,3827,yes
Bubo scandiacus,Snowy Owl,3760,Bubo scandiacus,Snowy Owl,Bubo scandiacus,3760,yes
Bubo virginianus,Great Horned Owl,3750,Bubo virginianus,Great Horned Owl,Bubo virginianus,3750,yes
Bucephala albeola,Bufflehead,1530,Bucephala albeola,Bufflehead,Bucephala albeola,1530,yes
Bucephala clangula,Common Goldeneye,1510,Bucephala clangula,Common Goldeneye,Bucephala clangula,1510,yes
Bucephala clangula/islandica,Common/Barrow's Goldeneye,1512,Bucephala clangula/islandica,Common/Barrow's Goldeneye,Bucephala clangula / islandica,1512,yes
Bucephala islandica,Barrow's Goldeneye,1520,Bucephala islandica,Barrow's Goldeneye,Bucephala islandica,1520,yes
Buteo albonotatus,Zone-tailed Hawk,3400,Buteo albonotatus,Zone-tailed Hawk,Buteo albonotatus,3400,yes
Buteo brachyurus,Short-tailed Hawk,3440,Buteo brachyurus,Short-tailed Hawk,Buteo brachyurus,3440,yes
Buteo jamaicensis,Red-tailed Hawk,33370,Buteo jamaicensis,Red-tailed Hawk,Buteo jamaicensis,3370,yes
Buteo jamaicensis,Red-tailed Hawk,33370,Buteo jamaicensis harlani,Red-tailed Hawk (Harlan's),Buteo jamaicensis harlani,3380,yes
Buteo lagopus,Rough-legged Hawk,3470,Buteo lagopus,Rough-legged Hawk,Buteo lagopus,3470,yes
Buteo lineatus,Red-shouldered Hawk,3390,Buteo lineatus,Red-shouldered Hawk,Buteo lineatus,3390,yes
Buteo plagiatus,Gray Hawk,3460,Buteo plagiatus,Gray Hawk,Buteo plagiatus,3460,yes
Buteo platypterus,Broad-winged Hawk,3430,Buteo platypterus,Broad-winged Hawk,Buteo platypterus,3430,yes
Buteo regalis,Ferruginous Hawk,3480,Buteo regalis,Ferruginous Hawk,Buteo regalis,3480,yes
Buteo sp.,Buteo sp.,3451,Buteo sp.,Buteo sp.,Buteo sp.,3451,yes
Buteo swainsoni,Swainson's Hawk,3420,Buteo swainsoni,Swainson's Hawk,Buteo swainsoni,3420,yes
Buteogallus anthracinus,Common Black Hawk,3450,Buteogallus anthracinus,Common Black Hawk,Buteogallus anthracinus,3450,yes
Butorides virescens,Green Heron,2010,Butorides virescens,Green Heron,Butorides virescens,2010,yes
Cairina moschata,Muscovy Duck,10210,Cairina moschata,Muscovy Duck,Cairina moschata,10210,yes
Calamospiza melanocorys,Lark Bunting,6050,Calamospiza melanocorys,Lark Bunting,Calamospiza melanocorys,6050,yes
Calcarius lapponicus,Lapland Longspur,5360,Calcarius lapponicus,Lapland Longspur,Calcarius lapponicus,5360,yes
Calcarius ornatus,Chestnut-collared Longspur,5380,Calcarius ornatus,Chestnut-collared Longspur,Calcarius ornatus,5380,yes
Calcarius pictus,Smith's Longspur,5370,Calcarius pictus,Smith's Longspur,Calcarius pictus,5370,yes
Calidris acuminata,Sharp-tailed Sandpiper,2380,Calidris acuminata,Sharp-tailed Sandpiper,Calidris acuminata,2380,yes
Calidris alba,Sanderling,2480,Calidris alba,Sanderling,Calidris alba,2480,yes
Calidris alpina,Dunlin,2430,Calidris alpina,Dunlin,Calidris alpina,2430,yes
Calidris bairdii,Baird's Sandpiper,2410,Calidris bairdii,Baird's Sandpiper,Calidris bairdii,2410,yes
Calidris canutus,Red Knot,2340,Calidris canutus,Red Knot,Calidris canutus,2340,yes
Calidris fuscicollis,White-rumped Sandpiper,2400,Calidris fuscicollis,White-rumped Sandpiper,Calidris fuscicollis,2400,yes
Calidris himantopus,Stilt Sandpiper,2330,Calidris himantopus,Stilt Sandpiper,Calidris himantopus,2330,yes
Calidris maritima,Purple Sandpiper,2350,Calidris maritima,Purple Sandpiper,Calidris maritima,2350,yes
Calidris mauri,Western Sandpiper,2470,Calidris mauri,Western Sandpiper,Calidris mauri,2470,yes
Calidris melanotos,Pectoral Sandpiper,2390,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,2390,yes
Calidris minutilla,Least Sandpiper,2420,Calidris minutilla,Least Sandpiper,Calidris minutilla,2420,yes
Calidris ptilocnemis,Rock Sandpiper,2356,Calidris ptilocnemis,Rock Sandpiper,Calidris ptilocnemis,2356,yes
Calidris pugnax,Ruff,2600,Calidris pugnax,Ruff,Calidris pugnax,2600,yes
Calidris pusilla,Semipalmated Sandpiper,2460,Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,2460,yes
Calidris ruficollis,Red-necked Stint,2422,Calidris ruficollis,Red-necked Stint,Calidris ruficollis,2422,yes
Calidris sp.,Calidris sp.,2429,Calidris sp.,Calidris sp.,Calidris sp.,2429,yes
Calidris subruficollis,Buff-breasted Sandpiper,2620,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,2620,yes
Calidris virgata,Surfbird,2820,Calidris virgata,Surfbird,Calidris virgata,2820,yes
Callipepla californica,California Quail,2940,Callipepla californica,California Quail,Callipepla californica,2940,yes
Callipepla gambelii,Gambel's Quail,2950,Callipepla gambelii,Gambel's Quail,Callipepla gambelii,2950,yes
Callipepla squamata,Scaled Quail,2930,Callipepla squamata,Scaled Quail,Callipepla squamata,2930,yes
Calonectris diomedea,Scopoli's Shearwater,880,Calonectris diomedea,Scopoli's Shearwater,Calonectris diomedea,880,yes
Calothorax lucifer,Lucifer Hummingbird,4370,Calothorax lucifer,Lucifer Hummingbird,Calothorax lucifer,4370,yes
Calypte anna,Anna's Hummingbird,4310,Calypte anna,Anna's Hummingbird,Calypte anna,4310,yes
Calypte costae,Costa's Hummingbird,4300,Calypte costae,Costa's Hummingbird,Calypte costae,4300,yes
Camptostoma imberbe,Northern Beardless-Tyrannulet,4720,Camptostoma imberbe,Northern Beardless-Tyrannulet,Camptostoma imberbe,4720,yes
Campylorhynchus brunneicapillus,Cactus Wren,7130,Campylorhynchus brunneicapillus,Cactus Wren,Campylorhynchus brunneicapillus,7130,yes
Canachites canadensis,Spruce Grouse,2980,Canachites canadensis,Spruce Grouse,Canachites canadensis,2980,yes
Caracara plancus,Crested Caracara,3620,Caracara plancus,Crested Caracara,Caracara plancus,3620,yes
Cardellina canadensis,Canada Warbler,6860,Cardellina canadensis,Canada Warbler,Cardellina canadensis,6860,yes
Cardellina pusilla,Wilson's Warbler,6850,Cardellina pusilla,Wilson's Warbler,Cardellina pusilla,6850,yes
Cardellina rubrifrons,Red-faced Warbler,6900,Cardellina rubrifrons,Red-faced Warbler,Cardellina rubrifrons,6900,yes
Cardinalis cardinalis,Northern Cardinal,5930,Cardinalis cardinalis,Northern Cardinal,Cardinalis cardinalis,5930,yes
Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia,5935,Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia,Cardinalis cardinalis / sinuatus,5935,yes
Cardinalis sinuatus,Pyrrhuloxia,5940,Cardinalis sinuatus,Pyrrhuloxia,Cardinalis sinuatus,5940,yes
Carduelis carduelis,European Goldfinch,5261,Carduelis carduelis,European Goldfinch,Carduelis carduelis,5261,yes
Cathartes aura,Turkey Vulture,3250,Cathartes aura,Turkey Vulture,Cathartes aura,3250,yes
Cathartes sp.,Cathartes sp.,3255,Cathartes sp.,Cathartes sp.,Coragyps / Cathartes atratus / aura,3255,yes
Catharus bicknelli,Bicknell's Thrush,7571,Catharus bicknelli,Bicknell's Thrush,Catharus bicknelli,7571,yes
Catharus fuscescens,Veery,7560,Catharus fuscescens,Veery,Catharus fuscescens,7560,yes
Catharus guttatus,Hermit Thrush,7590,Catharus guttatus,Hermit Thrush,Catharus guttatus,7590,yes
Catharus minimus,Gray-cheeked Thrush,7570,Catharus minimus,Gray-cheeked Thrush,Catharus minimus,7570,yes
Catharus ustulatus,Swainson's Thrush,7580,Catharus ustulatus,Swainson's Thrush,Catharus ustulatus,7580,yes
Catherpes mexicanus,Canyon Wren,7170,Catherpes mexicanus,Canyon Wren,Catherpes mexicanus,7170,yes
Centrocercus minimus,Gunnison Sage-Grouse,3089,Centrocercus minimus,Gunnison Sage-Grouse,Centrocercus minimus,3089,yes
Centrocercus urophasianus,Greater Sage-Grouse,3090,Centrocercus urophasianus,Greater Sage-Grouse,Centrocercus urophasianus,3090,yes
Centronyx bairdii,Baird's Sparrow,5450,Centronyx bairdii,Baird's Sparrow,Centronyx bairdii,5450,yes
Centronyx henslowii,Henslow's Sparrow,5470,Centronyx henslowii,Henslow's Sparrow,Centronyx henslowii,5470,yes
Cepphus columba,Pigeon Guillemot,290,Cepphus columba,Pigeon Guillemot,Cepphus columba,290,yes
Cepphus grylle,Black Guillemot,270,Cepphus grylle,Black Guillemot,Cepphus grylle,270,yes
Cerorhinca monocerata,Rhinoceros Auklet,150,Cerorhinca monocerata,Rhinoceros Auklet,Cerorhinca monocerata,150,yes
Certhia americana,Brown Creeper,7260,Certhia americana,Brown Creeper,Certhia americana,7260,yes
Chaetura pelagica,Chimney Swift,4230,Chaetura pelagica,Chimney Swift,Chaetura pelagica,4230,yes
Chaetura vauxi,Vaux's Swift,4240,Chaetura vauxi,Vaux's Swift,Chaetura vauxi,4240,yes
Chamaea fasciata,Wrentit,7420,Chamaea fasciata,Wrentit,Chamaea fasciata,7420,yes
Charadrius hiaticula,Common Ringed Plover,2750,Charadrius hiaticula,Common Ringed Plover,Charadrius hiaticula,2750,yes
Charadrius melodus,Piping Plover,2770,Charadrius melodus,Piping Plover,Charadrius melodus,2770,yes
Charadrius semipalmatus,Semipalmated Plover,2740,Charadrius semipalmatus,Semipalmated Plover,Charadrius semipalmatus,2740,yes
Charadrius vociferus,Killdeer,2730,Charadrius vociferus,Killdeer,Charadrius vociferus,2730,yes
Chlidonias niger,Black Tern,770,Chlidonias niger,Black Tern,Chlidonias niger,770,yes
Chloroceryle americana,Green Kingfisher,3910,Chloroceryle americana,Green Kingfisher,Chloroceryle americana,3910,yes
Chondestes grammacus,Lark Sparrow,5520,Chondestes grammacus,Lark Sparrow,Chondestes grammacus,5520,yes
Chondrohierax uncinatus,Hook-billed Kite,3271,Chondrohierax uncinatus,Hook-billed Kite,Chondrohierax uncinatus,3271,yes
Chordeiles acutipennis,Lesser Nighthawk,4210,Chordeiles acutipennis,Lesser Nighthawk,Chordeiles acutipennis,4210,yes
Chordeiles gundlachii,Antillean Nighthawk,4201,Chordeiles gundlachii,Antillean Nighthawk,Chordeiles gundlachii,4201,yes
Chordeiles minor,Common Nighthawk,4200,Chordeiles minor,Common Nighthawk,Chordeiles minor,4200,yes
Chordeiles minor/gundlachii,Common/Antillean Nighthawk,4206,Chordeiles minor/gundlachii,Common/Antillean Nighthawk,Chordeiles minor / gundlachii,4206,yes
Chordeiles sp.,nighthawk sp.,4205,Chordeiles sp.,nighthawk sp.,Chordeiles acutipennis / minor,4205,yes
Chroicocephalus philadelphia,Bonaparte's Gull,600,Chroicocephalus philadelphia,Bonaparte's Gull,Chroicocephalus philadelphia,600,yes
Chroicocephalus ridibundus,Black-headed Gull,551,Chroicocephalus ridibundus,Black-headed Gull,Chroicocephalus ridibundus,551,yes
Cinclus mexicanus,American Dipper,7010,Cinclus mexicanus,American Dipper,Cinclus mexicanus,7010,yes
Circus hudsonius,Northern Harrier,3310,Circus hudsonius,Northern Harrier,Circus hudsonius,3310,yes
Cistothorus palustris,Marsh Wren,7250,Cistothorus palustris,Marsh Wren,Cistothorus palustris,7250,yes
Cistothorus stellaris,Sedge Wren,7240,Cistothorus stellaris,Sedge Wren,Cistothorus stellaris,7240,yes
Clangula hyemalis,Long-tailed Duck,1540,Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,1540,yes
Coccothraustes vespertinus,Evening Grosbeak,5140,Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus,5140,yes
Coccyzus americanus,Yellow-billed Cuckoo,3870,Coccyzus americanus,Yellow-billed Cuckoo,Coccyzus americanus,3870,yes
Coccyzus americanus/erythropthalmus,Yellow-billed/Black-billed Cuckoo,3875,Coccyzus americanus/erythropthalmus,Yellow-billed/Black-billed Cuckoo,Coccyzus americanus / erythropthalmus,3875,yes
Coccyzus erythropthalmus,Black-billed Cuckoo,3880,Coccyzus erythropthalmus,Black-billed Cuckoo,Coccyzus erythropthalmus,3880,yes
Coccyzus minor,Mangrove Cuckoo,3860,Coccyzus minor,Mangrove Cuckoo,Coccyzus minor,3860,yes
Colaptes auratus,Northern Flicker,34120,Colaptes auratus,Northern Flicker,Colaptes auratus,4123,yes
Colaptes auratus,Northern Flicker,34120,Colaptes auratus auratus,NA,Colaptes auratus auratus,4120,yes
Colaptes auratus,Northern Flicker,34120,Colaptes auratus cafer,NA,Colaptes auratus cafer,4130,yes
Colaptes auratus,Northern Flicker,34120,Colaptes auratus luteus x cafer,Northern Flicker (Yellow-shafted x Red-shafted),Colaptes auratus auratus x auratus cafer,4125,yes
Colaptes chrysoides,Gilded Flicker,4140,Colaptes chrysoides,Gilded Flicker,Colaptes chrysoides,4140,yes
Colinus virginianus,Northern Bobwhite,2890,Colinus virginianus,Northern Bobwhite,Colinus virginianus,2890,yes
Columba livia,Rock Pigeon,3131,Columba livia,Rock Pigeon,Columba livia,3131,yes
Columbina inca,Inca Dove,3210,Columbina inca,Inca Dove,Columbina inca,3210,yes
Columbina passerina,Common Ground Dove,3200,Columbina passerina,Common Ground Dove,Columbina passerina,3200,yes
Columbina talpacoti,Ruddy Ground Dove,3201,Columbina talpacoti,Ruddy Ground Dove,Columbina talpacoti,3201,yes
