scientific_name,common_name,scientific_name_avibase8.17,common_name_avibase8.17,order_avibase8.17,family_avibase8.17,status_CA_avibase8.17,status_NAM_avibase8.17,status_NaN_avibase8.17,status_US48_avibase8.17,status_USak_avibase8.17,regions_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,status_CA_US48_USak,L1_ca.conus.data,AOU_bbs2024.combo,scientific_name_clements2024.combo,common_name_clements2024.combo
Aegolius acadicus,Northern Saw-whet Owl,Aegolius acadicus,Northern Saw-whet Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3720,Northern Saw-whet Owl,Strigiformes,Strigidae,Aegolius acadicus,yes,Northern Saw-whet Owl,Aegolius acadicus,NA,Strigidae (Owls),Strigiformes,yes,NA,yes,3720,Aegolius acadicus,Northern Saw-whet Owl
Aegolius funereus,Boreal Owl,Aegolius funereus,Boreal Owl,STRIGIFORMES,Strigidae,NA,NA,NA,NA,NA,ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,3710,Boreal Owl,Strigiformes,Strigidae,Aegolius funereus,yes,Boreal Owl,Aegolius funereus,NA,Strigidae (Owls),Strigiformes,yes,NA,yes,3710,Aegolius funereus,Boreal Owl
Aeronautes saxatalis,White-throated Swift,Aeronautes saxatalis,White-throated Swift,APODIFORMES,Apodidae,NA,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; US48,yes,4250,White-throated Swift,Apodiformes,Apodidae,Aeronautes saxatalis,yes,White-throated Swift,Aeronautes saxatalis,NA,Apodidae (Swifts),Apodiformes,yes,NA,yes,4250,Aeronautes saxatalis,White-throated Swift
Aerospiza/Tachyspiza/Accipiter/Astur sp.; Accipiter sp.,Accipitrine hawk sp. (former Accipiter sp.); unid. Accipiter hawk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,3333,unid. Accipiter hawk,Accipitriformes,Accipitridae,Accipiter sp.,yes,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,NA,yes,3333,Aerospiza/Tachyspiza/Accipiter/Astur sp.,Accipitrine hawk sp. (former Accipiter sp.)
Aethia cristatella,Crested Auklet,Aethia cristatella,Crested Auklet,CHARADRIIFORMES,Alcidae,Rare/Accidental,NA,NA,Rare/Accidental,NA,ASI; CA; CAM; EUR; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Crested Auklet,Aethia cristatella,breeds western Alaska and eastern Siberia; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes,NA,Aethia cristatella,Crested Auklet
Aethia psittacula,Parakeet Auklet,Aethia psittacula,Parakeet Auklet,CHARADRIIFORMES,Alcidae,Rare/Accidental,NA,NA,NA,NA,ASI; CA; CAM; EUR; hol; NAM; nea; OCE; opa; PAC; pal; US48; USak; UShi; XX,yes,NA,NA,NA,NA,NA,no,Parakeet Auklet,Aethia psittacula,North Pacific and Bering Sea; winters to Japan and southern California,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes,NA,Aethia psittacula,Parakeet Auklet
Aethia pusilla,Least Auklet,Aethia pusilla,Least Auklet,CHARADRIIFORMES,Alcidae,Rare/Accidental,NA,NA,Rare/Accidental,NA,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Least Auklet,Aethia pusilla,breeds eastern Siberia and western Alaska; winters southward to northern Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental; Rare/Accidental,yes,NA,Aethia pusilla,Least Auklet
Aethia pygmaea,Whiskered Auklet,Aethia pygmaea,Whiskered Auklet,CHARADRIIFORMES,Alcidae,NA,NA,NA,Rare/Accidental,NA,ASI; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Whiskered Auklet,Aethia pygmaea,breeds eastern Siberia and Aleutian Islands; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes,NA,Aethia pygmaea,Whiskered Auklet
Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,Red-winged Blackbird,PASSERIFORMES,Icteridae,NA,NA,NA,NA,NA,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,4980,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius phoeniceus,yes,Red-winged Blackbird,Agelaius phoeniceus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,NA,yes,4980,Agelaius phoeniceus,Red-winged Blackbird
Agelaius tricolor,Tricolored Blackbird,Agelaius tricolor,Tricolored Blackbird,PASSERIFORMES,Icteridae,NA,Endangered,NA,Endangered,NA,CAM; hol; NAM; nea; US48,yes,5000,Tricolored Blackbird,Passeriformes,Icteridae,Agelaius tricolor,yes,Tricolored Blackbird,Agelaius tricolor,marshes and farmlands of southwestern Oregon to northwestern Baja California,Icteridae (Troupials and Allies),Passeriformes,yes,Endangered,yes,5000,Agelaius tricolor,Tricolored Blackbird
Aimophila ruficeps,Rufous-crowned Sparrow,Aimophila ruficeps,Rufous-crowned Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,5800,Rufous-crowned Sparrow,Passeriformes,Passerellidae,Aimophila ruficeps,yes,Rufous-crowned Sparrow,Aimophila ruficeps,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5800,Aimophila ruficeps,Rufous-crowned Sparrow
Aix sponsa,Wood Duck,Aix sponsa,Wood Duck,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,NA,Rare/Accidental,AFR; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; US48; USak,yes,1440,Wood Duck,Anseriformes,Anatidae,Aix sponsa,yes,Wood Duck,Aix sponsa,"inland waters of Canada to northern Mexico, the Bahamas, and Cuba","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes,1440,Aix sponsa,Wood Duck
Alauda arvensis,Eurasian Skylark,Alauda arvensis,Eurasian Skylark,PASSERIFORMES,Alaudidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,4730,Eurasian Skylark,Passeriformes,Alaudidae,Alauda arvensis,yes,Eurasian Skylark,Alauda arvensis,NA,Alaudidae (Larks),Passeriformes,yes,NA,yes,4730,Alauda arvensis,Eurasian Skylark
Alca torda,Razorbill,Alca torda,Razorbill,CHARADRIIFORMES,Alcidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; XX,yes,320,Razorbill,Charadriiformes,Alcidae,Alca torda,yes,Razorbill,Alca torda,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,NA,yes,320,Alca torda,Razorbill
Alectoris chukar,Chukar,Alectoris chukar,Chukar,GALLIFORMES,Phasianidae,Introduced species,Introduced species,NA,Introduced species,NA,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,2882,Chukar,Galliformes,Phasianidae,Alectoris chukar,yes,Chukar,Alectoris chukar,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Introduced species; Introduced species,yes,2882,Alectoris chukar,Chukar
Alle alle,Dovekie,Alle alle,Dovekie,CHARADRIIFORMES,Alcidae,NA,NA,NA,NA,Rare/Accidental,AFR; ASI; CA; CAR; EUR; hol; NAM; nea; oat; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Dovekie,Alle alle,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Rare/Accidental,yes,NA,Alle alle,Dovekie
Alopochen aegyptiaca,Egyptian Goose,Alopochen aegyptiaca,Egyptian Goose,ANSERIFORMES,Anatidae,NA,Introduced species,Rare/Accidental,Introduced species,NA,AFR; ASI; CAR; EUR; hol; MID; NAM; NaN; nea; pal; SAM; US48,yes,20630,Egyptian Goose,Anseriformes,Anatidae,Alopochen aegyptiaca,yes,Egyptian Goose,Alopochen aegyptiaca,"Nile Valley of Egypt and Sudan, and sub-Saharan Africa; introduced to western and central Europe, and southeastern USA","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Introduced species,yes,20630,Alopochen aegyptiaca,Egyptian Goose
Amazilia yucatanensis,Buff-bellied Hummingbird,Amazilia yucatanensis,Buff-bellied Hummingbird,APODIFORMES,Trochilidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia yucatanensis,yes,Buff-bellied Hummingbird,Amazilia yucatanensis,NA,Trochilidae (Hummingbirds),Apodiformes,yes,NA,yes,4390,Amazilia yucatanensis,Buff-bellied Hummingbird
Amazona viridigenalis,Red-crowned Amazon; Red-crowned Parrot,Amazona viridigenalis,Red-crowned Amazon,PSITTACIFORMES,Psittacidae,NA,Introduced species Endangered,NA,Introduced species Endangered,NA,CAM; CAR; hol; NAM; nea; US48; UShi,yes,3826,Red-crowned Parrot,Psittaciformes,Psittacidae,Amazona viridigenalis,yes,Red-crowned Amazon,Amazona viridigenalis,lowlands of northeastern Mexico (Nuevo León to northern Veracruz),Psittacidae (New World and African Parrots),Psittaciformes,yes,Introduced species Endangered,yes,3826,Amazona viridigenalis,Red-crowned Amazon
Ammodramus savannarum,Grasshopper Sparrow,Ammodramus savannarum,Grasshopper Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; US48,yes,5460,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus savannarum,yes,Grasshopper Sparrow,Ammodramus savannarum,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5460,Ammodramus savannarum,Grasshopper Sparrow
Ammospiza caudacuta,Saltmarsh Sparrow,Ammospiza caudacuta,Saltmarsh Sparrow,PASSERIFORMES,Passerellidae,Rare/Accidental Endangered,Endangered,NA,Endangered,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,5490,Saltmarsh Sparrow,Passeriformes,Passerellidae,Ammospiza caudacuta,yes,Saltmarsh Sparrow,Ammospiza caudacuta,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental Endangered; Endangered,yes,5490,Ammospiza caudacuta,Saltmarsh Sparrow
Ammospiza leconteii,LeConte's Sparrow,Ammospiza leconteii,LeConte's Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,Rare/Accidental,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,5480,LeConte's Sparrow,Passeriformes,Passerellidae,Ammospiza leconteii,yes,LeConte's Sparrow,Ammospiza leconteii,prairies of central North America; winters to Gulf States,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes,5480,Ammospiza leconteii,LeConte's Sparrow
Ammospiza maritima,Seaside Sparrow,Ammospiza maritima,Seaside Sparrow,PASSERIFORMES,Passerellidae,Rare/Accidental,NA,NA,Endemic,NA,CA; CAM; hol; NAM; nea; US48,yes,5500,Seaside Sparrow,Passeriformes,Passerellidae,Ammospiza maritima,yes,Seaside Sparrow,Ammospiza maritima,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental; Endemic,yes,5500,Ammospiza maritima,Seaside Sparrow
Ammospiza nelsoni,Nelson's Sparrow,Ammospiza nelsoni,Nelson's Sparrow,PASSERIFORMES,Passerellidae,NA,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,5491,Nelson's Sparrow,Passeriformes,Passerellidae,Ammospiza nelsoni,yes,Nelson's Sparrow,Ammospiza nelsoni,NA,Passerellidae (New World Sparrows),Passeriformes,yes,NA,yes,5491,Ammospiza nelsoni,Nelson's Sparrow
Amphispiza bilineata,Black-throated Sparrow,Amphispiza bilineata,Black-throated Sparrow,PASSERIFORMES,Passerellidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; hol; NAM; nea; SAM; US48,yes,5730,Black-throated Sparrow,Passeriformes,Passerellidae,Amphispiza bilineata,yes,Black-throated Sparrow,Amphispiza bilineata,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Rare/Accidental,yes,5730,Amphispiza bilineata,Black-throated Sparrow
Anarhynchus montanus; Charadrius montanus,Mountain Plover,Anarhynchus montanus,Mountain Plover,CHARADRIIFORMES,Charadriidae,Near-threatened,Near-threatened,NA,Near-threatened,NA,CA; CAM; hol; NAM; nea; US48,yes,2810,Mountain Plover,Charadriiformes,Charadriidae,Charadrius montanus,yes,Mountain Plover,Anarhynchus montanus,Great Plains of western Canada to southwestern USA; winters to northern Mexico,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Near-threatened; Near-threatened,yes,2810,Anarhynchus montanus,Mountain Plover
Anarhynchus nivosus; Charadrius nivosus,Snowy Plover,Anarhynchus nivosus,Snowy Plover,CHARADRIIFORMES,Charadriidae,Rare/Accidental Near-threatened,Near-threatened,Near-threatened,Near-threatened,Rare/Accidental Near-threatened,ASI; CA; CAM; CAR; EUR; hol; NAM; NaN; nea; pal; SAM; TT; US48; USak,yes,2780,Snowy Plover,Charadriiformes,Charadriidae,Charadrius nivosus,yes,Snowy Plover,Anarhynchus nivosus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental Near-threatened; Near-threatened; Rare/Accidental Near-threatened,yes,2780,Anarhynchus nivosus,Snowy Plover
Anarhynchus wilsonia; Charadrius wilsonia,Wilson's Plover,Anarhynchus wilsonia,Wilson's Plover,CHARADRIIFORMES,Charadriidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; NaN; nea; SAM; TT; US48,yes,2800,Wilson's Plover,Charadriiformes,Charadriidae,Charadrius wilsonia,yes,Wilson's Plover,Anarhynchus wilsonia,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Rare/Accidental,yes,2800,Anarhynchus wilsonia,Wilson's Plover
Anas acuta,Northern Pintail,Anas acuta,Northern Pintail,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1430,Northern Pintail,Anseriformes,Anatidae,Anas acuta,yes,Northern Pintail,Anas acuta,Palearctic and North America; winters to southern Eurasia and northern South America,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1430,Anas acuta,Northern Pintail
Anas crecca,Green-winged Teal,Anas crecca,Green-winged Teal,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1390,Green-winged Teal,Anseriformes,Anatidae,Anas crecca,yes,Green-winged Teal,Anas crecca,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1390,Anas crecca,Green-winged Teal
Anas diazi,Mexican Duck,Anas diazi,Mexican Duck,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,CAM; hol; NAM; nea; US48,yes,1331,Mexican Duck,Anseriformes,Anatidae,Anas diazi,yes,Mexican Duck,Anas diazi,"southeastern Arizona, southern New Mexico and western Texas (Trans-Pecos region) southward to central Mexico","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1331,Anas diazi,Mexican Duck
Anas fulvigula,Mottled Duck,Anas fulvigula,Mottled Duck,ANSERIFORMES,Anatidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; US48,yes,1340,Mottled Duck,Anseriformes,Anatidae,Anas fulvigula,yes,Mottled Duck,Anas fulvigula,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes,1340,Anas fulvigula,Mottled Duck
Anas platyrhynchos,Mallard,Anas platyrhynchos,Mallard,ANSERIFORMES,Anatidae,NA,NA,Rare/Accidental,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1320,Mallard,Anseriformes,Anatidae,Anas platyrhynchos,yes,Mallard,Anas platyrhynchos,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1320,Anas platyrhynchos,Mallard
Anas platyrhynchos x rubripes; Anas platyrhynchos x rubripes/diazi/fulvigula,Mallard x American Black Duck (hybrid); hybrid Mallard x Black/Mexican/Mottled Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,1326,hybrid Mallard x Black / Mexican / Mottled Duck,Anseriformes,Anatidae,Anas platyrhynchos x rubripes / diazi / fulvigula,yes,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1326,Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid)
Anas rubripes,American Black Duck,Anas rubripes,American Black Duck,ANSERIFORMES,Anatidae,NA,NA,NA,NA,Rare/Accidental,ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,1330,American Black Duck,Anseriformes,Anatidae,Anas rubripes,yes,American Black Duck,Anas rubripes,northeastern North America; winters to Bahamas and Gulf Coast,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes,1330,Anas rubripes,American Black Duck
Anhinga anhinga,Anhinga,Anhinga anhinga,Anhinga,SULIFORMES,Anhingidae,Rare/Accidental,NA,NA,NA,NA,CA; CAM; CAR; hol; NAM; nea; SAM; TT; US48,yes,1180,Anhinga,Suliformes,Anhingidae,Anhinga anhinga,yes,Anhinga,Anhinga anhinga,NA,Anhingidae (Anhingas),Suliformes,yes,Rare/Accidental,yes,1180,Anhinga anhinga,Anhinga
Anser albifrons,Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; NaN; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,1710,Greater White-fronted Goose,Anseriformes,Anatidae,Anser albifrons,yes,Greater White-fronted Goose,Anser albifrons,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,1710,Anser albifrons,Greater White-fronted Goose
Anser caerulescens,Snow Goose,Anser caerulescens,Snow Goose,ANSERIFORMES,Anatidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1690,Snow Goose,Anseriformes,Anatidae,Anser caerulescens,yes,Snow Goose,Anser caerulescens,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,yes,31690,Anser caerulescens,Snow Goose
Anser caerulescens (blue form),(Blue Goose) Snow Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,1691,(Blue Goose) Snow Goose,Anseriformes,Anatidae,Anser caerulescens (blue form),yes,NA,NA,NA,NA,NA,no,NA,yes,31690,Anser caerulescens,Snow Goose
Anser canagicus,Emperor Goose,Anser canagicus,Emperor Goose,ANSERIFORMES,Anatidae,Rare/Accidental,NA,NA,NA,NA,ASI; CA; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1760,Emperor Goose,Anseriformes,Anatidae,Anser canagicus,yes,Emperor Goose,Anser canagicus,"breeds in northeastern Siberia and western Alaska; primarily winters in Alaska, from the Aleutian Islands to the Alaska Peninsula","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Rare/Accidental,yes,1760,Anser canagicus,Emperor Goose
Anser rossii,Ross's Goose,Anser rossii,Ross's Goose,ANSERIFORMES,Anatidae,Breeding endemic,NA,NA,NA,Rare/Accidental,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,1700,Ross's Goose,Anseriformes,Anatidae,Anser rossii,yes,Ross's Goose,Anser rossii,breeds tundra of arctic north-central Canada; winters to western and central USA and central Mexico,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Breeding endemic; Rare/Accidental,yes,1700,Anser rossii,Ross's Goose
Anthus cervinus,Red-throated Pipit,Anthus cervinus,Red-throated Pipit,PASSERIFORMES,Motacillidae,Rare/Accidental,NA,NA,Rare/Accidental,NA,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,6990,Red-throated Pipit,Passeriformes,Motacillidae,Anthus cervinus,yes,Red-throated Pipit,Anthus cervinus,"tundra of northern Palearctic and northwestern Alaska; winters to Africa, Indonesia, and Philippines",Motacillidae (Wagtails and Pipits),Passeriformes,yes,Rare/Accidental; Rare/Accidental,yes,6990,Anthus cervinus,Red-throated Pipit
Anthus rubescens,American Pipit,Anthus rubescens,American Pipit,PASSERIFORMES,Motacillidae,NA,NA,NA,NA,NA,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; SAM; US48; USak; UShi; XX,yes,6970,American Pipit,Passeriformes,Motacillidae,Anthus rubescens,yes,American Pipit,Anthus rubescens,NA,Motacillidae (Wagtails and Pipits),Passeriformes,yes,NA,yes,6970,Anthus rubescens,American Pipit
