common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Lovely Cotinga,Cotinga amabilis,,PASSERIFORMES,Cotingidae,CRhe,,,,,,
Turquoise Cotinga,Cotinga ridgwayi,Introduced species Vulnerable,PASSERIFORMES,Cotingidae,CRhe,,,,,,
Rufous Piha,Lipaugus unirufus,,PASSERIFORMES,Cotingidae,CRhe,yes,,,,,
Three-wattled Bellbird,Procnias tricarunculatus,Vulnerable,PASSERIFORMES,Cotingidae,CRhe,,,,,,
Snowy Cotinga,Carpodectes nitidus,,PASSERIFORMES,Cotingidae,CRhe,,,,,,
Black-crowned Tityra,Tityra inquisitor,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Masked Tityra,Tityra semifasciata,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Northern Schiffornis,Schiffornis veraepacis,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Speckled Mourner,Laniocera rufescens,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Barred Becard,Pachyramphus versicolor,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Cinnamon Becard,Pachyramphus cinnamomeus,,PASSERIFORMES,Tityridae,CRhe,,,,,,
White-winged Becard,Pachyramphus polychopterus,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Black-and-white Becard,Pachyramphus albogriseus,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Rose-throated Becard,Pachyramphus aglaiae,,PASSERIFORMES,Tityridae,CRhe,,,,,,
Sharpbill,Oxyruncus cristatus,,PASSERIFORMES,Oxyruncidae,CRhe,,,,,,
Tropical Royal Flycatcher,Onychorhynchus coronatus,,PASSERIFORMES,Onychorhynchidae,CRhe,,,,,,
Ruddy-tailed Flycatcher,Terenotriccus erythrurus,,PASSERIFORMES,Onychorhynchidae,CRhe,yes,,,,,
Sulphur-rumped Flycatcher,Myiobius sulphureipygius,,PASSERIFORMES,Onychorhynchidae,CRhe,,,,,,
Gray-headed Piprites,Piprites griseiceps,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Stub-tailed Spadebill,Platyrinchus cancrominus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
White-throated Spadebill,Platyrinchus mystaceus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Golden-crowned Spadebill,Platyrinchus coronatus,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Olive-streaked Flycatcher,Mionectes olivaceus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Ochre-bellied Flycatcher,Mionectes oleagineus,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Sepia-capped Flycatcher,Leptopogon amaurocephalus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Slaty-capped Flycatcher,Leptopogon superciliaris,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Rufous-browed Tyrannulet,Phylloscartes superciliaris,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Black-capped Pygmy-Tyrant,Myiornis atricapillus,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Northern Bentbill,Oncostoma cinereigulare,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Slate-headed Tody-Flycatcher,Poecilotriccus sylvia,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Common Tody-Flycatcher,Todirostrum cinereum,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Black-headed Tody-Flycatcher,Todirostrum nigriceps,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Eye-ringed Flatbill,Rhynchocyclus brevirostris,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Yellow-olive Flatbill,Tolmomyias sulphurescens,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellow-winged Flatbill,Tolmomyias flavotectus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellow-bellied Tyrannulet,Ornithion semiflavum,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Brown-capped Tyrannulet,Ornithion brunneicapillus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Northern Beardless-Tyrannulet,Camptostoma imberbe,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Southern Beardless-Tyrannulet,Camptostoma obsoletum,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellow Tyrannulet,Capsiempis flaveola,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellow-crowned Tyrannulet,Tyrannulus elatus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Greenish Elaenia,Myiopagis viridicata,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellow-bellied Elaenia,Elaenia flavogaster,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Lesser Elaenia,Elaenia chiriquensis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Mountain Elaenia,Elaenia frantzii,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Torrent Tyrannulet,Serpophaga cinerea,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
White-fronted Tyrannulet,Acrochordopus zeledoni,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Mistletoe Tyrannulet,Zimmerius parvus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Tawny-chested Flycatcher,Aphanotriccus capitalis,Vulnerable,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Tufted Flycatcher,Mitrephanes phaeocercus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Olive-sided Flycatcher,Contopus cooperi,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Dark Pewee,Contopus lugubris,Endemic (country/region),PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Western Wood-Pewee,Contopus sordidulus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Northern Tropical Pewee,Contopus bogotensis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Eastern Wood-Pewee,Contopus virens,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Yellow-bellied Flycatcher,Empidonax flaviventris,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Acadian Flycatcher,Empidonax virescens,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Alder Flycatcher,Empidonax alnorum,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Willow Flycatcher,Empidonax traillii,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
White-throated Flycatcher,Empidonax albigularis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Least Flycatcher,Empidonax minimus,Rare/Accidental,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Yellowish Flycatcher,Empidonax flavescens,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Black-capped Flycatcher,Empidonax atriceps,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Black Phoebe,Sayornis nigricans,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Long-tailed Tyrant,Colonia colonus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Bright-rumped Attila,Attila spadiceus,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Rufous Mourner,Rhytipterna holerythra,,PASSERIFORMES,Tyrannidae,CRhe,yes,,,,,
Dusky-capped Flycatcher,Myiarchus tuberculifer,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Nutting's Flycatcher,Myiarchus nuttingi,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Great Crested Flycatcher,Myiarchus crinitus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Brown-crested Flycatcher,Myiarchus tyrannulus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Great Kiskadee,Pitangus sulphuratus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Boat-billed Flycatcher,Megarynchus pitangua,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Social Flycatcher,Myiozetetes similis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Gray-capped Flycatcher,Myiozetetes granadensis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
White-ringed Flycatcher,Conopias albovittatus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Golden-bellied Flycatcher,Myiodynastes hemichrysus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Streaked Flycatcher,Myiodynastes maculatus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Sulphur-bellied Flycatcher,Myiodynastes luteiventris,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Piratic Flycatcher,Legatus leucophaius,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Tropical Kingbird,Tyrannus melancholicus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Western Kingbird,Tyrannus verticalis,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Eastern Kingbird,Tyrannus tyrannus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Gray Kingbird,Tyrannus dominicensis,Rare/Accidental,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Scissor-tailed Flycatcher,Tyrannus forficatus,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Fork-tailed Flycatcher,Tyrannus savana,,PASSERIFORMES,Tyrannidae,CRhe,,,,,,
Rufous-browed Peppershrike,Cyclarhis gujanensis,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Green Shrike-Vireo,Vireolanius pulchellus,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Ochre-crowned Greenlet,Tunchiornis ochraceiceps,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Lesser Greenlet,Pachysylvia decurtata,,PASSERIFORMES,Vireonidae,CRhe,yes,,,,,
White-eyed Vireo,Vireo griseus,Rare/Accidental,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Mangrove Vireo,Vireo pallens,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Yellow-throated Vireo,Vireo flavifrons,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Yellow-winged Vireo,Vireo carmioli,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Blue-headed Vireo,Vireo solitarius,Rare/Accidental,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Philadelphia Vireo,Vireo philadelphicus,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Eastern Warbling Vireo,Vireo gilvus,Rare/Accidental,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Brown-capped Vireo,Vireo leucophrys,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Red-eyed Vireo,Vireo olivaceus,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Yellow-green Vireo,Vireo flavoviridis,,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Black-whiskered Vireo,Vireo altiloquus,Rare/Accidental,PASSERIFORMES,Vireonidae,CRhe,,,,,,
Azure-hooded Jay,Cyanolyca cucullata,,PASSERIFORMES,Corvidae,CRhe,,,,,,
White-throated Magpie-Jay,Cyanocorax formosus,,PASSERIFORMES,Corvidae,CRhe,,,,,,
Brown Jay,Cyanocorax morio,,PASSERIFORMES,Corvidae,CRhe,,,,,,
Black-chested Jay,Cyanocorax affinis,,PASSERIFORMES,Corvidae,CRhe,,,,,,
Bank Swallow,Riparia riparia,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Tree Swallow,Tachycineta bicolor,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Mangrove Swallow,Tachycineta albilinea,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Violet-green Swallow,Tachycineta thalassina,Rare/Accidental,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Purple Martin,Progne subis,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Gray-breasted Martin,Progne chalybea,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Southern Rough-winged Swallow,Stelgidopteryx ruficollis,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Blue-and-white Swallow,Pygochelidon cyanoleuca,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Barn Swallow,Hirundo rustica,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Cliff Swallow,Petrochelidon pyrrhonota,,PASSERIFORMES,Hirundinidae,CRhe,,,,,,
Tawny-faced Gnatwren,Microbates cinereiventris,,PASSERIFORMES,Polioptilidae,CRhe,,,,,,
Long-billed Gnatwren,Ramphocaenus melanurus,,PASSERIFORMES,Polioptilidae,CRhe,,,,,,
White-browed Gnatcatcher,Polioptila bilineata,,PASSERIFORMES,Polioptilidae,CRhe,,,,,,
White-lored Gnatcatcher,Polioptila albiloris,,PASSERIFORMES,Polioptilidae,CRhe,,,,,,
Nightingale Wren,Microcerculus philomela,Near-threatened,PASSERIFORMES,Troglodytidae,CRhe,yes,,,,,
Scaly-breasted Wren,Microcerculus marginatus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Southern House Wren,Troglodytes musculus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Ochraceous Wren,Troglodytes ochraceus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Grass Wren,Cistothorus platensis,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Band-backed Wren,Campylorhynchus zonatus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Rufous-backed Wren,Campylorhynchus capistratus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Black-bellied Wren,Pheugopedius fasciatoventris,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Rufous-breasted Wren,Pheugopedius rutilus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Spot-breasted Wren,Pheugopedius maculipectus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Black-throated Wren,Pheugopedius atrogularis,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Banded Wren,Thryophilus pleurostictus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Rufous-and-white Wren,Thryophilus rufalbus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Stripe-breasted Wren,Cantorchilus thoracicus,,PASSERIFORMES,Troglodytidae,CRhe,yes,,,,,
Cabanis's Wren,Cantorchilus modestus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Canebrake Wren,Cantorchilus zeledoni,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Isthmian Wren,Cantorchilus elutus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Riverside Wren,Cantorchilus semibadius,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Bay Wren,Cantorchilus nigricapillus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
White-breasted Wood-Wren,Henicorhina leucosticta,,PASSERIFORMES,Troglodytidae,CRhe,yes,,,,,
Gray-breasted Wood-Wren,Henicorhina leucophrys,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
Song Wren,Cyphorhinus phaeocephalus,,PASSERIFORMES,Troglodytidae,CRhe,,,,,,
American Dipper,Cinclus mexicanus,,PASSERIFORMES,Cinclidae,CRhe,,,,,,
Gray Catbird,Dumetella carolinensis,,PASSERIFORMES,Mimidae,CRhe,,,,,,
Tropical Mockingbird,Mimus gilvus,Introduced species,PASSERIFORMES,Mimidae,CRhe,,,,,,
Black-faced Solitaire,Myadestes melanops,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Black-billed Nightingale-Thrush,Catharus gracilirostris,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Orange-billed Nightingale-Thrush,Catharus aurantiirostris,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Slaty-backed Nightingale-Thrush,Catharus fuscater,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Ruddy-capped Nightingale-Thrush,Catharus frantzii,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Black-headed Nightingale-Thrush,Catharus mexicanus,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Veery,Catharus fuscescens,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Gray-cheeked Thrush,Catharus minimus,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Swainson's Thrush,Catharus ustulatus,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Wood Thrush,Hylocichla mustelina,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Sooty Thrush,Turdus nigrescens,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Mountain Thrush,Turdus plebejus,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Pale-vented Thrush,Turdus obsoletus,,PASSERIFORMES,Turdidae,CRhe,,,,,,
White-throated Thrush,Turdus assimilis,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Clay-colored Thrush,Turdus grayi,,PASSERIFORMES,Turdidae,CRhe,,,,,,
Cedar Waxwing,Bombycilla cedrorum,,PASSERIFORMES,Bombycillidae,CRhe,,,,,,
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha,,PASSERIFORMES,Ptiliogonatidae,CRhe,,,,,,
Long-tailed Silky-flycatcher,Ptiliogonys caudatus,,PASSERIFORMES,Ptiliogonatidae,CRhe,,,,,,
Tricolored Munia,Lonchura malacca,Introduced species,PASSERIFORMES,Estrildidae,CRhe,,,,,,
House Sparrow,Passer domesticus,Introduced species,PASSERIFORMES,Passeridae,CRhe,,,,,,
Elegant Euphonia,Chlorophonia elegantissima,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Golden-browed Chlorophonia,Chlorophonia callophrys,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Scrub Euphonia,Euphonia affinis,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Yellow-crowned Euphonia,Euphonia luteicapilla,,PASSERIFORMES,Fringillidae,CRhe,yes,,,,,
White-vented Euphonia,Euphonia minuta,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Yellow-throated Euphonia,Euphonia hirundinacea,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Thick-billed Euphonia,Euphonia laniirostris,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Spot-crowned Euphonia,Euphonia imitans,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Olive-backed Euphonia,Euphonia gouldi,,PASSERIFORMES,Fringillidae,CRhe,yes,,,,,
Tawny-capped Euphonia,Euphonia anneae,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Lesser Goldfinch,Spinus psaltria,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Yellow-bellied Siskin,Spinus xanthogastrus,,PASSERIFORMES,Fringillidae,CRhe,,,,,,
Ashy-throated Chlorospingus,Chlorospingus canigularis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Sooty-capped Chlorospingus,Chlorospingus pileatus,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Common Chlorospingus,Chlorospingus flavopectus,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Stripe-headed Sparrow,Peucaea ruficauda,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Grasshopper Sparrow,Ammodramus savannarum,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Olive Sparrow,Arremonops rufivirgatus,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Black-striped Sparrow,Arremonops conirostris,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Chipping Sparrow,Spizella passerina,Rare/Accidental,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Lark Sparrow,Chondestes grammacus,Rare/Accidental,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Costa Rican Brushfinch,Arremon costaricensis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Orange-billed Sparrow,Arremon aurantiirostris,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Chestnut-capped Brushfinch,Arremon brunneinucha,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Sooty-faced Finch,Arremon crassirostris,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Rufous-collared Sparrow,Zonotrichia capensis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Lincoln's Sparrow,Melospiza lincolnii,Rare/Accidental,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Large-footed Finch,Pezopetes capitalis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
White-eared Ground-Sparrow,Melozone leucotis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Cabanis's Ground-Sparrow,Melozone cabanisi,Endemic (country/region) Near-threatened,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Rusty Sparrow,Aimophila rufescens,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
White-naped Brushfinch,Atlapetes albinucha,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Yellow-thighed Brushfinch,Atlapetes tibialis,,PASSERIFORMES,Passerellidae,CRhe,,,,,,
Wrenthrush,Zeledonia coronata,,PASSERIFORMES,Zeledoniidae,CRhe,,,,,,
Yellow-breasted Chat,Icteria virens,,PASSERIFORMES,Icteriidae,CRhe,,,,,,
Bobolink,Dolichonyx oryzivorus,Near-threatened,PASSERIFORMES,Icteridae,CRhe,,,,,,
Eastern Meadowlark,Sturnella magna,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Red-breasted Meadowlark,Leistes militaris,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Yellow-billed Cacique,Amblycercus holosericeus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Chestnut-headed Oropendola,Psarocolius wagleri,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Montezuma Oropendola,Psarocolius montezuma,,PASSERIFORMES,Icteridae,CRhe,yes,,,,,
Scarlet-rumped Cacique,Cacicus uropygialis,,PASSERIFORMES,Icteridae,CRhe,yes,,,,,
Black-cowled Oriole,Icterus prosthemelas,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Orchard Oriole,Icterus spurius,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Yellow-tailed Oriole,Icterus mesomelas,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Streak-backed Oriole,Icterus pustulatus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Bullock's Oriole,Icterus bullockii,Rare/Accidental,PASSERIFORMES,Icteridae,CRhe,,,,,,
Spot-breasted Oriole,Icterus pectoralis,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Baltimore Oriole,Icterus galbula,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Red-winged Blackbird,Agelaius phoeniceus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Shiny Cowbird,Molothrus bonariensis,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Bronzed Cowbird,Molothrus aeneus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Giant Cowbird,Molothrus oryzivorus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Melodious Blackbird,Dives dives,Rare/Accidental,PASSERIFORMES,Icteridae,CRhe,,,,,,
Great-tailed Grackle,Quiscalus mexicanus,,PASSERIFORMES,Icteridae,CRhe,,,,,,
Ovenbird,Seiurus aurocapilla,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Worm-eating Warbler,Helmitheros vermivorum,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Louisiana Waterthrush,Parkesia motacilla,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Northern Waterthrush,Parkesia noveboracensis,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Golden-winged Warbler,Vermivora chrysoptera,Near-threatened,PASSERIFORMES,Parulidae,CRhe,,,,,,
Blue-winged Warbler,Vermivora cyanoptera,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Black-and-white Warbler,Mniotilta varia,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Prothonotary Warbler,Protonotaria citrea,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Flame-throated Warbler,Oreothlypis gutturalis,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Tennessee Warbler,Leiothlypis peregrina,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Nashville Warbler,Leiothlypis ruficapilla,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Connecticut Warbler,Oporornis agilis,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Gray-crowned Yellowthroat,Geothlypis poliocephala,,PASSERIFORMES,Parulidae,CRhe,,,,,,
MacGillivray's Warbler,Geothlypis tolmiei,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Mourning Warbler,Geothlypis philadelphia,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Kentucky Warbler,Geothlypis formosa,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Olive-crowned Yellowthroat,Geothlypis semiflava,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Common Yellowthroat,Geothlypis trichas,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Hooded Warbler,Setophaga citrina,,PASSERIFORMES,Parulidae,CRhe,,,,,,
American Redstart,Setophaga ruticilla,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Cape May Warbler,Setophaga tigrina,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Cerulean Warbler,Setophaga cerulea,Near-threatened,PASSERIFORMES,Parulidae,CRhe,,,,,,
Northern Parula,Setophaga americana,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Tropical Parula,Setophaga pitiayumi,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Magnolia Warbler,Setophaga magnolia,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Bay-breasted Warbler,Setophaga castanea,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Blackburnian Warbler,Setophaga fusca,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Northern Yellow Warbler,Setophaga aestiva,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Mangrove Yellow Warbler,Setophaga petechia,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Chestnut-sided Warbler,Setophaga pensylvanica,,PASSERIFORMES,Parulidae,CRhe,yes,,,,,
Blackpoll Warbler,Setophaga striata,Rare/Accidental Near-threatened,PASSERIFORMES,Parulidae,CRhe,,,,,,
Black-throated Blue Warbler,Setophaga caerulescens,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Palm Warbler,Setophaga palmarum,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Pine Warbler,Setophaga pinus,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Yellow-rumped Warbler,Setophaga coronata,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Yellow-throated Warbler,Setophaga dominica,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Prairie Warbler,Setophaga discolor,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Townsend's Warbler,Setophaga townsendi,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Hermit Warbler,Setophaga occidentalis,Rare/Accidental,PASSERIFORMES,Parulidae,CRhe,,,,,,
Golden-cheeked Warbler,Setophaga chrysoparia,Rare/Accidental Endangered,PASSERIFORMES,Parulidae,CRhe,,,,,,
Black-throated Green Warbler,Setophaga virens,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Chestnut-capped Warbler,Basileuterus delattrii,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Black-cheeked Warbler,Basileuterus melanogenys,,PASSERIFORMES,Parulidae,CRhe,,,,,,
Golden-crowned Warbler,Basileuterus culicivorus,,PASSERIFORMES,Parulidae,CRhe,,,,,,
