common_name,scientific_name,status,order,family,region,in_LaSelva-Barva_studies?,previously_done?,recorder,entry_dates,BOW_citation,Notes
Buff-fronted Quail-Dove,Zentrygon costaricensis,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Purplish-backed Quail-Dove,Zentrygon lawrencii,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Chiriqui Quail-Dove,Zentrygon chiriquensis,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
White-winged Dove,Zenaida asiatica,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Mourning Dove,Zenaida macroura,,COLUMBIFORMES,Columbidae,CRhe,,,,,,
Greater Ani,Crotophaga major,Rare/Accidental,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Smooth-billed Ani,Crotophaga ani,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Groove-billed Ani,Crotophaga sulcirostris,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Striped Cuckoo,Tapera naevia,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Pheasant Cuckoo,Dromococcyx phasianellus,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Lesser Ground-Cuckoo,Morococcyx erythropygus,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Rufous-vented Ground-Cuckoo,Neomorphus geoffroyi,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Common Squirrel-Cuckoo,Piaya cayana,,CUCULIFORMES,Cuculidae,CRhe,yes,,,,,
Yellow-billed Cuckoo,Coccyzus americanus,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Mangrove Cuckoo,Coccyzus minor,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Black-billed Cuckoo,Coccyzus erythropthalmus,,CUCULIFORMES,Cuculidae,CRhe,,,,,,
Lesser Nighthawk,Chordeiles acutipennis,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Common Nighthawk,Chordeiles minor,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Short-tailed Nighthawk,Lurocalis semitorquatus,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Common Pauraque,Nyctidromus albicollis,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Ocellated Poorwill,Nyctiphrynus ocellatus,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Chuck-will's-widow,Antrostomus carolinensis,Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Eastern Whip-poor-will,Antrostomus vociferus,Rare/Accidental Near-threatened,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Dusky Nightjar,Antrostomus saturatus,,CAPRIMULGIFORMES,Caprimulgidae,CRhe,,,,,,
Great Potoo,Nyctibius grandis,,NYCTIBIIFORMES,Nyctibiidae,CRhe,,,,,,
Common Potoo,Nyctibius griseus,,NYCTIBIIFORMES,Nyctibiidae,CRhe,,,,,,
Oilbird,Steatornis caripensis,Rare/Accidental,STEATORNITHIFORMES,Steatornithidae,CRhe,,,,,,
Black Swift,Cypseloides niger,Vulnerable,APODIFORMES,Apodidae,CRhe,,,,,,
White-chinned Swift,Cypseloides cryptus,,APODIFORMES,Apodidae,CRhe,,,,,,
Spot-fronted Swift,Cypseloides cherriei,,APODIFORMES,Apodidae,CRhe,,,,,,
Chestnut-collared Swift,Streptoprocne rutila,,APODIFORMES,Apodidae,CRhe,,,,,,
White-collared Swift,Streptoprocne zonaris,,APODIFORMES,Apodidae,CRhe,,,,,,
Gray-rumped Swift,Chaetura cinereiventris,,APODIFORMES,Apodidae,CRhe,yes,,,,,
Costa Rican Swift,Chaetura fumosa,,APODIFORMES,Apodidae,CRhe,,,,,,
Chimney Swift,Chaetura pelagica,Vulnerable,APODIFORMES,Apodidae,CRhe,,,,,,
Vaux's Swift,Chaetura vauxi,,APODIFORMES,Apodidae,CRhe,,,,,,
Lesser Swallow-tailed Swift,Panyptila cayennensis,,APODIFORMES,Apodidae,CRhe,,,,,,
Great Swallow-tailed Swift,Panyptila sanctihieronymi,Rare/Accidental,APODIFORMES,Apodidae,CRhe,,,,,,
White-necked Jacobin,Florisuga mellivora,,APODIFORMES,Trochilidae,CRhe,,,,,,
White-tipped Sicklebill,Eutoxeres aquila,,APODIFORMES,Trochilidae,CRhe,,,,,,
