scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Arachnothera magna,Streaked Spiderhunter,Arachnothera magna,Streaked Spiderhunter,L0 species as entered on checklist (Clements 2024)
Argya malcomi,Large Grey Babbler,Argya malcolmi,Large Gray Babbler,high confidence str match to checklist (Clements 2024)  0.976
Argya striata somervillei,Black-Winged Babbler,Argya striata somervillei,Jungle Babbler (Black-winged),L0 species as entered on checklist (Clements 2024)
Brachypteryx crusalis,Himalayan Shortwing,Brachypteryx cruralis,Himalayan Shortwing,high confidence common name fuzzy match (Clements 2024)  1
Brachypteryx leucophris nipalensis,Lesser Shortwing,Brachypteryx leucophris nipalensis,,L0 species as entered on checklist (Clements 2024)
Calamornis heudei,Reed Parrotbill,Paradoxornis heudei,Reed Parrotbill,high confidence common name fuzzy match (Clements 2024)  1
Calandrella brachydactyla,Greater Short-Toed Lark,Calandrella brachydactyla,Greater Short-toed Lark,L0 species as entered on checklist (Clements 2024)
Calcarius lapponicus,Lapland Bunting,Calcarius lapponicus,Lapland Longspur,L0 species as entered on checklist (Clements 2024)
Calliope calliope,Siberian Rubythroat,Calliope calliope,Siberian Rubythroat,L0 species as entered on checklist (Clements 2024)
Carpodacus sibiricus,Long-Tailed Rosefinch,Carpodacus sibiricus,Long-tailed Rosefinch,L0 species as entered on checklist (Clements 2024)
Cercotrichas galactotes,Rufous-Tailed Scrub Robin,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,L0 species as entered on checklist (Clements 2024)
Certhia familiaris,Eurasian Treecreeper,Certhia familiaris,Eurasian Treecreeper,L0 species as entered on checklist (Clements 2024)
Cettia cetti,Cetti's Warbler,Cettia cetti,Cetti's Warbler,L0 species as entered on checklist (Clements 2024)
Chloris sinica,Oriental Greenfinch,Chloris sinica,Oriental Greenfinch,L0 species as entered on checklist (Clements 2024)
Chloropsis aurifrons,Golden-Fronted Leafbird,Chloropsis aurifrons,Golden-fronted Leafbird,L0 species as entered on checklist (Clements 2024)
Chloropsis hardwickii,Orange-Bellied Leafbird,Chloropsis hardwickii,Orange-bellied Leafbird,L0 species as entered on checklist (Clements 2024)
Cinclus cinclus,White-Throated Dipper,Cinclus cinclus,White-throated Dipper,L0 species as entered on checklist (Clements 2024)
Cinclus pallasi,Brown Dipper,Cinclus pallasii,Brown Dipper,high confidence str match to checklist (Clements 2024)  0.979
Coccothraustes coccothraustes,Hawfinch,Coccothraustes coccothraustes,Hawfinch,L0 species as entered on checklist (Clements 2024)
Cochoa purpurea,Purple Cochoa,Cochoa purpurea,Purple Cochoa,L0 species as entered on checklist (Clements 2024)
Cochoa viridis,Green Cochoa,Cochoa viridis,Green Cochoa,L0 species as entered on checklist (Clements 2024)
Columba oenas,Stock Pigeon,Columba oenas,Stock Dove,L0 species as entered on checklist (Clements 2024)
Columba palumbus,Common Wood-Pigeon,Columba palumbus,Common Wood-Pigeon,L0 species as entered on checklist (Clements 2024)
Copsychus malabaricus,White-Rumped Shama,Copsychus malabaricus,White-rumped Shama,L0 species as entered on checklist (Clements 2024)
Culicicapa ceylonensis,Grey-Headed Canary Flycatcher,Culicicapa ceylonensis,Gray-headed Canary-Flycatcher,L0 species as entered on checklist (Clements 2024)
Curruca curruca,Lesser Whitethroat,Curruca curruca,Lesser Whitethroat,L0 species as entered on checklist (Clements 2024)
Curruca deserticola,Tristram's Warbler,Curruca deserticola,Tristram's Warbler,L0 species as entered on checklist (Clements 2024)
Curruca hortensis,Western Orphean Warbler,Curruca hortensis,Western Orphean Warbler,L0 species as entered on checklist (Clements 2024)
Curruca melanocephala,Sardinian Warbler,Curruca melanocephala,Sardinian Warbler,L0 species as entered on checklist (Clements 2024)
Curruca nisoria,Barred Warbler,Curruca nisoria,Barred Warbler,L0 species as entered on checklist (Clements 2024)
Curruca ruppeli,Rüppell’s Warbler,Curruca ruppeli,Rüppell's Warbler,L0 species as entered on checklist (Clements 2024)
Curruca undata,Dartford Warbler,Curruca undata,Dartford Warbler,L0 species as entered on checklist (Clements 2024)
Cyanistes caeruleus,Eurasian Blue Tit,Cyanistes caeruleus,Eurasian Blue Tit,L0 species as entered on checklist (Clements 2024)
Cyanoderma rufifrons,Rufous-Fronted Babbler,Cyanoderma rufifrons,Rufous-fronted Babbler,L0 species as entered on checklist (Clements 2024)
Cyanoptila cyanomelana,Blue-And-White Flycatcher,Cyanoptila cyanomelana,Blue-and-white Flycatcher,L0 species as entered on checklist (Clements 2024)
Cyornis rubeculoides,Blue-Throated Flycatcher,Cyornis rubeculoides,Blue-throated Flycatcher,L0 species as entered on checklist (Clements 2024)
Dicrurus aeneus,Bronzed Drongo,Dicrurus aeneus,Bronzed Drongo,L0 species as entered on checklist (Clements 2024)
Dicrurus leucophaeus,Ashy Drongo,Dicrurus leucophaeus,Ashy Drongo,L0 species as entered on checklist (Clements 2024)
Emberiza aureola,Yellow-Breasted Bunting,Emberiza aureola,Yellow-breasted Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza calandra,Corn Bunting,Emberiza calandra,Corn Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza cia,Rock Bunting,Emberiza cia,Rock Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza cioides,Meadow Bunting,Emberiza cioides,Meadow Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza cirlus,Cirl Bunting,Emberiza cirlus,Cirl Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza hortulana,Ortolan Bunting,Emberiza hortulana,Ortolan Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza jankowskii,Jankowski’s Bunting,Emberiza jankowskii,Rufous-backed Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza lathami,Crested Bunting,Emberiza lathami,Crested Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza rustica,Rustic Bunting,Emberiza rustica,Rustic Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza schoeniculus,Reed Bunting,Emberiza schoeniclus,Reed Bunting,high confidence str match to checklist (Clements 2024)  0.967
Emberiza spodocephala,Black-Faced Bunting,Emberiza spodocephala,Black-faced Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza sulphurata,Yellow Bunting,Emberiza sulphurata,Yellow Bunting,L0 species as entered on checklist (Clements 2024)
Emberiza variabilis,Gray Bunting,Emberiza variabilis,Gray Bunting,L0 species as entered on checklist (Clements 2024)
Emperiza fucata,Gray-Headed Bunting,Emberiza fucata,Chestnut-eared Bunting,high confidence str match to checklist (Clements 2024)  0.956
Enicurus immaculatus,Black-Backed Forktail,Enicurus immaculatus,Black-backed Forktail,L0 species as entered on checklist (Clements 2024)
Eophona personata,Japanese Grosbeak,Eophona personata,Japanese Grosbeak,L0 species as entered on checklist (Clements 2024)
Eumyias thalassinus,Verditer Flycatcher,Eumyias thalassinus,Verditer Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula erithacus,Slaty-Backed Flycatcher,Ficedula erithacus,Slaty-backed Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula narcissina,Narcissus Flycatcher,Ficedula narcissina,Narcissus Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula parva,Red-Breasted Flycatcher,Ficedula parva,Red-breasted Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula superciliaris,Ultramarine Flycatcher,Ficedula superciliaris,Ultramarine Flycatcher,L0 species as entered on checklist (Clements 2024)
Ficedula tricolor,Slaty-Blue Flycatcher,Ficedula tricolor,Slaty-blue Flycatcher,L0 species as entered on checklist (Clements 2024)
Galerida cristata,Crested Lark,Galerida cristata,Crested Lark,L0 species as entered on checklist (Clements 2024)
Gypsophila brevicaudata,Streaked Wren-Babbler,Gypsophila brevicaudata,Streaked Wren-Babbler,L0 species as entered on checklist (Clements 2024)
Hemitesia pallidipes,Pale-Footed Bush Warbler,Hemitesia pallidipes,Pale-footed Bush Warbler,L0 species as entered on checklist (Clements 2024)
Hemixos flavala,Ashy Bulbul,Hemixos flavala,Ashy Bulbul,L0 species as entered on checklist (Clements 2024)
Heterophasia gracilis,Grey Sibia,Heterophasia gracilis,Gray Sibia,L0 species as entered on checklist (Clements 2024)
Hypsipetes amaurotis,Brown-Eared Bulbul,Hypsipetes amaurotis,Brown-eared Bulbul,L0 species as entered on checklist (Clements 2024)
Hypsipetes leucocephalus,Black Bulbul,Hypsipetes leucocephalus,Black Bulbul,L0 species as entered on checklist (Clements 2024)
Ianthocincla rufogularis rufogularis,Rufous-Chinned Laughingthrush,Ianthocincla rufogularis rufogularis,,L0 species as entered on checklist (Clements 2024)
Iduna pallida,Eastern Olivaceous Warbler,Iduna pallida,Eastern Olivaceous Warbler,L0 species as entered on checklist (Clements 2024)
Ixos mcclellandii,Mountain Bulbul,Ixos mcclellandii,Mountain Bulbul,L0 species as entered on checklist (Clements 2024)
Lalage melaschistos,Black-Winged Cuckooshrike,Lalage melaschistos,Black-winged Cuckooshrike,L0 species as entered on checklist (Clements 2024)
Lanius bucephalus,Bull-Headed Shrike,Lanius bucephalus,Bull-headed Shrike,L0 species as entered on checklist (Clements 2024)
Lanius collurio,Red-Backed Shrike,Lanius collurio,Red-backed Shrike,L0 species as entered on checklist (Clements 2024)
Lanius cristatus,Brown Shrike,Lanius cristatus,Brown Shrike,L0 species as entered on checklist (Clements 2024)
Lanius isabellinus,Isabelline Shrike,Lanius isabellinus,Isabelline Shrike,L0 species as entered on checklist (Clements 2024)
Lanius minor,Lesser Grey Shrike,Lanius minor,Lesser Gray Shrike,L0 species as entered on checklist (Clements 2024)
Lanius schach erythronotus/tricolor,Black-Headed Shrike,Lanius schach erythronotus/tricolor,Black-Headed Shrike,"Update to checklist Long-tailed Shrike (tricolor/longicaudatus)=Lanius schach tricolor/longicaudatus. AviBase: Lanius schach [erythronotus x tricolor] (= Lanius schach nigriceps) (Franklin, J 1831), but closest match visually on BOW is Long-tailed Shrike (tricolor/longicaudatus); ""Mainland races tend to intergrade; intermediates between erythronotus and tricolor sometimes referred to as �nigriceps�"". edited to match checklist (Clements 2024)."
Lanius senator,Woodchat Shrike,Lanius senator,Woodchat Shrike,L0 species as entered on checklist (Clements 2024)
Lanius tephronotus,Grey-Backed Shrike,Lanius tephronotus,Gray-backed Shrike,L0 species as entered on checklist (Clements 2024)
Lanius tigrinus,Thick-Billed Shrike,Lanius tigrinus,Tiger Shrike,L0 species as entered on checklist (Clements 2024)
Larvivora brunnea,Indian Blue Robin,Larvivora brunnea,Indian Blue Robin,L0 species as entered on checklist (Clements 2024)
Leioptila annectens,Rufous-Backed Sibia,Leioptila annectens,Rufous-backed Sibia,L0 species as entered on checklist (Clements 2024)
Leiothrix argentauris,Silver-Eared Mesia,Leiothrix argentauris,Silver-eared Mesia,L0 species as entered on checklist (Clements 2024)
Leiothrix lutea,Red-Billed Leiothrix,Leiothrix lutea,Red-billed Leiothrix,L0 species as entered on checklist (Clements 2024)
Locustella luscinioides,Savi's Warbler,Locustella luscinioides,Savi's Warbler,L0 species as entered on checklist (Clements 2024)
Locustella naevia,Common Grasshopper-Warbler,Locustella naevia,Common Grasshopper Warbler,L0 species as entered on checklist (Clements 2024)
Lullula arborea,Wood Lark,Lullula arborea,Wood Lark,L0 species as entered on checklist (Clements 2024)
Luscinia luscinia,Thrush Nightingale,Luscinia luscinia,Thrush Nightingale,L0 species as entered on checklist (Clements 2024)
Luscinia phaenicuroides,White-Bellied Redstart,Luscinia phaenicuroides,White-bellied Redstart,L0 species as entered on checklist (Clements 2024)
Machlolophus spilonotus,Yellow-Cheeked Tit,Machlolophus spilonotus,Yellow-cheeked Tit,L0 species as entered on checklist (Clements 2024)
Mixornos gularis,Striped Tit-Babbler,Mixornis gularis,Pin-striped Tit-Babbler,high confidence str match to checklist (Clements 2024)  0.958
Montecincla meridionalis,Ashambu Laughingthrush,Montecincla meridionalis,Ashambu Laughingthrush,L0 species as entered on checklist (Clements 2024)
Monticola cinclorhyncha,Blue-Capped Rock-Thrush,Monticola cinclorhyncha,Blue-capped Rock-Thrush,L0 species as entered on checklist (Clements 2024)
Monticola rufiventris,Chestnut-Bellied Rock-Thrush,Monticola rufiventris,Chestnut-bellied Rock-Thrush,L0 species as entered on checklist (Clements 2024)
Monticola saxatilis,Rufous-Tailed Rock-Thrush,Monticola saxatilis,Rufous-tailed Rock-Thrush,L0 species as entered on checklist (Clements 2024)
Motacilla alba lugens,Black-Backed Wagtail,Motacilla alba lugens,White Wagtail (Black-backed),L0 species as entered on checklist (Clements 2024)
Motacilla cinerea,Grey Wagtail,Motacilla cinerea,Gray Wagtail,L0 species as entered on checklist (Clements 2024)
Motacilla citreola,Yellow-Hooded Wagtail,Motacilla citreola,Citrine Wagtail,L0 species as entered on checklist (Clements 2024)
Motacilla flava,Yellow Wagtail,Motacilla flava,Western Yellow Wagtail,L0 species as entered on checklist (Clements 2024)
Motacilla grandis,Japanese Wagtail,Motacilla grandis,Japanese Wagtail,L0 species as entered on checklist (Clements 2024)
Muscicapa muttui,Brown-Breasted Flycatcher,Muscicapa muttui,Brown-breasted Flycatcher,L0 species as entered on checklist (Clements 2024)
Muscicapa striata,Spotted Flycatcher,Muscicapa striata,Spotted Flycatcher,L0 species as entered on checklist (Clements 2024)
Myophonus caeruleus temminckii,Yellow-Billed Blue Whistling-Thrush,Myophonus caeruleus temminckii,,L0 species as entered on checklist (Clements 2024)
Napothera malacoptila,Long-Billed Wren-Babbler,Napothera malacoptila,Long-billed Wren-Babbler,L0 species as entered on checklist (Clements 2024)
Niltava grandis,Large Niltava,Niltava grandis,Large Niltava,L0 species as entered on checklist (Clements 2024)
Niltava macgrigoriae,Small Niltava,Niltava macgrigoriae,Small Niltava,L0 species as entered on checklist (Clements 2024)
Oenanthe oenanthe,Northern Wheater,Oenanthe oenanthe,Northern Wheatear,L0 species as entered on checklist (Clements 2024)
Oriolus oriolus,Eurasian Golden-Oriole,Oriolus oriolus,Eurasian Golden Oriole,L0 species as entered on checklist (Clements 2024)
Panurus biarmicus,Bearded Reedling,Panurus biarmicus,Bearded Reedling,L0 species as entered on checklist (Clements 2024)
Paradoxornis flavirostris,Black-Breasted Parrotbill,Paradoxornis flavirostris,Black-breasted Parrotbill,L0 species as entered on checklist (Clements 2024)
Passer cinnamomeus,Russet Sparrow,Passer cinnamomeus,Russet Sparrow,L0 species as entered on checklist (Clements 2024)
Passer diffusus,Southern Grey-Headed Sparrow,Passer diffusus,Southern Gray-headed Sparrow,L0 species as entered on checklist (Clements 2024)
Passer griseus,Northern Grey-Headed Sparrow,Passer griseus,Northern Gray-headed Sparrow,L0 species as entered on checklist (Clements 2024)
Pellorneum albiventre,Spot-Throated Babbler,Pellorneum albiventre,Spot-throated Babbler,L0 species as entered on checklist (Clements 2024)
Pellorneum ruficeps,Puff-Throated Babbler,Pellorneum ruficeps,Puff-throated Babbler,L0 species as entered on checklist (Clements 2024)
Pellorneum tickelli,Buff-Breasted Babbler,Pellorneum tickelli,Buff-breasted Babbler,L0 species as entered on checklist (Clements 2024)
Pericrocotus solaris,Grey-Chinned Minivet,Pericrocotus solaris,Gray-chinned Minivet,L0 species as entered on checklist (Clements 2024)
Phasianus colchicus,Common Pheasant,Phasianus colchicus,Ring-necked Pheasant,L0 species as entered on checklist (Clements 2024)
Phoenicurus auroreus,Daurian Redstart,Phoenicurus auroreus,Daurian Redstart,L0 species as entered on checklist (Clements 2024)
Phoenicurus frontalis,Blue-Fronted Redstart,Phoenicurus frontalis,Blue-fronted Redstart,L0 species as entered on checklist (Clements 2024)
Phoenicurus fuliginosus,Plumbeous Water-Redstart,Phoenicurus fuliginosus,Plumbeous Redstart,L0 species as entered on checklist (Clements 2024)
Phoenicurus moussieri,Moussier's Redstart,Phoenicurus moussieri,Moussier's Redstart,L0 species as entered on checklist (Clements 2024)
Phylloscopus burkii,Green-Crowned Warbler,Phylloscopus burkii,Green-crowned Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus cantator,Yellow-Vented Warbler,Phylloscopus cantator,Yellow-vented Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus castaniceps,Chestnut-Crowned Warbler,Phylloscopus castaniceps,Chestnut-crowned Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus collybita,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff,L0 species as entered on checklist (Clements 2024)
Phylloscopus proregulus,Pallas's Leaf Warbler,Phylloscopus proregulus,Pallas's Leaf Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus reguloides,Blyth’s Leaf-Warbler,Phylloscopus reguloides,Blyth's Leaf Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus tenelipes,Pale-Legged Leaf Warbler,Phylloscopus tenellipes,Pale-legged Leaf Warbler,high confidence str match to checklist (Clements 2024)  0.986
Phylloscopus xanthoschistos,Grey-Hooded Warbler,Phylloscopus xanthoschistos,Gray-hooded Warbler,L0 species as entered on checklist (Clements 2024)
Pnoepyga albiventer,Scaly-Breasted Cupwing,Pnoepyga albiventer,Scaly-breasted Cupwing,L0 species as entered on checklist (Clements 2024)
Pnoepyga pusilla,Pygmy Cupwing,Pnoepyga pusilla,Pygmy Cupwing,L0 species as entered on checklist (Clements 2024)
Pomatorhinus ferruginosus,Black-Crowned Scimitar-Babbler,Pomatorhinus ferruginosus,Black-crowned Scimitar-Babbler,L0 species as entered on checklist (Clements 2024)
Pomatorhinus ruficollis,Streak-Breasted Scimitar-Babbler,Pomatorhinus ruficollis,Streak-breasted Scimitar-Babbler,L0 species as entered on checklist (Clements 2024)
Pomatorhinus schisticeps,White-Browed Scimitar-Babbler,Pomatorhinus schisticeps,White-browed Scimitar-Babbler,L0 species as entered on checklist (Clements 2024)
Prinia gracilis,Graceful Prinia,Prinia gracilis,Graceful Prinia,L0 species as entered on checklist (Clements 2024)
Prinia rufescens,Rufescent Prinia,Prinia rufescens,Rufescent Prinia,L0 species as entered on checklist (Clements 2024)
Prunella collaris,Alpine Accentor,Prunella collaris,Alpine Accentor,L0 species as entered on checklist (Clements 2024)
Prunella modularis,Hedge Accentor/Dunnock,Prunella modularis,Dunnock,L0 species as entered on checklist (Clements 2024)
Prunella rubeculoides,Robin Accentor,Prunella rubeculoides,Robin Accentor,L0 species as entered on checklist (Clements 2024)
Prunella rubida,Japanese Accentor,Prunella rubida,Japanese Accentor,L0 species as entered on checklist (Clements 2024)
Prunella strophiata,Rufous-Breasted Accentor,Prunella strophiata,Rufous-breasted Accentor,L0 species as entered on checklist (Clements 2024)
Pterorhinus caerulatus subcaerulatus,Gray-Sided Laughingthrush,Pterorhinus caerulatus subcaerulatus,,L0 species as entered on checklist (Clements 2024)
Pteruthius aenobarbus,Chestnut-Fronted Shrike-Babbler,Pteruthius aenobarbus,Trilling Shrike-Babbler,L0 species as entered on checklist (Clements 2024)
Pycnonotus flavescens,Flavescent Bulbul,Pycnonotus flavescens,Flavescent Bulbul,L0 species as entered on checklist (Clements 2024)
Pycnonotus leucogenys,Himalayan Bulbul,Pycnonotus leucogenys,Himalayan Bulbul,L0 species as entered on checklist (Clements 2024)
Pyrrhula pyrrhula,Eurasian Bullfinch,Pyrrhula pyrrhula,Eurasian Bullfinch,L0 species as entered on checklist (Clements 2024)
Rhipidura aureola,White-Browed Fantail,Rhipidura aureola,White-browed Fantail,L0 species as entered on checklist (Clements 2024)
Rhodospiza obsoleta,Desert Finch,Rhodospiza obsoleta,Desert Finch,L0 species as entered on checklist (Clements 2024)
Schoeniparus castaneceps,Rufous-Winged Fulvetta,Schoeniparus castaneceps,Rufous-winged Fulvetta,L0 species as entered on checklist (Clements 2024)
Schoeniparus cinereus,Yellow-Throated Fulvetta,Schoeniparus cinereus,Yellow-throated Fulvetta,L0 species as entered on checklist (Clements 2024)
Schoeniparus dubius,Rusty-Capped Fulvetta,Schoeniparus dubius,Rusty-capped Fulvetta,L0 species as entered on checklist (Clements 2024)
Scotocerca inquieta,Streaked Scrub-Weaver,Scotocerca inquieta,Scrub Warbler,L0 species as entered on checklist (Clements 2024)
Serinus serinus,European Serin,Serinus serinus,European Serin,L0 species as entered on checklist (Clements 2024)
Sitta castanea,Indian Nuthatch,Sitta castanea,Indian Nuthatch,L0 species as entered on checklist (Clements 2024)
Sitta cinnamoventris,Chestnut-Bellied Nuthatch,Sitta cinnamoventris,Chestnut-bellied Nuthatch,L0 species as entered on checklist (Clements 2024)
Sitta frontalis,Velvet-Fronted Nuthatch,Sitta frontalis,Velvet-fronted Nuthatch,L0 species as entered on checklist (Clements 2024)
Spelaeornis longicaudatus,Tawny-Breasted Wren-Babbler,Spelaeornis longicaudatus,Tawny-breasted Wren-Babbler,L0 species as entered on checklist (Clements 2024)
Spizixos canifrons,Crested Finchbill,Spizixos canifrons,Crested Finchbill,L0 species as entered on checklist (Clements 2024)
Stachyris nigriceps,Grey-Throated Babbler,Stachyris nigriceps,Gray-throated Babbler,L0 species as entered on checklist (Clements 2024)
Staphida castaniceps,Striated Yuhina,Staphida castaniceps,Striated Yuhina,L0 species as entered on checklist (Clements 2024)
Sturnus vulgaris,Common Starling,Sturnus vulgaris,European Starling,L0 species as entered on checklist (Clements 2024)
Suthora alphonsiana,Ashy-Throated Parrotbill,Suthora alphonsiana,Ashy-throated Parrotbill,L0 species as entered on checklist (Clements 2024)
Suthora webbiana,Vinous-Throated Parrotbill,Suthora webbiana,Vinous-throated Parrotbill,L0 species as entered on checklist (Clements 2024)
Sylvia atricapilla,Blackcap,Sylvia atricapilla,Eurasian Blackcap,L0 species as entered on checklist (Clements 2024)
Tesia cyaniventer,Grey-Bellied Tesia,Tesia cyaniventer,Gray-bellied Tesia,L0 species as entered on checklist (Clements 2024)
Tichodroma muraria,Wallcreeper,Tichodroma muraria,Wallcreeper,L0 species as entered on checklist (Clements 2024)
Timalia pileata,Trilling Shrike-Babbler,Timalia pileata,Chestnut-capped Babbler,L0 species as entered on checklist (Clements 2024)
Trochalopteron erythrocephalum nigrimentum,Chestnut-Crowned Laughingthrush,Trochalopteron erythrocephalum nigrimentum,Chestnut-crowned Laughingthrush (Gray-crowned),L0 species as entered on checklist (Clements 2024)
Trochalopteron virgatum,Striped Laughingthrush,Trochalopteron virgatum,Striped Laughingthrush,L0 species as entered on checklist (Clements 2024)
Turdus cardis,Japanese Thrush,Turdus cardis,Japanese Thrush,L0 species as entered on checklist (Clements 2024)
Turdus chrysolaus,Brown-Headed Thrush,Turdus chrysolaus,Brown-headed Thrush,L0 species as entered on checklist (Clements 2024)
Turdus torquatus,Ring Ouzel,Turdus torquatus,Ring Ouzel,L0 species as entered on checklist (Clements 2024)
Yuhina flavicollis,Whiskered Yuhina,Yuhina flavicollis,Whiskered Yuhina,L0 species as entered on checklist (Clements 2024)
Yuhina occipitalis,Rufous-Vented Yuhina,Yuhina occipitalis,Rufous-vented Yuhina,L0 species as entered on checklist (Clements 2024)
Zoothera dauma,Scaly Thrush,Zoothera dauma,Scaly Thrush,L0 species as entered on checklist (Clements 2024)
Zoothera marginata,Dark-Sided Thrush,Zoothera marginata,Dark-sided Thrush,L0 species as entered on checklist (Clements 2024)
Zoothera monticola,Long-Billed Thrush,Zoothera monticola,Long-billed Thrush,L0 species as entered on checklist (Clements 2024)
Zosterops palpebrosus,Indian White-Eye,Zosterops palpebrosus,Indian White-eye,L0 species as entered on checklist (Clements 2024)
Cuculus canorus canorus,Common Cuckoo,Cuculus canorus canorus,,L0 species as entered on checklist (Clements 2024)
Prionops plumatus,White Helmetshrike,Prionops plumatus,White-crested Helmetshrike,L0 species as entered on checklist (Clements 2024)
Laniarius ferrugineus,Southern Boubou,Laniarius ferrugineus,Southern Boubou,L0 species as entered on checklist (Clements 2024)
Laniarius major,Tropical Boubou,Laniarius major,Tropical Boubou,L0 species as entered on checklist (Clements 2024)
Laniarius bicolor,Gabon Boubou,Laniarius bicolor,Gabon Boubou,L0 species as entered on checklist (Clements 2024)
Laniarius atrococcineus,Crimson-Breasted Gonolek,Laniarius atrococcineus,Crimson-breasted Gonolek,L0 species as entered on checklist (Clements 2024)
Laniarius leucorhynchus,Lowland Sooty Boubou,Laniarius leucorhynchus,Lowland Sooty Boubou,L0 species as entered on checklist (Clements 2024)
Lanius mackinnoni,Mackinnon’s Shrike,Lanius mackinnoni,Mackinnon's Shrike,L0 species as entered on checklist (Clements 2024)
Melaenornis pammelaina,Southern Black-Flycatcher,Melaenornis pammelaina,Southern Black-Flycatcher,L0 species as entered on checklist (Clements 2024)
Malimbus cassini,Black-Throated Malimbe,Malimbus cassini,Black-throated Malimbe,L0 species as entered on checklist (Clements 2024)
Rhinopomastus cyanomelas,Common Scimitarbill,Rhinopomastus cyanomelas,Common Scimitarbill,L0 species as entered on checklist (Clements 2024)
Indicatoridae sp.,Unid. Honeyguide,Indicatoridae sp.,honeyguide sp.,NA
Pinarornis plumosus,Boulder Chat,Pinarornis plumosus,Boulder Chat,L0 species as entered on checklist (Clements 2024)
Cossypha sp.,Unid. Cossypha Robin-Chat,Cossypha sp.,robin-chat sp.,NA
Bocagia minuta,Marsh Tchagra,Bocagia minuta,Marsh Tchagra,L0 species as entered on checklist (Clements 2024)
Dicrurus hottentottus leucops,White-Eyed Hair-Crested Drongo,Dicrurus hottentottus leucops,,L0 species as entered on checklist (Clements 2024)
Lanius humeralis,Northern Fiscal,Lanius humeralis,Northern Fiscal,L0 species as entered on checklist (Clements 2024)
Lanius corvinus,Yellow-Billed Shrike,Corvinella corvina,Yellow-billed Shrike,high confidence common name fuzzy match (Clements 2024)  1
Lamprotornis sp.,Unid. Lamprotornis Glossy-Starling,Lamprotornis sp.,Lamprotornis sp.,NA
Turdus libonyanus,Kurrichane Thrush,Turdus libonyana,Kurrichane Thrush,high confidence common name fuzzy match (Clements 2024)  1
Horornis flavolivaceus vulcanius,Sunda Bush Warbler,Horornis flavolivaceus vulcanius,,L0 species as entered on checklist (Clements 2024)
Phylloscopus chloronotus,Lemon-Rumped Warbler,Phylloscopus chloronotus,Lemon-rumped Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus inornatus,Inornate Warbler,Phylloscopus inornatus,Yellow-browed Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus trochiloides,Greenish Warbler,Phylloscopus trochiloides,Greenish Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus trivirgatus,Mountain Leaf Warbler,Phylloscopus trivirgatus,Mountain Leaf Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus whistleri,Whistler's Warbler,Phylloscopus whistleri,Whistler's Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus soror,Alström's Warbler,Phylloscopus soror,Alström's Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus tephrocephalus,Gray-Crowned Warbler,Phylloscopus tephrocephalus,Gray-crowned Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus intermedius,White-Spectacled Warbler,Phylloscopus intermedius,White-spectacled Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus montis,Yellow-Breasted Warbler,Phylloscopus montis,Yellow-breasted Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus grammiceps,Sunda Warbler,Phylloscopus grammiceps,Sunda Warbler,L0 species as entered on checklist (Clements 2024)
Phylloscopus presbytes,Timor Leaf Warbler,Phylloscopus presbytes,Timor Leaf Warbler,L0 species as entered on checklist (Clements 2024)
Eurylaimus ochromalus,Black-And-Yellow Broadbill,Eurylaimus ochromalus,Black-and-yellow Broadbill,L0 species as entered on checklist (Clements 2024)
Dicrurus macrocercus,Black Drongo,Dicrurus macrocercus,Black Drongo,L0 species as entered on checklist (Clements 2024)
Dicrurus paradiseus,Greater Racket-Tailed Drongo,Dicrurus paradiseus,Greater Racket-tailed Drongo,L0 species as entered on checklist (Clements 2024)
