scientific_name.raw,common_name.raw,scientific_name.edit,common_name.edit,edit_notes
Tringa semipalmata,Willet,Tringa semipalmata,Willet,L0 species as entered on checklist (Clements 2024)
Tringa nebularia,Common Greenshank,Tringa nebularia,Common Greenshank,L0 species as entered on checklist (Clements 2024)
Tringa semipalmata semipalmata,Eastern Willet,Tringa semipalmata semipalmata,Willet (Eastern),L0 species as entered on checklist (Clements 2024)
Tringa solitaria,Solitary Sandpiper,Tringa solitaria,Solitary Sandpiper,L0 species as entered on checklist (Clements 2024)
Tringa totanus totanus,Common Redshank,Tringa totanus totanus,,L0 species as entered on checklist (Clements 2024)
Vanellus vanellus,Northern Lapwing,Vanellus vanellus,Northern Lapwing,L0 species as entered on checklist (Clements 2024)
Troglodytes hiemalis,Winter Wren,Troglodytes hiemalis,Winter Wren,L0 species as entered on checklist (Clements 2024)
Troglodytes troglodytes,Eurasian Wren,Troglodytes troglodytes,Eurasian Wren,L0 species as entered on checklist (Clements 2024)
Troglodytes pacificus,Pacific Wren,Troglodytes pacificus,Pacific Wren,L0 species as entered on checklist (Clements 2024)
Trogon elegans,Elegant Trogon,Trogon elegans,Elegant Trogon,L0 species as entered on checklist (Clements 2024)
Turdus pilaris,Fieldfare,Turdus pilaris,Fieldfare,L0 species as entered on checklist (Clements 2024)
Tympanuchus cupido,Greater Prairie-Chicken,Tympanuchus cupido,Greater Prairie-Chicken,L0 species as entered on checklist (Clements 2024)
Tympanuchus pallidicinctus,Lesser Prairie-Chicken,Tympanuchus pallidicinctus,Lesser Prairie-Chicken,L0 species as entered on checklist (Clements 2024)
Tympanuchus phasianellus,Sharp-Tailed Grouse,Tympanuchus phasianellus,Sharp-tailed Grouse,L0 species as entered on checklist (Clements 2024)
Pyrocephalus rubinus,Vermillion Flycatcher,Pyrocephalus rubinus,Vermilion Flycatcher,L0 species as entered on checklist (Clements 2024)
Periporphyrus celaeno,Crimson-Collared Grosbeak,Periporphyrus celaeno,Crimson-collared Grosbeak,L0 species as entered on checklist (Clements 2024)
Tyrannus vociferans,Cassin's Kingbird,Tyrannus vociferans,Cassin's Kingbird,L0 species as entered on checklist (Clements 2024)
Columbina passerina,Common Ground-Dove,Columbina passerina,Common Ground Dove,L0 species as entered on checklist (Clements 2024)
Stilpnia larvata,Golden-Hooded Tanager,Stilpnia larvata,Golden-hooded Tanager,L0 species as entered on checklist (Clements 2024)
Tyrannus couchi,Couch's Kingbird,Tyrannus couchii,Couch's Kingbird,high confidence str match to checklist (Clements 2024)  0.979
Tyrannus savana,Fork-Tailed Flycatcher,Tyrannus savana,Fork-tailed Flycatcher,L0 species as entered on checklist (Clements 2024)
Tyrannus vociferans,Cassin's Flycatcher,Tyrannus vociferans,Cassin's Kingbird,L0 species as entered on checklist (Clements 2024)
Troglodytes aedon,Northern House Wren,Troglodytes aedon,Northern House Wren,L0 species as entered on checklist (Clements 2024)
