scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Alectoris chukar,Chukar,Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,2882,Chukar,Galliformes,Phasianidae,Alectoris chukar,yes,Chukar,Alectoris chukar,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Alectoris chukar,Chukar,CONUS & Canada,Galliformes,Phasianidae,12/5/2022,yes,yes,NA
Alopochen aegyptiaca,Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,AFR; ASI; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; US48,yes,20630,Egyptian Goose,Anseriformes,Anatidae,Alopochen aegyptiaca,yes,Egyptian Goose,Alopochen aegyptiaca,"Nile Valley of Egypt and Sudan, and sub-Saharan Africa; introduced to western and central Europe, and southeastern USA","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Alopochen aegyptiaca,Egyptian Goose,CONUS & Canada,Anseriformes,Anatidae,11/10/2023,yes,yes,NA
Amazilia yucatanensis,Buff-bellied Hummingbird,Buff-bellied Hummingbird,Amazilia yucatanensis,NA,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia yucatanensis,yes,Buff-bellied Hummingbird,Amazilia yucatanensis,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Amazilia yucatanensis,Buff-bellied Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes,yes,NA
Amazona viridigenalis,Red-crowned Amazon; Red-crowned Parrot,Red-crowned Amazon,Amazona viridigenalis,Introduced species Endangered,PSITTACIFORMES,Psittacidae,CAM; CAR; hol; NAM; nea; US48; UShi,yes,3826,Red-crowned Parrot,Psittaciformes,Psittacidae,Amazona viridigenalis,yes,Red-crowned Amazon,Amazona viridigenalis,lowlands of northeastern Mexico (Nuevo León to northern Veracruz),Psittacidae (New World and African Parrots),Psittaciformes,yes,Amazona viridigenalis,Red-crowned Parrot,CONUS & Canada,Psittaciformes,Psittacidae,2/10/2023,yes,yes,NA
Ammodramus savannarum,Grasshopper Sparrow,Grasshopper Sparrow,Ammodramus savannarum,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,5460,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus savannarum,yes,Grasshopper Sparrow,Ammodramus savannarum,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammodramus savannarum,Grasshopper Sparrow,CONUS & Canada,Passeriformes,Passerellidae,9/18/23,yes,yes,NA
Ammospiza caudacuta,Saltmarsh Sparrow,Saltmarsh Sparrow,Ammospiza caudacuta,Endangered,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,5490,Saltmarsh Sparrow,Passeriformes,Passerellidae,Ammospiza caudacuta,yes,Saltmarsh Sparrow,Ammospiza caudacuta,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza caudacuta,Saltmarsh Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/24/2023 - 3/27/2023,yes,yes,NA
Ammospiza leconteii,LeConte's Sparrow,LeConte's Sparrow,Ammospiza leconteii,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,5480,LeConte's Sparrow,Passeriformes,Passerellidae,Ammospiza leconteii,yes,LeConte's Sparrow,Ammospiza leconteii,prairies of central North America; winters to Gulf States,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza leconteii,LeConte's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,11/6/2023,yes,yes,NA
Ammospiza maritima,Seaside Sparrow,Seaside Sparrow,Ammospiza maritima,Endemic,PASSERIFORMES,Passerellidae,CA; CAM; hol; NAM; nea; US48,yes,5500,Seaside Sparrow,Passeriformes,Passerellidae,Ammospiza maritima,yes,Seaside Sparrow,Ammospiza maritima,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza maritima,Seaside Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/10/2023,yes,yes,NA
Ammospiza nelsoni,Nelson's Sparrow,Nelson's Sparrow,Ammospiza nelsoni,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,5491,Nelson's Sparrow,Passeriformes,Passerellidae,Ammospiza nelsoni,yes,Nelson's Sparrow,Ammospiza nelsoni,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza nelsoni,Nelson's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/10/2023,yes,yes,NA
Amphispiza bilineata,Black-throated Sparrow,Black-throated Sparrow,Amphispiza bilineata,NA,PASSERIFORMES,Passerellidae,CA; CAM; hol; NAM; nea; SAM; US48,yes,5730,Black-throated Sparrow,Passeriformes,Passerellidae,Amphispiza bilineata,yes,Black-throated Sparrow,Amphispiza bilineata,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Amphispiza bilineata,Black-throated Sparrow,CONUS & Canada,Passeriformes,Passerellidae,11/9/2022-11/16/2022,yes,yes,NA
Anarhynchus montanus; Charadrius montanus,Mountain Plover,Mountain Plover,Anarhynchus montanus,Near-threatened,CHARADRIIFORMES,Charadriidae,CA; CAM; hol; NAM; nea; US48,yes,2810,Mountain Plover,Charadriiformes,Charadriidae,Charadrius montanus,yes,Mountain Plover,Anarhynchus montanus,Great Plains of western Canada to southwestern USA; winters to northern Mexico,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius montanus,Mountain Plover,CONUS & Canada,Charadriiformes,Charadriidae,12/20/2022 - 12/21/2022,yes,yes,NA
