scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data,ca.conus.rejection
Lanius ludovicianus,Loggerhead Shrike,Loggerhead Shrike,Lanius ludovicianus,Near-threatened,PASSERIFORMES,Laniidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,6220,Loggerhead Shrike,Passeriformes,Laniidae,Lanius ludovicianus,yes,Loggerhead Shrike,Lanius ludovicianus,NA,Laniidae (Shrikes),Passeriformes,yes,Lanius ludovicianus,Loggerhead Shrike,CONUS & Canada,Passeriformes,Laniidae,4/2/2019; checked 9/27/2022,yes,yes,NA
Larinae sp.; Gull sp.,gull sp.; unid. gull,NA,NA,NA,NA,NA,NA,no,534,unid. gull,Charadriiformes,Laridae,Gull sp.,yes,gull sp.,Larinae sp.,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Gull sp.,unid. gull,CONUS & Canada,Charadriiformes,Laridae,N/A; unidentified species,yes,yes,NA
Larus argentatus,European Herring Gull; Herring Gull,European Herring Gull,Larus argentatus,Rare/Accidental,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAR; EUR; hol; MID; NAM; nea; pal; US48,yes,510,Herring Gull,Charadriiformes,Laridae,Larus argentatus,yes,European Herring Gull,Larus argentatus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus argentatus,Herring Gull,CONUS & Canada,Charadriiformes,Laridae,1/19/2023-1/26/2023,yes,yes,NA
Larus brachyrhynchus,Short-billed Gull,Short-billed Gull,Larus brachyrhynchus,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; EUR; hol; NAM; nea; pal; US48; USak; UShi,yes,550,Short-billed Gull,Charadriiformes,Laridae,Larus brachyrhynchus,yes,Short-billed Gull,Larus brachyrhynchus,Alaska to British Columbia and Saskatchewan; winters to California,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus brachyrhynchus,Short-billed Gull,CONUS & Canada,Charadriiformes,Laridae,12/6/2023,yes,yes,NA
Larus californicus,California Gull,California Gull,Larus californicus,NA,CHARADRIIFORMES,Laridae,ASI; CA; CAM; CAR; hol; NAM; nea; OCE; PAC; SAM; US48; USak; UShi; XX,yes,530,California Gull,Charadriiformes,Laridae,Larus californicus,yes,California Gull,Larus californicus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus californicus,California Gull,CONUS & Canada,Charadriiformes,Laridae,1/19/2023,yes,yes,NA
Larus delawarensis,Ring-billed Gull,Ring-billed Gull,Larus delawarensis,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,540,Ring-billed Gull,Charadriiformes,Laridae,Larus delawarensis,yes,Ring-billed Gull,Larus delawarensis,"North America; winters to southern Mexico, Bahamas, and Greater Antilles","Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus delawarensis,Ring-billed Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023,yes,yes,NA
Larus fuscus,Lesser Black-backed Gull,Lesser Black-backed Gull,Larus fuscus,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,500,Lesser Black-backed Gull,Charadriiformes,Laridae,Larus fuscus,yes,Lesser Black-backed Gull,Larus fuscus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus fuscus,Lesser Black-backed Gull,CONUS & Canada,Charadriiformes,Laridae,10/11/2023,yes,yes,NA
Larus glaucescens,Glaucous-winged Gull,Glaucous-winged Gull,Larus glaucescens,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,440,Glaucous-winged Gull,Charadriiformes,Laridae,Larus glaucescens,yes,Glaucous-winged Gull,Larus glaucescens,Bering Sea to northwestern Oregon; winters to Japan and northwestern Mexico,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus glaucescens,Glaucous-winged Gull,CONUS & Canada,Charadriiformes,Laridae,1/20/2023,yes,yes,NA
Larus glaucoides,Iceland Gull,Iceland Gull,Larus glaucoides,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; XX,yes,430,Iceland Gull,Charadriiformes,Laridae,Larus glaucoides,yes,Iceland Gull,Larus glaucoides,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus glaucoides,Iceland Gull,CONUS & Canada,Charadriiformes,Laridae,1/20/2023,yes,yes,NA
Larus heermanni,Heermann's Gull,Heermann's Gull,Larus heermanni,Near-threatened,CHARADRIIFORMES,Laridae,CA; CAM; hol; NAM; nea; US48; USak,yes,570,Heermann's Gull,Charadriiformes,Laridae,Larus heermanni,yes,Heermann's Gull,Larus heermanni,coastal western Mexico; winters British Columbia to Guatemala,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus heermanni,Heermann's Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023,yes,yes,NA
Larus hyperboreus,Glaucous Gull,Glaucous Gull,Larus hyperboreus,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,420,Glaucous Gull,Charadriiformes,Laridae,Larus hyperboreus,yes,Glaucous Gull,Larus hyperboreus,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus hyperboreus,Glaucous Gull,CONUS & Canada,Charadriiformes,Laridae,1/20/2023,yes,yes,NA
Larus marinus,Great Black-backed Gull,Great Black-backed Gull,Larus marinus,NA,CHARADRIIFORMES,Laridae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,470,Great Black-backed Gull,Charadriiformes,Laridae,Larus marinus,yes,Great Black-backed Gull,Larus marinus,Palearctic and northeastern North America; winters to West Indies and Iberian Peninsula,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus marinus,Great Black-backed Gull,CONUS & Canada,Charadriiformes,Laridae,1/20/2023 - 1/23/2022,yes,yes,NA
Larus occidentalis,Western Gull,Western Gull,Larus occidentalis,NA,CHARADRIIFORMES,Laridae,ASI; CA; CAM; hol; NAM; nea; OCE; PAC; US48; USak; UShi; XX,yes,490,Western Gull,Charadriiformes,Laridae,Larus occidentalis,yes,Western Gull,Larus occidentalis,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus occidentalis,Western Gull,CONUS & Canada,Charadriiformes,Laridae,1/19/2023,yes,yes,NA
Larus occidentalis x glaucescens,Western x Glaucous-winged Gull (hybrid); hybrid Western Gull x Glaucous-winged Gull,NA,NA,NA,NA,NA,NA,no,495,hybrid Western Gull x Glaucous-winged Gull,Charadriiformes,Laridae,Larus occidentalis x glaucescens,yes,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus occidentalis x glaucescens,hybrid Western Gull x Glaucous-winged Gull,CONUS & Canada,Charadriiformes,Laridae,N/A; hybrid species,yes,yes,NA
Larus schistisagus,Slaty-backed Gull,Slaty-backed Gull,Larus schistisagus,Rare/Accidental,CHARADRIIFORMES,Laridae,ASI; AUS; CA; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,480,Slaty-backed Gull,Charadriiformes,Laridae,Larus schistisagus,yes,Slaty-backed Gull,Larus schistisagus,breeds northeastern Siberia to Japan; winters southward to Taiwan,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Larus schistisagus,Slaty-backed Gull,CONUS & Canada,Charadriiformes,Laridae,10/11/2023-10/12/2023,yes,yes,NA
Laterallus jamaicensis,Black Rail,Black Rail,Laterallus jamaicensis,NA,GRUIFORMES,Rallidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,2160,Black Rail,Gruiformes,Rallidae,Laterallus jamaicensis,yes,Black Rail,Laterallus jamaicensis,NA,"Rallidae (Rails, Gallinules, and Coots)",Gruiformes,yes,Laterallus jamaicensis,Black Rail,CONUS & Canada,Gruiformes,Rallidae,12/15/2022,yes,yes,NA
Leiothlypis celata,Orange-crowned Warbler,Orange-crowned Warbler,Leiothlypis celata,NA,PASSERIFORMES,Parulidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nea; pal; US48; USak,yes,6460,Orange-crowned Warbler,Passeriformes,Parulidae,Leiothlypis celata,yes,Orange-crowned Warbler,Leiothlypis celata,NA,Parulidae (New World Warblers),Passeriformes,yes,Leiothlypis celata,Orange-crowned Warbler,CONUS & Canada,Passeriformes,Parulidae,9/1/2022,yes,yes,NA
Leiothlypis luciae,Lucy's Warbler,Lucy's Warbler,Leiothlypis luciae,NA,PASSERIFORMES,Parulidae,CA; CAM; hol; NAM; nea; US48; USak,yes,6430,Lucy's Warbler,Passeriformes,Parulidae,Leiothlypis luciae,yes,Lucy's Warbler,Leiothlypis luciae,arid southwestern USA to northeastern Baja California and northeastern Sonora; winters to southwestern Mexico,Parulidae (New World Warblers),Passeriformes,yes,Leiothlypis luciae,Lucy's Warbler,CONUS & Canada,Passeriformes,Parulidae,4/4/2019; checked 9/2/2022,yes,yes,NA
Leiothlypis peregrina,Tennessee Warbler,Tennessee Warbler,Leiothlypis peregrina,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak; XX,yes,6470,Tennessee Warbler,Passeriformes,Parulidae,Leiothlypis peregrina,yes,Tennessee Warbler,Leiothlypis peregrina,southeastern Alaska and southern Yukon to northern USA; winters southern Mexico to northwestern South America,Parulidae (New World Warblers),Passeriformes,yes,Leiothlypis peregrina,Tennessee Warbler,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes,yes,NA
Leiothlypis ruficapilla,Nashville Warbler,Nashville Warbler,Leiothlypis ruficapilla,NA,PASSERIFORMES,Parulidae,CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; XX,yes,6450,Nashville Warbler,Passeriformes,Parulidae,Leiothlypis ruficapilla,yes,Nashville Warbler,Leiothlypis ruficapilla,NA,Parulidae (New World Warblers),Passeriformes,yes,Leiothlypis ruficapilla,Nashville Warbler,CONUS & Canada,Passeriformes,Parulidae,9/2/2022,yes,yes,NA
Leiothlypis virginiae,Virginia's Warbler,Virginia's Warbler,Leiothlypis virginiae,Breeding endemic,PASSERIFORMES,Parulidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,6440,Virginia's Warbler,Passeriformes,Parulidae,Leiothlypis virginiae,yes,Virginia's Warbler,Leiothlypis virginiae,mountains of southwestern USA; winters to southwestern Mexico,Parulidae (New World Warblers),Passeriformes,yes,Leiothlypis virginiae,Virginia's Warbler,CONUS & Canada,Passeriformes,Parulidae,3/20/2023,yes,yes,NA
Leptotila verreauxi,White-tipped Dove,White-tipped Dove,Leptotila verreauxi,NA,COLUMBIFORMES,Columbidae,CAM; hol; NAM; nan; nea; SAM; TT; US48,yes,3180,White-tipped Dove,Columbiformes,Columbidae,Leptotila verreauxi,yes,White-tipped Dove,Leptotila verreauxi,NA,Columbidae (Pigeons and Doves),Columbiformes,yes,Leptotila verreauxi,White-tipped Dove,CONUS & Canada,Columbiformes,Columbidae,11/15/2023,yes,yes,NA
Leucophaeus atricilla,Laughing Gull,Laughing Gull,Leucophaeus atricilla,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,580,Laughing Gull,Charadriiformes,Laridae,Leucophaeus atricilla,yes,Laughing Gull,Leucophaeus atricilla,NA,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Leucophaeus atricilla,Laughing Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023,yes,yes,NA
Leucophaeus pipixcan,Franklin's Gull,Franklin's Gull,Leucophaeus pipixcan,NA,CHARADRIIFORMES,Laridae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,590,Franklin's Gull,Charadriiformes,Laridae,Leucophaeus pipixcan,yes,Franklin's Gull,Leucophaeus pipixcan,west-central North America; winters Pacific coast of South America,"Laridae (Gulls, Terns, and Skimmers)",Charadriiformes,yes,Leucophaeus pipixcan,Franklin's Gull,CONUS & Canada,Charadriiformes,Laridae,1/17/2023-1/19/2023,yes,yes,NA
Leucosticte atrata,Black Rosy-Finch,Black Rosy-Finch,Leucosticte atrata,Endemic Endangered,PASSERIFORMES,Fringillidae,hol; NAM; nea; US48,yes,5250,Black Rosy-Finch,Passeriformes,Fringillidae,Leucosticte atrata,yes,Black Rosy-Finch,Leucosticte atrata,mountains of Idaho and Montana to Nevada and Utah; winters to Arizona,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Leucosticte atrata,Black Rosy-Finch,CONUS & Canada,Passeriformes,Fringillidae,3/3/2023,yes,yes,NA
Leucosticte australis,Brown-capped Rosy-Finch,Brown-capped Rosy-Finch,Leucosticte australis,Endemic Endangered,PASSERIFORMES,Fringillidae,hol; NAM; nea; US48,yes,5260,Brown-capped Rosy-Finch,Passeriformes,Fringillidae,Leucosticte australis,yes,Brown-capped Rosy-Finch,Leucosticte australis,"mountains of southeastern Wyoming, Colorado, and north-central New Mexico","Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Leucosticte australis,Brown-capped Rosy-Finch,CONUS & Canada,Passeriformes,Fringillidae,10/27/23-10/30/23,yes,yes,NA
Leucosticte tephrocotis,Gray-crowned Rosy-Finch,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,NA,PASSERIFORMES,Fringillidae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,5240,Gray-crowned Rosy-Finch,Passeriformes,Fringillidae,Leucosticte tephrocotis,yes,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,CONUS & Canada,Passeriformes,Fringillidae,3/3/2023,yes,yes,NA
Limnodromus griseus,Short-billed Dowitcher,Short-billed Dowitcher,Limnodromus griseus,Vulnerable,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2310,Short-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus griseus,yes,Short-billed Dowitcher,Limnodromus griseus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limnodromus griseus,Short-billed Dowitcher,CONUS & Canada,Charadriiformes,Scolopacidae,10/6/2023-10/11/2023,yes,yes,NA
Limnodromus griseus/scolopaceus,Short-billed/Long-billed Dowitcher; unid. Short-billed/Long-billed Dowitcher,NA,NA,NA,NA,NA,NA,no,2327,unid. Short-billed / Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus griseus / scolopaceus,yes,Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limnodromus griseus / scolopaceus,unid. Short-billed / Long-billed Dowitcher,CONUS & Canada,Charadriiformes,Scolopacidae,N/A; unidentified species,yes,yes,NA
Limnodromus scolopaceus,Long-billed Dowitcher,Long-billed Dowitcher,Limnodromus scolopaceus,Near-threatened,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,2320,Long-billed Dowitcher,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,yes,Long-billed Dowitcher,Limnodromus scolopaceus,breeds Siberia and Alaska; winters southern USA to Panama,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limnodromus scolopaceus,Long-billed Dowitcher,CONUS & Canada,Charadriiformes,Scolopacidae,10/9/2023-10/13/2023,yes,yes,NA
Limnothlypis swainsonii,Swainson's Warbler,Swainson's Warbler,Limnothlypis swainsonii,Breeding endemic,PASSERIFORMES,Parulidae,CA; CAM; CAR; hol; NAM; nea; SAM; US48,yes,6380,Swainson's Warbler,Passeriformes,Parulidae,Limnothlypis swainsonii,yes,Swainson's Warbler,Limnothlypis swainsonii,southeastern USA; winters southeastern Mexico and Belize to Guatemala and West Indies,Parulidae (New World Warblers),Passeriformes,yes,Limnothlypis swainsonii,Swainson's Warbler,CONUS & Canada,Passeriformes,Parulidae,3/17/2023,yes,yes,NA
Limosa fedoa,Marbled Godwit,Marbled Godwit,Limosa fedoa,Vulnerable,CHARADRIIFORMES,Scolopacidae,CA; CAM; CAR; hol; NAM; nan; nea; OCE; PAC; SAM; TT; US48; USak; UShi,yes,2490,Marbled Godwit,Charadriiformes,Scolopacidae,Limosa fedoa,yes,Marbled Godwit,Limosa fedoa,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limosa fedoa,Marbled Godwit,CONUS & Canada,Charadriiformes,Scolopacidae,9/29/2023-10/4/2023,yes,yes,NA
Limosa haemastica,Hudsonian Godwit,Hudsonian Godwit,Limosa haemastica,Vulnerable,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,2510,Hudsonian Godwit,Charadriiformes,Scolopacidae,Limosa haemastica,yes,Hudsonian Godwit,Limosa haemastica,"breeds locally in Alaska and northern Canada (east to Hudson Bay); winters in southern South America (Argentina and south-central Chile), southward to Tierra del Fuego",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limosa haemastica,Hudsonian Godwit,CONUS & Canada,Charadriiformes,Scolopacidae,1/3/2023,yes,yes,NA
Limosa lapponica,Bar-tailed Godwit,Bar-tailed Godwit,Limosa lapponica,Rare/Accidental Near-threatened,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi; XX,yes,2500,Bar-tailed Godwit,Charadriiformes,Scolopacidae,Limosa lapponica,yes,Bar-tailed Godwit,Limosa lapponica,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Limosa lapponica,Bar-tailed Godwit,CONUS & Canada,Charadriiformes,Scolopacidae,12/22/2022,yes,yes,NA
Lonchura punctulata,Scaly-breasted Munia,Scaly-breasted Munia,Lonchura punctulata,Introduced species,PASSERIFORMES,Estrildidae,AFR; ASI; AUS; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,8110,Scaly-breasted Munia,Passeriformes,Estrildidae,Lonchura punctulata,yes,Scaly-breasted Munia,Lonchura punctulata,NA,Estrildidae (Waxbills and Allies),Passeriformes,yes,Lonchura punctulata,Scaly-breasted Munia,CONUS & Canada,Passeriformes,Estrildidae,9/15/23,yes,yes,NA
Lophodytes cucullatus,Hooded Merganser,Hooded Merganser,Lophodytes cucullatus,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nea; OCE; PAC; pal; US48; USak; UShi,yes,1310,Hooded Merganser,Anseriformes,Anatidae,Lophodytes cucullatus,yes,Hooded Merganser,Lophodytes cucullatus,breeds northern North America; winters to Mexico and West Indies,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Lophodytes cucullatus,Hooded Merganser,CONUS & Canada,Anseriformes,Anatidae,4/3/22,yes,yes,NA
Loxia curvirostra,Red Crossbill,Red Crossbill,Loxia curvirostra,NA,PASSERIFORMES,Fringillidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,5210,Red Crossbill,Passeriformes,Fringillidae,Loxia curvirostra,yes,Red Crossbill,Loxia curvirostra,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Loxia curvirostra,Red Crossbill,CONUS & Canada,Passeriformes,Fringillidae,8/30/2022,yes,yes,NA
Loxia curvirostra/sinesciuris; Loxia sinesciuris/curvirostra,Red/Cassia Crossbill; Unid. Cassia Crossbill/Red Crossbill; unid. Cassia Crossbill/Red Crossbill,NA,NA,NA,NA,NA,NA,no,5212,unid. Cassia Crossbill / Red Crossbill,Passeriformes,Fringillidae,Loxia sinesciuris / curvirostra,yes,Red/Cassia Crossbill,Loxia curvirostra/sinesciuris,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Loxia sinesciuris / curvirostra,Unid. Cassia Crossbill / Red Crossbill,CONUS & Canada,Passeriformes,Fringillidae,N/A; unidentified species,yes,yes,NA
Loxia leucoptera,White-winged Crossbill,White-winged Crossbill,Loxia leucoptera,NA,PASSERIFORMES,Fringillidae,ASI; CA; EUR; hol; NAM; nea; pal; US48; USak,yes,5220,White-winged Crossbill,Passeriformes,Fringillidae,Loxia leucoptera,yes,White-winged Crossbill,Loxia leucoptera,NA,"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Loxia leucoptera,White-winged Crossbill,CONUS & Canada,Passeriformes,Fringillidae,3/3/2023,yes,yes,NA
Loxia sinesciuris,Cassia Crossbill,Cassia Crossbill,Loxia sinesciuris,Endemic,PASSERIFORMES,Fringillidae,hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Cassia Crossbill,Loxia sinesciuris,South Hills and Albion Mountains of south-central Idaho (northwestern USA),"Fringillidae (Finches, Euphonias, and Allies)",Passeriformes,yes,Loxia sinesciuris,Cassia Crossbill,CONUS & Canada,Passeriformes,Fringillidae,8/28/2024,yes,yes,NA
Luscinia svecica; Cyanecula svecica,Bluethroat,Bluethroat,Luscinia svecica,Rare/Accidental,PASSERIFORMES,Muscicapidae,AFR; ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,7640,Bluethroat,Passeriformes,Muscicapidae,Cyanecula svecica,yes,Bluethroat,Luscinia svecica,NA,Muscicapidae (Old World Flycatchers),Passeriformes,yes,Cyanecula svecica,Bluethroat,CONUS & Canada,Passeriformes,Muscicapidae,11/13/2023,yes,yes,NA
Mareca americana,American Wigeon,American Wigeon,Mareca americana,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1370,American Wigeon,Anseriformes,Anatidae,Mareca americana,yes,American Wigeon,Mareca americana,breeds Alaska to southern USA; winters through Central America and the Caribbean,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Mareca americana,American Wigeon,CONUS & Canada,Anseriformes,Anatidae,11/25/2022,yes,yes,NA
Mareca penelope,Eurasian Wigeon,Eurasian Wigeon,Mareca penelope,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,1360,Eurasian Wigeon,Anseriformes,Anatidae,Mareca penelope,yes,Eurasian Wigeon,Mareca penelope,breeds northern and central Eurasia; winters to northern Africa and southern Asia,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Mareca penelope,Eurasian Wigeon,CONUS & Canada,Anseriformes,Anatidae,11/10/2023-11/14/2023,yes,yes,NA
Mareca strepera,Gadwall,Gadwall,Mareca strepera,NA,ANSERIFORMES,Anatidae,AFR; ASI; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; PAC; pal; SAM; US48; USak; UShi,yes,1350,Gadwall,Anseriformes,Anatidae,Mareca strepera,yes,Gadwall,Mareca strepera,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Mareca strepera,Gadwall,CONUS & Canada,Anseriformes,Anatidae,11/25/2022,yes,yes,NA
Megaceryle alcyon,Belted Kingfisher,Belted Kingfisher,Megaceryle alcyon,NA,CORACIIFORMES,Alcedinidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi,yes,3900,Belted Kingfisher,Coraciiformes,Alcedinidae,Megaceryle alcyon,yes,Belted Kingfisher,Megaceryle alcyon,central and eastern Canada to northern South America including Trinidad and Tobago and West Indies,Alcedinidae (Kingfishers),Coraciiformes,yes,Megaceryle alcyon,Belted Kingfisher,CONUS & Canada,Coraciiformes,Alcedinidae,5/4/2022,yes,yes,NA
Megaceryle torquata,Ringed Kingfisher,Ringed Kingfisher,Megaceryle torquata,NA,CORACIIFORMES,Alcedinidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,3901,Ringed Kingfisher,Coraciiformes,Alcedinidae,Megaceryle torquata,yes,Ringed Kingfisher,Megaceryle torquata,NA,Alcedinidae (Kingfishers),Coraciiformes,yes,Megaceryle torquata,Ringed Kingfisher,CONUS & Canada,Coraciiformes,Alcedinidae,10/31/2023,yes,yes,NA
Megascops asio,Eastern Screech-Owl,Eastern Screech-Owl,Megascops asio,NA,STRIGIFORMES,Strigidae,CA; CAM; hol; NAM; nea; US48,yes,3730,Eastern Screech-Owl,Strigiformes,Strigidae,Megascops asio,yes,Eastern Screech-Owl,Megascops asio,NA,Strigidae (Owls),Strigiformes,yes,Megascops asio,Eastern Screech-Owl,CONUS & Canada,Strigiformes,Strigidae,4/11/2022,yes,yes,NA
Megascops kennicottii,Western Screech-Owl,Western Screech-Owl,Megascops kennicottii,NA,STRIGIFORMES,Strigidae,CA; CAM; hol; NAM; nea; US48; USak,yes,3732,Western Screech-Owl,Strigiformes,Strigidae,Megascops kennicottii,yes,Western Screech-Owl,Megascops kennicottii,NA,Strigidae (Owls),Strigiformes,yes,Megascops kennicottii,Western Screech-Owl,CONUS & Canada,Strigiformes,Strigidae,4/25/2019; checked 7/8/2022,yes,yes,NA
Megascops trichopsis,Whiskered Screech-Owl,Whiskered Screech-Owl,Megascops trichopsis,NA,STRIGIFORMES,Strigidae,CAM; hol; NAM; nea; US48,yes,3731,Whiskered Screech-Owl,Strigiformes,Strigidae,Megascops trichopsis,yes,Whiskered Screech-Owl,Megascops trichopsis,NA,Strigidae (Owls),Strigiformes,yes,Megascops trichopsis,Whiskered Screech-Owl,CONUS & Canada,Strigiformes,Strigidae,4/13/2022,yes,yes,NA
Melanerpes aurifrons,Golden-fronted Woodpecker,Golden-fronted Woodpecker,Melanerpes aurifrons,NA,PICIFORMES,Picidae,CAM; hol; NAM; nea; US48,yes,4100,Golden-fronted Woodpecker,Piciformes,Picidae,Melanerpes aurifrons,yes,Golden-fronted Woodpecker,Melanerpes aurifrons,NA,Picidae (Woodpeckers),Piciformes,yes,Melanerpes aurifrons,Golden-fronted Woodpecker,CONUS & Canada,Piciformes,Picidae,2/3/2022; 4/6/2023-4/11/2023,yes,yes,NA
