scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist
Aechmophorus clarkii,Clark's Grebe,Clark's Grebe,Aechmophorus clarkii,NA,PODICIPEDIFORMES,Podicipedidae,CA; CAM; hol; NAM; nea; US48,yes,11,Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus clarkii,yes,Clark's Grebe,Aechmophorus clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus clarkii,Clark's Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,11/14/2023-11/15/2023,yes
Aechmophorus occidentalis,Western Grebe,Western Grebe,Aechmophorus occidentalis,NA,PODICIPEDIFORMES,Podicipedidae,CA; CAM; hol; NAM; nea; US48; USak,yes,10,Western Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis,yes,Western Grebe,Aechmophorus occidentalis,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus occidentalis,Western Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,9/28/2023-10/4/2023,yes
Aechmophorus occidentalis/clarkii,Western/Clark's Grebe; unid. Western Grebe/Clark's Grebe,NA,NA,NA,NA,NA,NA,no,12,unid. Western Grebe / Clark's Grebe,Podicipediformes,Podicipedidae,Aechmophorus occidentalis / clarkii,yes,Western/Clark's Grebe,Aechmophorus occidentalis/clarkii,NA,Podicipedidae (Grebes),Podicipediformes,yes,Aechmophorus occidentalis / clarkii,unid. Western Grebe / Clark's Grebe,CONUS & Canada,Podicipediformes,Podicipedidae,N/A; unidentified species,yes
Aegolius acadicus,Northern Saw-whet Owl,Northern Saw-whet Owl,Aegolius acadicus,NA,STRIGIFORMES,Strigidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,3720,Northern Saw-whet Owl,Strigiformes,Strigidae,Aegolius acadicus,yes,Northern Saw-whet Owl,Aegolius acadicus,NA,Strigidae (Owls),Strigiformes,yes,Aegolius acadicus,Northern Saw-whet Owl,CONUS & Canada,Strigiformes,Strigidae,3/16/2022,yes
Aegolius funereus,Boreal Owl,Boreal Owl,Aegolius funereus,NA,STRIGIFORMES,Strigidae,ASI; CA; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,3710,Boreal Owl,Strigiformes,Strigidae,Aegolius funereus,yes,Boreal Owl,Aegolius funereus,NA,Strigidae (Owls),Strigiformes,yes,Aegolius funereus,Boreal Owl,CONUS & Canada,Strigiformes,Strigidae,11/23/2021,yes
Aeronautes saxatalis,White-throated Swift,White-throated Swift,Aeronautes saxatalis,NA,APODIFORMES,Apodidae,CA; CAM; hol; NAM; nea; US48,yes,4250,White-throated Swift,Apodiformes,Apodidae,Aeronautes saxatalis,yes,White-throated Swift,Aeronautes saxatalis,NA,Apodidae (Swifts),Apodiformes,yes,Aeronautes saxatalis,White-throated Swift,CONUS & Canada,Apodiformes,Apodidae,12/14/2022,yes
Aerospiza/Tachyspiza/Accipiter/Astur sp.; Accipiter sp.,Accipitrine hawk sp. (former Accipiter sp.); unid. Accipiter hawk,NA,NA,NA,NA,NA,NA,no,3333,unid. Accipiter hawk,Accipitriformes,Accipitridae,Accipiter sp.,yes,Accipitrine hawk sp. (former Accipiter sp.),Aerospiza/Tachyspiza/Accipiter/Astur sp.,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Accipiter sp.,unid. Accipiter hawk,CONUS & Canada,Accipitriformes,Accipitridae,N/A; unidentified species,yes
Aethia cristatella,Crested Auklet,Crested Auklet,Aethia cristatella,Rare/Accidental,CHARADRIIFORMES,Alcidae,ASI; CA; CAM; EUR; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Crested Auklet,Aethia cristatella,breeds western Alaska and eastern Siberia; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Aethia cristatella,Crested Auklet,CONUS & Canada,Charadriiformes,Alcidae,11/16/2023 NOT IN BBS,yes
Aethia pusilla,Least Auklet,Least Auklet,Aethia pusilla,Rare/Accidental,CHARADRIIFORMES,Alcidae,ASI; CA; hol; NAM; nea; opa; pal; US48; USak; XX,yes,NA,NA,NA,NA,NA,no,Least Auklet,Aethia pusilla,breeds eastern Siberia and western Alaska; winters southward to northern Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Aethia pusilla,Least Auklet,CONUS & Canada,Charadriiformes,Alcidae,11/16/2023 NOT IN BBS,yes
Aethia pygmaea,Whiskered Auklet,Whiskered Auklet,Aethia pygmaea,Rare/Accidental,CHARADRIIFORMES,Alcidae,ASI; hol; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Whiskered Auklet,Aethia pygmaea,breeds eastern Siberia and Aleutian Islands; winters southward to Japan,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Agapornis roseicollis,Rosy-faced Lovebird,Rosy-faced Lovebird,Agapornis roseicollis,Introduced species,PSITTACIFORMES,Psittaculidae,AFR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Rosy-faced Lovebird,Agapornis roseicollis,NA,Psittaculidae (Old World Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no
Agelaius humeralis,Tawny-shouldered Blackbird,Tawny-shouldered Blackbird,Agelaius humeralis,Rare/Accidental,PASSERIFORMES,Icteridae,CAR; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Tawny-shouldered Blackbird,Agelaius humeralis,NA,Icteridae (Troupials and Allies),Passeriformes,yes,NA,NA,NA,NA,NA,NA,no
Agelaius phoeniceus,Red-winged Blackbird,Red-winged Blackbird,Agelaius phoeniceus,NA,PASSERIFORMES,Icteridae,CA; CAM; CAR; EUR; hol; NAM; nea; pal; SAM; TT; US48; USak,yes,4980,Red-winged Blackbird,Passeriformes,Icteridae,Agelaius phoeniceus,yes,Red-winged Blackbird,Agelaius phoeniceus,NA,Icteridae (Troupials and Allies),Passeriformes,yes,Agelaius phoeniceus,Red-winged Blackbird,CONUS & Canada,Passeriformes,Icteridae,11/11/2022,yes
Agelaius tricolor,Tricolored Blackbird,Tricolored Blackbird,Agelaius tricolor,Endangered,PASSERIFORMES,Icteridae,CAM; hol; NAM; nea; US48,yes,5000,Tricolored Blackbird,Passeriformes,Icteridae,Agelaius tricolor,yes,Tricolored Blackbird,Agelaius tricolor,marshes and farmlands of southwestern Oregon to northwestern Baja California,Icteridae (Troupials and Allies),Passeriformes,yes,Agelaius tricolor,Tricolored Blackbird,CONUS & Canada,Passeriformes,Icteridae,3/14/2023,yes
Aimophila ruficeps,Rufous-crowned Sparrow,Rufous-crowned Sparrow,Aimophila ruficeps,NA,PASSERIFORMES,Passerellidae,CAM; hol; NAM; nea; US48,yes,5800,Rufous-crowned Sparrow,Passeriformes,Passerellidae,Aimophila ruficeps,yes,Rufous-crowned Sparrow,Aimophila ruficeps,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Aimophila ruficeps,Rufous-crowned Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/13/2023,yes
Aix galericulata,Mandarin Duck,Mandarin Duck,Aix galericulata,Introduced species,ANSERIFORMES,Anatidae,AFR; ASI; EUR; hol; MID; NAM; nea; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Mandarin Duck,Aix galericulata,"wooded ponds, swamps, and streams of northeastern Asia from southeastern Siberia, Korean Peninsula, Japan, and eastern China","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,NA,NA,NA,NA,NA,NA,no
Aix sponsa,Wood Duck,Wood Duck,Aix sponsa,NA,ANSERIFORMES,Anatidae,AFR; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; US48; USak,yes,1440,Wood Duck,Anseriformes,Anatidae,Aix sponsa,yes,Wood Duck,Aix sponsa,"inland waters of Canada to northern Mexico, the Bahamas, and Cuba","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Aix sponsa,Wood Duck,CONUS & Canada,Anseriformes,Anatidae,4/2/2019-09/13/2022,yes
Alauda arvensis,Eurasian Skylark,Eurasian Skylark,Alauda arvensis,NA,PASSERIFORMES,Alaudidae,AFR; ASI; AUS; CA; CAR; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak; UShi; XX,yes,4730,Eurasian Skylark,Passeriformes,Alaudidae,Alauda arvensis,yes,Eurasian Skylark,Alauda arvensis,NA,Alaudidae (Larks),Passeriformes,yes,Alauda arvensis,Eurasian Skylark,CONUS & Canada,Passeriformes,Alaudidae,2/20/2023,yes
Alca torda,Razorbill,Razorbill,Alca torda,NA,CHARADRIIFORMES,Alcidae,AFR; ASI; CA; CAR; EUR; hol; NAM; nea; pal; US48; XX,yes,320,Razorbill,Charadriiformes,Alcidae,Alca torda,yes,Razorbill,Alca torda,NA,"Alcidae (Auks, Murres, and Puffins)",Charadriiformes,yes,Alca torda,Razorbill,CONUS & Canada,Charadriiformes,Alcidae,10/6/2023-10/9/2023,yes
Alectoris chukar,Chukar,Chukar,Alectoris chukar,Introduced species,GALLIFORMES,Phasianidae,AFR; ASI; AUS; CA; CAM; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; UShi,yes,2882,Chukar,Galliformes,Phasianidae,Alectoris chukar,yes,Chukar,Alectoris chukar,NA,"Phasianidae (Pheasants, Grouse, and Allies)",Galliformes,yes,Alectoris chukar,Chukar,CONUS & Canada,Galliformes,Phasianidae,12/5/2022,yes
Alopochen aegyptiaca,Egyptian Goose,Egyptian Goose,Alopochen aegyptiaca,Introduced species,ANSERIFORMES,Anatidae,AFR; ASI; CAR; EUR; hol; MID; NAM; nan; nea; pal; SAM; US48,yes,20630,Egyptian Goose,Anseriformes,Anatidae,Alopochen aegyptiaca,yes,Egyptian Goose,Alopochen aegyptiaca,"Nile Valley of Egypt and Sudan, and sub-Saharan Africa; introduced to western and central Europe, and southeastern USA","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Alopochen aegyptiaca,Egyptian Goose,CONUS & Canada,Anseriformes,Anatidae,11/10/2023,yes
Amazilia yucatanensis,Buff-bellied Hummingbird,Buff-bellied Hummingbird,Amazilia yucatanensis,NA,APODIFORMES,Trochilidae,CAM; hol; NAM; nea; US48,yes,4390,Buff-bellied Hummingbird,Apodiformes,Trochilidae,Amazilia yucatanensis,yes,Buff-bellied Hummingbird,Amazilia yucatanensis,NA,Trochilidae (Hummingbirds),Apodiformes,yes,Amazilia yucatanensis,Buff-bellied Hummingbird,CONUS & Canada,Apodiformes,Trochilidae,12/15/2022,yes
Amazona autumnalis,Red-lored Amazon; Red-lored Parrot,Red-lored Amazon,Amazona autumnalis,Introduced species,PSITTACIFORMES,Psittacidae,CAM; hol; NAM; nan; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Red-lored Amazon,Amazona autumnalis,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Amazona autumnalis,Red-lored Parrot,Mexico,Psittaciformes,Psittacidae,9/30/2024-10/01/2024,yes
Amazona finschi,Lilac-crowned Amazon; Lilac-crowned Parrot,Lilac-crowned Amazon,Amazona finschi,Introduced species Endangered,PSITTACIFORMES,Psittacidae,CAM; hol; NAM; nea; US48; UShi,yes,NA,NA,NA,NA,NA,no,Lilac-crowned Amazon,Amazona finschi,"western Mexico (southern Sonora, Chihuahua, and Durango to Oaxaca)",Psittacidae (New World and African Parrots),Psittaciformes,yes,Amazona finschi,Lilac-crowned Parrot,Mexico,Psittaciformes,Psittacidae,9/12/2024,yes
Amazona oratrix,Yellow-headed Amazon; Yellow-headed Parrot,Yellow-headed Amazon,Amazona oratrix,Extirpated Endangered,PSITTACIFORMES,Psittacidae,CAM; CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,Yellow-headed Amazon,Amazona oratrix,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Amazona oratrix,Yellow-headed Parrot,Mexico,Psittaciformes,Psittacidae,9/30/2024,yes
Amazona viridigenalis,Red-crowned Amazon; Red-crowned Parrot,Red-crowned Amazon,Amazona viridigenalis,Introduced species Endangered,PSITTACIFORMES,Psittacidae,CAM; CAR; hol; NAM; nea; US48; UShi,yes,3826,Red-crowned Parrot,Psittaciformes,Psittacidae,Amazona viridigenalis,yes,Red-crowned Amazon,Amazona viridigenalis,lowlands of northeastern Mexico (Nuevo León to northern Veracruz),Psittacidae (New World and African Parrots),Psittaciformes,yes,Amazona viridigenalis,Red-crowned Parrot,CONUS & Canada,Psittaciformes,Psittacidae,2/10/2023,yes
Ammodramus savannarum,Grasshopper Sparrow,Grasshopper Sparrow,Ammodramus savannarum,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; US48,yes,5460,Grasshopper Sparrow,Passeriformes,Passerellidae,Ammodramus savannarum,yes,Grasshopper Sparrow,Ammodramus savannarum,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammodramus savannarum,Grasshopper Sparrow,CONUS & Canada,Passeriformes,Passerellidae,9/18/23,yes
Ammospiza caudacuta,Saltmarsh Sparrow,Saltmarsh Sparrow,Ammospiza caudacuta,Endangered,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,5490,Saltmarsh Sparrow,Passeriformes,Passerellidae,Ammospiza caudacuta,yes,Saltmarsh Sparrow,Ammospiza caudacuta,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza caudacuta,Saltmarsh Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/24/2023 - 3/27/2023,yes
Ammospiza leconteii,LeConte's Sparrow,LeConte's Sparrow,Ammospiza leconteii,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48; USak,yes,5480,LeConte's Sparrow,Passeriformes,Passerellidae,Ammospiza leconteii,yes,LeConte's Sparrow,Ammospiza leconteii,prairies of central North America; winters to Gulf States,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza leconteii,LeConte's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,11/6/2023,yes
Ammospiza maritima,Seaside Sparrow,Seaside Sparrow,Ammospiza maritima,Endemic,PASSERIFORMES,Passerellidae,CA; CAM; hol; NAM; nea; US48,yes,5500,Seaside Sparrow,Passeriformes,Passerellidae,Ammospiza maritima,yes,Seaside Sparrow,Ammospiza maritima,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza maritima,Seaside Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/10/2023,yes
Ammospiza nelsoni,Nelson's Sparrow,Nelson's Sparrow,Ammospiza nelsoni,NA,PASSERIFORMES,Passerellidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,5491,Nelson's Sparrow,Passeriformes,Passerellidae,Ammospiza nelsoni,yes,Nelson's Sparrow,Ammospiza nelsoni,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Ammospiza nelsoni,Nelson's Sparrow,CONUS & Canada,Passeriformes,Passerellidae,3/10/2023,yes
Amphispiza bilineata,Black-throated Sparrow,Black-throated Sparrow,Amphispiza bilineata,NA,PASSERIFORMES,Passerellidae,CA; CAM; hol; NAM; nea; SAM; US48,yes,5730,Black-throated Sparrow,Passeriformes,Passerellidae,Amphispiza bilineata,yes,Black-throated Sparrow,Amphispiza bilineata,NA,Passerellidae (New World Sparrows),Passeriformes,yes,Amphispiza bilineata,Black-throated Sparrow,CONUS & Canada,Passeriformes,Passerellidae,11/9/2022-11/16/2022,yes
Anarhynchus alexandrinus,Kentish Plover,Kentish Plover,Anarhynchus alexandrinus,Rare/Accidental,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; EUR; hol; MID; NAM; nea; oat; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Kentish Plover,Anarhynchus alexandrinus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Anarhynchus leschenaultii,Greater Sand-Plover,Greater Sand-Plover,Anarhynchus leschenaultii,Rare/Accidental,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48,yes,NA,NA,NA,NA,NA,no,Greater Sand-Plover,Anarhynchus leschenaultii,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Anarhynchus mongolus,Siberian Sand-Plover,Siberian Sand-Plover,Anarhynchus mongolus,Rare/Accidental Endangered,CHARADRIIFORMES,Charadriidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; SAM; US48; USak; UShi,yes,NA,NA,NA,NA,NA,no,Siberian Sand-Plover,Anarhynchus mongolus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no
Anarhynchus montanus; Charadrius montanus,Mountain Plover,Mountain Plover,Anarhynchus montanus,Near-threatened,CHARADRIIFORMES,Charadriidae,CA; CAM; hol; NAM; nea; US48,yes,2810,Mountain Plover,Charadriiformes,Charadriidae,Charadrius montanus,yes,Mountain Plover,Anarhynchus montanus,Great Plains of western Canada to southwestern USA; winters to northern Mexico,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius montanus,Mountain Plover,CONUS & Canada,Charadriiformes,Charadriidae,12/20/2022 - 12/21/2022,yes
Anarhynchus nivosus; Charadrius nivosus,Snowy Plover,Snowy Plover,Anarhynchus nivosus,Near-threatened,CHARADRIIFORMES,Charadriidae,ASI; CA; CAM; CAR; EUR; hol; NAM; nan; nea; pal; SAM; TT; US48; USak,yes,2780,Snowy Plover,Charadriiformes,Charadriidae,Charadrius nivosus,yes,Snowy Plover,Anarhynchus nivosus,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius nivosus,Snowy Plover,CONUS & Canada,Charadriiformes,Charadriidae,12/22/2022,yes
Anarhynchus wilsonia; Charadrius wilsonia,Wilson's Plover,Wilson's Plover,Anarhynchus wilsonia,NA,CHARADRIIFORMES,Charadriidae,CA; CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,2800,Wilson's Plover,Charadriiformes,Charadriidae,Charadrius wilsonia,yes,Wilson's Plover,Anarhynchus wilsonia,NA,Charadriidae (Plovers and Lapwings),Charadriiformes,yes,Charadrius wilsonia,Wilson's Plover,CONUS & Canada,Charadriiformes,Charadriidae,10/6/22,yes
Anas acuta,Northern Pintail,Northern Pintail,Anas acuta,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1430,Northern Pintail,Anseriformes,Anatidae,Anas acuta,yes,Northern Pintail,Anas acuta,Palearctic and North America; winters to southern Eurasia and northern South America,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas acuta,Northern Pintail,CONUS & Canada,Anseriformes,Anatidae,11/30/2022,yes
Anas bahamensis,White-cheeked Pintail,White-cheeked Pintail,Anas bahamensis,Rare/Accidental,ANSERIFORMES,Anatidae,CAM; CAR; hol; NAM; nan; nea; SAM; TT; US48,yes,NA,NA,NA,NA,NA,no,White-cheeked Pintail,Anas bahamensis,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas bahamensis,White-cheeked Pintail,Caribbean & South America,Anseriformes,Anatidae,4/1/2024,yes
Anas crecca,Green-winged Teal,Green-winged Teal,Anas crecca,NA,ANSERIFORMES,Anatidae,AFR; ASI; AUS; CA; CAM; CAR; EUR; hol; MID; NAM; nan; nea; OCE; PAC; pal; SAM; TT; US48; USak; UShi; XX,yes,1390,Green-winged Teal,Anseriformes,Anatidae,Anas crecca,yes,Green-winged Teal,Anas crecca,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas crecca,Green-winged Teal,CONUS & Canada,Anseriformes,Anatidae,11/30/2022-12/1/2022,yes
Anas diazi,Mexican Duck,Mexican Duck,Anas diazi,NA,ANSERIFORMES,Anatidae,CAM; hol; NAM; nea; US48,yes,1331,Mexican Duck,Anseriformes,Anatidae,Anas diazi,yes,Mexican Duck,Anas diazi,"southeastern Arizona, southern New Mexico and western Texas (Trans-Pecos region) southward to central Mexico","Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas diazi,Mexican Duck,CONUS & Canada,Anseriformes,Anatidae,12/12/2023,yes
Anas fulvigula,Mottled Duck,Mottled Duck,Anas fulvigula,NA,ANSERIFORMES,Anatidae,CA; CAM; CAR; hol; NAM; nea; US48,yes,1340,Mottled Duck,Anseriformes,Anatidae,Anas fulvigula,yes,Mottled Duck,Anas fulvigula,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Anas fulvigula,Mottled Duck,CONUS & Canada,Anseriformes,Anatidae,11/10/2023-11/14/2023,yes
