scientific_name,common_name,common_name_avibase8.17,scientific_name_avibase8.17,status_avibase8.17,order_avibase8.17,family_avibase8.17,region_avibase8.17,in_avibase8.17,AOU_bbs2024,common_name_bbs2024,order_bbs2024,family_bbs2024,scientific_name_bbs2024,in_bbs2024,common_name_clements2024,scientific_name_clements2024,region_clements2024,family_clements2024,order_clements2024,in_clements2024,scientific_name_orig,common_name_orig,region_origlist,order_origlist,family_origlist,origlist_dataentry_origlist,in_origlist,L1_ca.conus.data
Bombycilla garrulus/cedrorum,Bohemian/Cedar Waxwing; unid. Cedar Waxwing/Bohemian Waxwing,NA,NA,NA,NA,NA,NA,no,6185,unid. Cedar Waxwing / Bohemian Waxwing,Passeriformes,Bombycillidae,Bombycilla garrulus / cedrorum,yes,Bohemian/Cedar Waxwing,Bombycilla garrulus/cedrorum,NA,Bombycillidae (Waxwings),Passeriformes,yes,Bombycilla garrulus / cedrorum,unid. Cedar Waxwing / Bohemian Waxwing,CONUS & Canada,Passeriformes,Bombycillidae,N/A; unidentified species,yes,yes
Brotogeris versicolurus,White-winged Parakeet,White-winged Parakeet,Brotogeris versicolurus,Introduced species,PSITTACIFORMES,Psittacidae,CAR; hol; NAM; nea; SAM; US48,yes,NA,NA,NA,NA,NA,no,White-winged Parakeet,Brotogeris versicolurus,lowlands of southeastern Colombia to eastern Peru and Amazonian Brazil,Psittacidae (New World and African Parrots),Psittaciformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Brotogeris versicolurus/chiriri,White-winged/Yellow-chevroned Parakeet; unid. White-winged/Yellow-chevroned Parakeet,NA,NA,NA,NA,NA,NA,no,3827,unid. White-winged / Yellow-chevroned Parakeet,Psittaciformes,Psittacidae,Brotogeris versicolurus / chiriri,yes,White-winged/Yellow-chevroned Parakeet,Brotogeris versicolurus/chiriri,NA,Psittacidae (New World and African Parrots),Psittaciformes,yes,Brotogeris versicolurus / chiriri,unid. White-winged / Yellow-chevroned Parakeet,CONUS & Canada,Psittaciformes,Psittacidae,N/A; unidentified species,yes,yes
Bucephala clangula/islandica,Common/Barrow's Goldeneye; unid. Common Goldeneye/Barrow's Goldeneye,NA,NA,NA,NA,NA,NA,no,1512,unid. Common Goldeneye / Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala clangula / islandica,yes,Common/Barrow's Goldeneye,Bucephala clangula/islandica,NA,"Anatidae (Ducks, Geese, and Waterfowl)",Anseriformes,yes,Bucephala clangula / islandica,unid. Common Goldeneye / Barrow's Goldeneye,CONUS & Canada,Anseriformes,Anatidae,N/A; unidentified species,yes,yes
Buteo sp.,Buteo sp.; unid. Buteo hawk,NA,NA,NA,NA,NA,NA,no,3451,unid. Buteo hawk,Accipitriformes,Accipitridae,Buteo sp.,yes,Buteo sp.,Buteo sp.,NA,"Accipitridae (Hawks, Eagles, and Kites)",Accipitriformes,yes,Buteo sp.,unid. Buteo hawk,CONUS & Canada,Accipitriformes,Accipitridae,N/A; unidentified species,yes,yes
Calidris sp.,Calidris sp.; unid. small ''peep'' sandpiper,NA,NA,NA,NA,NA,NA,no,2429,unid. small ''peep'' sandpiper,Charadriiformes,Scolopacidae,Calidris sp.,yes,Calidris sp.,Calidris sp.,NA,Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,Calidris sp.,unid. small ''peep'' sandpiper,CONUS & Canada,Charadriiformes,Scolopacidae,N/A; unidentified species,yes,yes
Calidris tenuirostris,Great Knot,Great Knot,Calidris tenuirostris,Endangered,CHARADRIIFORMES,Scolopacidae,AFR; ASI; AUS; CA; EUR; hol; MID; NAM; nea; OCE; PAC; pal; US48; USak,yes,NA,NA,NA,NA,NA,no,Great Knot,Calidris tenuirostris,"northeastern Siberia; winters to India, southeastern Asia, Philippines, and Australia",Scolopacidae (Sandpipers and Allies),Charadriiformes,yes,NA,NA,NA,NA,NA,NA,no,yes
Cardellina rubra,Red Warbler,Red Warbler,Cardellina rubra,Uncertain origin,PASSERIFORMES,Parulidae,CAM; hol; NAM; nea; US48,yes,NA,NA,NA,NA,NA,no,Red Warbler,Cardellina rubra,NA,Parulidae (New World Warblers),Passeriformes,yes,Cardellina rubra,Red Warbler,Mexico,Passeriformes,Parulidae,NA,yes,yes
Cardinalis cardinalis/sinuatus,Northern Cardinal/Pyrrhuloxia; unid. Northern Cardinal/Pyrrhuloxia,NA,NA,NA,NA,NA,NA,no,5935,unid. Northern Cardinal / Pyrrhuloxia,Passeriformes,Cardinalidae,Cardinalis cardinalis / sinuatus,yes,Northern Cardinal/Pyrrhuloxia,Cardinalis cardinalis/sinuatus,NA,Cardinalidae (Cardinals and Allies),Passeriformes,yes,Cardinalis cardinalis / sinuatus,unid. Northern Cardinal / Pyrrhuloxia,CONUS & Canada,Passeriformes,Cardinalidae,N/A; unidentified species,yes,yes
Cathartes sp.; Coragyps/Cathartes atratus/aura,Cathartes sp.; unid. Black Vulture/Turkey Vulture,NA,NA,NA,NA,NA,NA,no,3255,unid. Black Vulture / Turkey Vulture,Cathartiformes,Cathartidae,Coragyps / Cathartes atratus / aura,yes,Cathartes sp.,Cathartes sp.,NA,Cathartidae (New World Vultures),Cathartiformes,yes,Coragyps / Cathartes atratus / aura,unid. Black Vulture / Turkey Vulture,CONUS & Canada,Cathartiformes,Cathartidae,N/A; unidentified species,yes,yes
